ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,ANY_CONSTITUCIO,WEB
679,ABCCE- ASOCIACION DE BOLIVIANOS CRUCEÑOS EN CATALUNYA (ESPAÑA),Culturals,cultura estrangera,2020,www.abcce.es
439,ACAPAMU,,,2002,
500,ACCIÓ EVANGELÍSTICA MENSAJE DE VIDA,Sociosolidàries,suport social,2003,
632,"ACCIÓ SOLIDÀRIA CONTRA L'ATUR, FUNDACIÓ PRIVADA",Sociosolidàries,suport social,2013,www.acciosolidaria.cat
621,ACCIÓ SOLIDÀRIA -IGMAN-,Sociosolidàries,internacional,2007,www.igman.cat
914,ACTIVAMENT CATALUNYA ASSOCIACIÓ,,,2021,www.activament.org
123,AD DOSA,Esportives,futbol,1992,
152,AD SAN MORI,,,1992,
320,ADARBYC Associación de Alcohólicos Rehabilitados de Badalona y Comarca,Sociosolidàries,suport social,2013,www.adarbyc.org
896,ADOPAC ( Asociación de Oportunidad para Animales Compañía,,,2020,
311,AFA  BARCELONÈS NORD (ASOCIACION DE FAMILIARES DEL ALZHEIMER),,,2020,
306,AFA  JUNGFRAU,Educació,ampas,2017,www.afa.escolajungfrau.net
476,AGRUPACIÓ EXCURSIONISTA BUFALÀ,,,2013,http://aebufala.entitatsbadalona.net/
203,AGRUPACIO PETANCA RAVAL,Esportives,petanca,1995,
180,AGRUPACION DE CANARICULTORES DE BADALONA,,,2013,
438,AGRUPACIÓN DE ROCIEROS ANDALUCES EN CATALUÑA,Culturals,tradicionals,2003,
173,"AGRUPAMENT D'ESCOLTA ""JAUME ORTIZ""",Lleure,esplais,2013,
385,ALCER (Associació per a la lluita contra les malalties del ronyó),,,2020,
373,AMICS DE LA CULTURA AFRICANA,,,2000,
378,AMICS DE LA MÚSICA DE BADALONA,Culturals,musical,1987,www.amicsmusicabdn.cat
523,AMICS DEL MONESTIR DE SANT JERONI DE LA MURTRA,Culturals,altres entitats culturals,2003,www.amicsalut.entitatsbadalona.net
376,AMICS DEL MOVIMENT QUART MÓN CATALUNYA,Sociosolidàries,altres entitats sociosolidàries,2012,
348,AMICS DEL PESSEBRE DE BADALONA,Culturals,tradicionals,2020,
483,AMICS DEL TEATRE ZORRILLA,,,2020,
566,"AMICS X BÒSNIA, BADALONA 2004",Sociosolidàries,altres entitats sociosolidàries,2013,
687,AMIZADE JUNTS AMB MOÇAMBIC,Sociosolidàries,internacional,2012,www.amizadejam.org
