web_date,name,download_date
04/2023,ENTITATS_20230406.csv,19/07/2023
01/2023,ENTITATS_20230116.csv,19/07/2023
10/2022,ENTITATS_20221117.csv,19/07/2023
07/2022,ENTITATS_20220701.csv,19/07/2023
04/2022,ENTITATS_20220401_LATITUD.xls,19/07/2023
01/2022,ENTITATS_20220105.csv,19/07/2023
10/2021,ENTITATS_20211004.csv,19/07/2023
07/2021,ENTITATS_20210705.csv,19/07/2023
04/2021,ENTITATS_20210401.csv,19/07/2023
01/2021,ENTITATS_20210129.csv,19/07/2023
10/2020,ENTITATS_20201002.csv,19/07/2023
07/2020,ENTITATS_20200824.csv,19/07/2023
04/2020,ENTITATS_20200505.csv,19/07/2023
01/2020,ENTITATS_20200204.csv,19/07/2023
12/2019,ENTITATS_2019.csv,19/07/2023
11/2017,ENTITATS.csv,19/07/2023
07/2023,ENTITATS_20230731.csv,15/08/2023
10/2023,ENTITATS_20231002.csv,14/11/2023
