ID,TIPUS_EQUIPAMENT,DESCRIPCIO_TIPUS_EQUIPAMENT,NOM,NOM_CONTACTE,COGNOM1_CONTACTE,COGNOM2_CONTACTE,TELEFON,EMAIL,URL,SIGLA,CARRER,CODI_CARRER,NRO,BIS,ESCALA,PIS,PORTA,CODI_DIVISIO_TERRITORIAL_ADM,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,CIUTAT,CODI_CIUTAT,PROVINCIA,CODI_PROVINCIA,PAIS,CODI_PAIS,UTMX,UTMY,LATITUD,LONGITUD,TIPO_UTM,ADREÇA_COMPLETA
3,C.At.Prim,Centre d'atenció primària,CAP MARTÍ JULIÀ (ABS-1),,,,93167****,,,,,,,,,,,D-01,B-13,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.26******,,C/ Martí i Julià
4,C.At.Prim,Centre d'atenció primària,CAP DR. ROBERT (ABS-2),,,,93384****,,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Pl. Medicina
4,C.At.Cont,Centre d'atenció continuada,CAP DR. ROBERT (ABS-2),,,,93384****,,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Pl. Medicina
4,C.At.Espec,Centre d'atenció especialitzada,CAP DR. ROBERT (ABS-2),,,,93384****,,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Pl. Medicina
5,C.At.Prim,Centre d'atenció primària,CAP PROGRÉS-RAVAL,,,,93460****,,,,,,,,,,,D-07,B-05,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.24******,,C/ General Weyler
6,C.At.Prim,Centre d'atenció primària,CAP EL GORG (ABS-4),,,,93399****,,,,,,,,,,,D-06,B-31,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,C/ Vélez Rubio
7,C.At.Prim,Centre d'atenció primària,CAP SANT ROC (ABS-5),,,,93398****,,,,,,,,,,,D-06,B-31,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,C/ Vélez Rubio
8,C.At.Prim,Centre d'atenció primària,CAP LLEFIÀ (ABS-6),,,,93399****,,,,,,,,,,,D-04,B-22,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Ctra. Antiga de València
9,C.At.Prim,Centre d'atenció primària,CAP LA SALUT (ABS-7),,,,93460****,,,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Ptge. Encants
9,At.Domic.,Programa d'atenció domiciliària,CAP LA SALUT (ABS-7),,,,93460****,,,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Ptge. Encants
10,C.At.Cont,Centre d'atenció continuada,CAP NOVA LLOREDA (ABS-8 i 10),,,,93507****,,,,,,,,,,,D-02,B-20,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.23******,,Av. Catalunya
10,C.At.Prim,Centre d'atenció primària,CAP NOVA LLOREDA (ABS-8 i 10),,,,93507****,,,,,,,,,,,D-02,B-20,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.23******,,Av. Catalunya
11,C.At.Prim,Centre d'atenció primària,CAP APENINS MONTIGALÀ (ABS-9),,,,93395****,,,,,,,,,,,D-08,B-25,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.22******,,C/ Apenins
12,C.At.Prim,Centre d'atenció primària,CAP BUFALÀ-CANYET (ABS-11),,,,93497****,,,,,,,,,,,D-03,B-09,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.24******,,Av. Martí Pujol
13,C.At.Prim,Centre d'atenció primària,CAP MORERA POMAR (ABS-12),,,,93465****,,,,,,,,,,,D-03,B-16,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.25******,,Pere III
16,C.At.Cont,Centre d'atenció continuada,CAP DR. BARRAQUER,,,,93381****,,,,,,,,,,,D-01,B-11,08930,Sant Adrià de Besòs,194,Barcelona,08,ESPAÑA,108,,,41.46******,2.27******,,Pl. del Dr. Trueta
16,C.At.Espec,Centre d'atenció especialitzada,CAP DR. BARRAQUER,,,,93381****,,,,,,,,,,,D-01,B-11,08930,Sant Adrià de Besòs,194,Barcelona,08,ESPAÑA,108,,,41.46******,2.27******,,Pl. del Dr. Trueta
18,Tot,Tot,CENTRE D'ATENCIÓ ESPECIALITZADA DR. ROBERT,,,,93384****,,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Pl. Medicina
19,Tot,Tot,CENTRE D'ATENCIÓ ESPECIALITZADA DR. BARRAQUER,,,,93462****,,,,,,,,,,,D-05,B-28,08930,Sant Adrià de Besòs,194,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Pl. del Dr. Trueta
21,At.Sal.Sex,Centre d'atenció a la salut sexual i reproductiva,ASSIR. BSA (CAP Gran Sol),,,,93388****,,,,,,,,,,,D-05,B-28,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Av. Doctor Bassols
22,At.Sal.Sex,Centre d'atenció a la salut sexual i reproductiva,ASSIR LA RIERA,,,,93462****,,http://primaria.icsmetropolitananord.cat/assir,,,,,,,,,D-01,B-13,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Riera Matamoros
23,C.Infantil,Centres d'atenció a la salut mental (infantils i juvenils),CAP SALUT MENTAL INFANTO JUVENIL II JOAN OLBIOLS (CSMIJ -Joan Obiols),,,,93389****,csmij.joan.obio**@***********,,,,,,,,,,D-01,B-01,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Laietània
24,C.Infantil,Centres d'atenció a la salut mental (infantils i juvenils),CAP SALUT MENTAL INFANTO JUVENIL CREU VERDA (CSMIJ - Creu Verda),,,,93460****,csmij.creu.ver**@***********,,,,,,,,,,D-04,B-29,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Alfons XIII
25,C.Infantil,Centres d'atenció a la salut mental (infantils i juvenils),HOSPITAL DE DIA D'ADOLESCENTS A BADALONA,,,,93461****,h**@*******,,,,,,,,,,D-03,B-09,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.24******,,Av. Martí Pujol
26,C.Adults,Centres d'atenció a la salut mental (adults),CAP SALUT MENTAL I (adults),,,,93389****,cs**@***********,,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Francesc Layret
27,C.Adults,Centres d'atenció a la salut mental (adults),CAP SALUT MENTAL II (adults),,,,93624****,cs**@***********,,,,,,,,,,D-06,B-31,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Doctor Bassols
28,C.Adults,Centres d'atenció a la salut mental (adults),CENTRE DE DIA BETULA,,,,93460****,c.d.betu**@***********,,,,,,,,,,D-06,B-31,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Av. Alfons XIII
29,C.At.Seg.,Centre d'atenció i seguiment de les drogodependencies (CAS),CENTRE DELTA,,,,93384****,del**@***********,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Termes Romanes
31,Salut Lab.,Unitat de salut laboral,UNITAT DE SALUT LABORAL,,,,93464****,,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Gaietà Soler
32,S.Hospit.,Serveis hospitalaris,HOSPITAL MUNICIPAL DE BADALONA,,,,93464****,,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Via Augusta
32,Urgències,Serveis d'urgències hospitalàries,HOSPITAL MUNICIPAL DE BADALONA,,,,93464****,,,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Via Augusta
33,S.Hospit.,Serveis hospitalaris,HOSPITAL UNIVERSITARI GERMANS TRIAS I PUJOL (CAN RUTI),,,,93465****,,http://www.gencat.cat/ics/germanstrias/,,,,,,,,,D-03,B-08,08916,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.48******,2.24******,,Ctra. Canyet
33,Urgències,Serveis d'urgències hospitalàries,HOSPITAL UNIVERSITARI GERMANS TRIAS I PUJOL (CAN RUTI),,,,93465****,,http://www.gencat.cat/ics/germanstrias/,,,,,,,,,D-03,B-08,08916,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.48******,2.24******,,Ctra. Canyet
34,S.Hospit.,Serveis hospitalaris,CENTRE SOCIOSANITARI EL CARME,,,,93507****,,,,,,,,,,,D-,B-26,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.23******,,Cami Sant Jeroni de la Murtra
38,T.Sanitari,Transport sanitari: ambulàncies,AMBULÀNCIES GRUP LA PAU,,,,93395****,,http://gruplapau.net,,,,,,,,,D-03,B-09,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.47******,2.24******,,Cami Pelleria
40,S.Salut P.,Serveis de la salut pública,SERVEI DE SALUT PÚBLICA AL BARCELONÈS NORD I MARESME,,,,934639**,aspc.bcnmares**@**********,https://salutpublica.gencat.cat/ca/sobre_lagencia/on-som/,,,,,,,,,D-,B-,08930,Sant Adrià de Besòs,194,Barcelona,08,ESPAÑA,108,,,41.43******,2.23******,,C/ Torrassa
41,S.Salut P.,Serveis de la salut pública,SERVEI DE SALUT,,,,93483****,Promocio_Sal**@************,,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Assemblea de Catalunya
42,Farm 24h,Farmàcies 24h,FARMÀCIA VIAYNA,,,,93384****,,http://www.badaweb.com/viayna/,,,,,,,,,D-01,B-03,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,Av. President Companys
43,Farm torn,Farmàcies de 9 a 22h,FARMÀCIA AGUILAR,,,,93389****,,,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Francesc Layret
44,Farm 24h,Farmàcies 24h,FARMÀCIA LLOREDA,,,,93388****,,,,,,,,,,,D-02,B-20,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.23******,,Av. Catalunya
