web_date,name,download_date
04/2023,EQUIPAMENTS_20230403.csv,19/07/2023
01/2023,EQUIPAMENTS_20230116.csv,19/07/2023
10/2022,EQUIPAMENTS_20221013-1.csv,19/07/2023
07/2022,EQUIPAMENTS_20220701.csv,19/07/2023
04/2022,EQUIPAMENTS_20220401.csv,19/07/2023
01/2022,EQUIPAMENTS_20220105.csv,19/07/2023
10/2021,EQUIPAMENTS_20211004.csv,19/07/2023
07/2021,EQUIPAMENTS_20210705.csv,19/07/2023
04/2021,EQUIPAMENTS_20210401.csv,19/07/2023
01/2021,EQUIPAMENTS_20210129.csv,19/07/2023
10/2020,EQUIPAMENTS_20201002.csv,19/07/2023
07/2020,EQUIPAMENTS_20200824.csv,19/07/2023
04/2020,EQUIPAMENTS_20200505.csv,19/07/2023
01/2020,EQUIPAMENTS_20200204.csv,19/07/2023
12/2019,EQUIPAMENTS_20191223.csv,19/07/2023
10/2017,EQUIPAMENTS.csv,19/07/2023
07/2023,EQUIPAMENTS_20230731.csv,15/08/2023
10/2023,EQUIPAMENTS_20231002.csv,14/11/2023
