ID_TRAMIT;NOM_TRAMIT;DESCRIPCIO_TRAMIT;TEMA;CODI_AMBIT;DESCRIPCIO_AMBIT;IMMEDIAT;GRATUIT;REQUISITS;NORMATIVA_APLICABLE;RESPONSABLE;ENLLACOS_RELACIONATS;DATA_CREACIO;PARAULES_CLAU;CANAL_TELEMATIC;CANAL_PRSENCIAL;CANAL_TELEFONIC;CANAL_MOBIL;CANAL_QUIOSC;IDIOMA
***015718;Plànol d alineacions i rasants;Elaboració d¿un plànol on es detallen i es mesuren les alineacions oficials  d¿una finca i es donen les cotes de les rasants en alineació. Qui ho pot demanar? Qualsevol persona física o jurídica Com es pot fer? Presencialment: al taulell d¿informació del Departament del Plànol de la Ciutat Documentació que cal aportar - 2 còpies de la sol·licitud normalitzada - Full d¿autoliquidació de les taxes Normativa  Normes urbanístiques del Pla general metropolit;;0029;urbanisme;;N;Documentació que cal aportar - 2 còpies de la sol·licitud normalitzada - Full d¿autoliquidació de les taxes ;Normativa  Normes urbanístiques del Pla general metropolità (PGM).  última data de publicació: 8 d¿agost de 1998 ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015718#wlp_detall_tramit;04/12/2014;;;S;N;N;;Català 
***015720;Canvi de nom o de número d un carrer;Sol·licitud del document on consta el canvi que s¿ha produït en el nom d¿un  carrer o bé en la seva numeració Qui ho pot demanar? Qualsevol persona física o jurídica Com es pot fer? Presencialment:  al  Taulell  d¿informació  del  Departament  del  Plànol  de  la  Ciutat Documentació que cal aportar DNI o document que l¿identifiqui Normativa  Llei 30/1992 de 26 de novembre de règim jurídic de les administracions  públiques i;;0029;urbanisme;;S;Documentació que cal aportar DNI o document que l¿identifiqui ;Normativa  Llei 30/1992 de 26 de novembre de règim jurídic de les administracions  públiques i del procediment administratiu comú ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015720#wlp_detall_tramit;04/12/2014;;;S;N;N;;Català 
***001693;Desprecintatge d una activitat;Sol·licitud de desprecintatge temporal d¿una activitat. Qui ho pot demanar? Qualsevol persona física o jurídica que sigui part interessada a l¿expedient. Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística ¿ Servei d Atenció al Ciutadà (SAC)  ¿ Oficines municipals de districte Correu electrònic ¿ Oficina d Info;;0029;urbanisme;;S;Documentació que cal aportar Sol·licitud normalitzada (és convenient que la sol·licitud aporti el número de  telèfon de l¿interessat) ;Normativa Llei 30/1992 de Règim Jurídic de les Administracions Públiques i del  Procediment Administratiu Comú ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001693#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***015614;Concessió de Dret Funerari;A partir d¿una sol·licitud de concessió de dret funerari d¿una sepultura, ¿per  necessitat d¿enterrament immediat d¿un difunt o per trasllat de restes des d¿un  altre nínxol o cementiri¿:  S¿atorga la concessió d¿una sepultura per a un dels terminis següents:  ¿ Nínxols: 2, 5 i 25 anys  ¿ Columbaris: 25 anys  ¿ Tombes: 50 anys Qui ho pot demanar? Totes les persones, ciutadanes de Badalona i Sant Adrià de Besòs.  Com es pot fer? Presencialment Enterrament immediat o trasllat de restes des d¿un altre cementiri ¿ Pompas Fúnebres de Badalona, S. A. Trasllat de restes dins el propi cementiri ¿ Uni;;;;;N;Documentació que cal aportar Enterrament immediat o trasllat de restes des d¿un altre cementiri ¿ Document Identificatiu de la persona interessada  ¿ Sol·licitud normalitzada (compareixença) ¿ Certificat de defunció o Autorització de trasllat de la Delegació  Territorial del Departament de Sanitat i Seguritat Social de l¿àmbit  corresponent Tràmit posterior  Serveis i tràmits ¿ Ingrés, per part de l¿empresa autoritzada, de l¿autoliquidació de la  taxa en el termini corresponent  Trasllat de restes dins el propi cementiri. ¿ Document Identificatiu de la persona interessada  ¿ Sol·licitud normalitzada (compareixença) ¿ Títol de la concessió de dret funerari d¿origen.  Tràmit posterior ¿ Ingrés, per part de la persona interessada, de l¿autoliquidació de la  taxa en el termini corresponent  ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015614#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***015617;Canvi de nom del títol de dret funerari;A partir de la manifestació de cessió per part del titular a favor d¿altri, o a  la mort del titular, es pot demanar la transmissió del dret funerari Qui ho pot demanar? 1. Transmissió per actes  inter vivos   Un receptor i un cedent amb títol de dret funerari  2. Transmissió per actes  mortis causa  en ferm (hereus):  El beneficiari designat  o l hereu.    3. Transmissió per actes  mortis causa  provisional (a preca;;;;;N;Documentació que cal aportar 1. Transmissió per actes  inter vivos  (entre vius):  ¿ Títol de dret funerari  ¿ Documents Identificatius dels sol·licitants  ¿ Document de cessió  ¿ Sol·licitud normalitzada (compareixença)  2. Transmissió per actes  mortis causa  en ferm:  ¿ Títol de dret funerari  ¿ Document Identificatiu del sol·licitant  ¿ Testament  i Certificat d¿últimes voluntats o Escriptura de manifestació  i acceptació d¿herència. ¿ Sol·licitud normalitzada (compareixença)  ¿ Document de renúncia dels altres hereus (si s¿escau)  Serveis i tràmits 3. Transmissió per actes  mortis causa  provisional:  ¿ Títol de dret funerari i ser pagador de la taxa de conservació  ¿ Document Identificatiu del sol·licitant  Tràmit posterior ¿ Ingrés, per part de la persona interessada, de l¿autoliquidació de la  taxa en el termini corresponent  ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015617#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***015618;Adornament de sepultures;Sol·licitud de col·locació de làpides i elements accessoris.  Es pot sol·licitar a títol personal o a través del professional / industrial que  gravi la làpida o subministri els elements. Qui ho pot demanar? Tothom que posseeixi un títol de dret funerari Com es pot fer? Presencialment ¿ Unitat administrativa de Cementiris Impresos model Imprès de sol·licitud (es facilita a la UAC) Documentació que cal aportar ¿ Sol·licitud normalitzada  ¿ Títol de dret f;;;;;N;Documentació que cal aportar ¿ Sol·licitud normalitzada  ¿ Títol de dret funerari  Tràmit posterior ¿ Ingrés, per part de l¿industrial o l¿interessat, de l¿autoliquidació de la  taxa en el termini corresponent  ;Normativa ¿ Reglament de cementiris (BOP 14/01/02)  ¿ Decret 297/1997, de 24 de Novembre, pel qual s¿aprova el Reglament  de política sanitària mortuòria (DOGC núm. 2528, 25/11/1997 ¿ Ordenança fiscal núm. 7  ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***015618#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***001717;Inspecció en matèria de seguretat i salubritat d immobles;Al·legació al tràmit d¿audiència d¿un expedient de seguretat/salubritat. Qui ho pot demanar? Qualsevol persona física o jurídica que sigui part interessada a l¿expedient. Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística ¿ Servei d Atenció al Ciutadà (SAC)  ¿ Oficines municipals de districte Correu electrònic ¿ Oficina d Info;;0029;urbanisme;;S;Documentació que cal aportar Sol·licitud normalitzada. ;Normativa Llei 30/1992 de Règim Jurídic de les Administracions Públiques i del  Procediment Administratiu Comú. Decret legislatiu 1/2005 i Decret 305/2006 ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001717#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***001571;Declaració d edifici en ruïnes;Sol·licitud de declaració de ruïna d¿una construcció o part d¿una construcció Qui ho pot demanar? Qualsevol persona física o jurídica Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística Correu electrònic ¿ Oficina d Informació Urbanística Impresos model Cap Documentació que cal aportar ¿ Sol·licitud normalitzada  ¿ Informe pericial ;;0029;urbanisme;;N;Documentació que cal aportar ¿ Sol·licitud normalitzada  ¿ Informe pericial  ;Normativa ¿ Decret legislatiu 1/2005 i Decret 305/2006 ¿ Ordenança fiscal núm. 14  ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001571#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***001702;Inspecció en matèria de disciplina d obres;Denunciar  una  obra  il·legal  per  la  manca  de  llicència  o  perquè  l¿obra  no  s¿ajusta a la llicència concedida. Qui ho pot demanar? Qualsevol persona física o jurídica Com es pot fer? Presencialment ¿ Oficina d Informació Urbanística ¿ Servei d Atenció al Ciutadà (SAC)  ¿ Oficines municipals de districte Correu electrònic ¿ Oficina d Informació Urbanística Impresos model Cap Docu;;0029;urbanisme;;S;Documentació que cal aportar Sol·licitud normalitzada ;Normativa Decret legislatiu 1/2005 i Decret 305/2006 ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***001702#wlp_detall_tramit;23/08/2010;;;S;N;N;;Català 
***014836;Comunicació de vehicle abandonat;Denúncia d¿un vehicle abandonat Qui ho pot demanar? Qualsevol ciutadà. Com es pot fer? Presencialment ¿ Prefectura de la Guàrdia Urbana, Oficina d Atenció al Ciutadà  ¿ Oficines Municipals de Districte.       En línia Impresos model Cap Documentació que cal aportar Cap Preu Gratuït Organisme responsab;;0022;seguretat;;S; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***014836#wlp_detall_tramit;23/05/2014;;;S;N;N;;Català 
