ID_TRAMIT;NOM_TRAMIT;DESCRIPCIO_TRAMIT;TEMA;CODI_AMBIT;DESCRIPCIO_AMBIT;IMMEDIAT;GRATUIT;REQUISITS;NORMATIVA_APLICABLE;RESPONSABLE;ENLLACOS_RELACIONATS;DATA_CREACIO;PARAULES_CLAUS;CANAL_TELEMATIC;CANAL_PRESENCIAL;CANAL_TELEFONIC;CANAL_MOBIL;CANAL_QUIOSC;IDIOMA
***017220;Cita prèvia per la Revocació de certificat digital;"La revocació suposa que l’identificador digital d’IdCAT deixa de ser vàlid.
Qui ho pot demanar?
• El/la titular de l’dentificador digital IdCAT per pròpia voluntat
• De forma automàtica si es superen els 120 dies de suspensió  sense que el titular de l’identificador digital IdCAT l’hagi habilitat
Com es pot fer?
Amb cita prèvia
• Departament d’Atenció Ciutadana
Documentació que cal aportar
Do";;0019;padró d'habitants i Cens Electoral;;S;"Documentació que cal aportar
Document acreditatiu de la identitat del/de la sol·licitant: DNI, Passaport o  Targeta de residència
";"Normativa
Llei 59/2003, de 19 de desembre, sobre signatura electrònica, article 11.1; i  amb   el   contingut   prescrit   per   l’article   11.2,   emès   en   compliment   de   les  obligacions dels articles 12, 13, 18 i 20 de l’esmentada llei.
";;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=22&idAmbito=22&idDepartamento=22&idTramite=22&idAgenda=41;26/09/2016;;;S;N;N;;Català
***094457;Informació sobre les cites prèvies;;;0029;urbanisme;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***094457#wlp_detall_tramit;23/01/2020;;;N;N;N;;Català
***040291;Cita prèvia per atenció al PLÀNOL DE LA CIUTAT ;"isteix en poder demanar una cita prèvia (dia/hora) per poder fer  una consulta o gestió relacionada amb els següents temes del Departament del  Plànol de la Ciutat:
• Informació urbanística
• Noms dels carrers: canvis, modificacions, justificants, etc.
• Adreces: canvis, modificacions, justificants, etc.
• Planejament urbanístic
• Vista de plànols cartogràfics i mapes de la ciutat
• Alineacions i rasants de carrers: Plànols i assenyalaments
Important: informar el camp d'Observacions  posant el tema del que es tracta, per tal de poder  agilitzar la cita.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies  .  
Qui ho pot demanar?
Qualsevol ciutadà.
Com es pot fer?
En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar seguint  les passes que proposa el sistema. En cas de dubte, podeu veure les Instruccions  a l’apartat ‘Documentació’.
Quan s’acaba la petició de la cita prèvia mitjançant la Web, el programa emetrà un  document  amb les dades de la cita i un ‘codi localitzador";;0029;urbanisme;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=2&idAmbito=2&idDepartamento=2&idTramite=2&idAgenda=21;05/07/2019;;;N;S;S;;Català
***040298;Cita prèvia per realitzar Altes o Baixes del PADRÓ / Canvi de domicili a Badalona / Certificats d'empadronament;"isteix en poder demanar una cita prèvia (dia/hora) per poder  realitzar altes o baixes del padró, canvis de domicili a Badalona i pels  Certificats d'empadronament.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Qui ho pot demanar?
Qualsevol persona física major d’edat.
Com es pot fer?
En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan s’acaba la petició de la cita prèvia mitjançant la Web, el programa emetrà  un document  amb les dades de la cita i u";;;;;S; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=22&idAmbito=22&idDepartamento=22&idTramite=42&idAgenda=61;01/03/2018;;;S;N;N;;Català
***001212;Cita prèvia per informació i tramitació per Casaments civils;"/Idctecreation_date>

<Idcteprimary_author>Planas Dueso, Eulalia</Idcteprimary_author>

<IdcteCreator>Writer</IdcteCreator>

<Idctepublisher>OpenOffice.org 3.1</Idctepublisher>


En que consisteix el tràmit? Reserva de dia i hora per a la celebració del matrimoni civil en el Saló de Plens   municipal.
Les cerimònies se celebren els dissabtes (excepte els festius, els ponts i el mes   d'agost i quan hi hagi un acte oficial programat).
L'atenció al públic presencial, per la informació i l'entrega de la documentació de   casaments que ja estan reservats, es farà els dimarts de 8:30     a 13.30h. i de 16:00 a    18:00h
L'atenció presencial, és a l'edifici d'El Viver, plaça Assemblea ***************, planta   baixa i s'haurà de demanar cita prèvia.
- Durant el mes d'agost no hi haurà atenció al públic.
Tot i així, sempre hi haurà l'atenció i informació per a la ciutadania al telèfon 93 483 **   ** i a l'adreça electrònica: protocol*************
Qui ho pot demanar? - Qualsevol persona major d'edat.
- ";;;;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=1&idAmbito=1&idDepartamento=1&idTramite=1&idAgenda=1;11/12/2020;;;S;N;N;;Català
***040278;Consulta i anul.lació de Cita prèvia;"/Idctecreation_date>

<Idcteprimary_author>Jose Antonio</Idcteprimary_author>

<IdcteCreator>Writer</IdcteCreator>

<Idctepublisher>OpenOffice.org 3.1</Idctepublisher>


En què consisteix el tràmit?
Aquest tràmit consisteix en poder fer una Consulta o anul·lació d’una cita   prèvia, sol·licitada anteriorment. 
Qui ho pot demanar?
Qualsevol ciutadà.
Com es pot fer?
E";;;;;S; ; ;;http://badalona.cat/appExtSC/citaprevia/verConsulta.action;23/05/2014;;;N;N;N;;Català
***040297;Cita prèvia per gestions del Certificat digital (IDCAT);"isteix en poder demanar una cita prèvia (dia/hora) per poder  fer una consulta o gestió relacionada amb el Certificat Digital: d’IdCat.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies  .  
Qui ho pot demanar?
Qualsevol persona física major d’edat.
Com es pot fer?
En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan s’acaba la petició de la cita prèvia mitjançant la Web, el programa emetrà  un document  amb les dades de la cita i u";;;;;S; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=22&idAmbito=22&idDepartamento=22&idTramite=22&idAgenda=41;01/09/2020;;;S;N;N;;Català
***041286;Cita prèvia per CONSUM;"Aquest  tràmit  consisteix  en  poder  demanar  una  cita  prèvia  (dia/hora)  per  poder fer una consulta o gestió relacionada amb el Departament de Consum.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Qui ho pot demanar? Qualsevol ciutadà, resident a Badalona.
Com es pot fer? En línia Mitjançant el tràmit en línia, clicant al link ‘Demana Cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’. Quan  s’acaba  la  petició  de  la";;0034;comerç;;S; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=42&idAmbito=42&idDepartamento=42&idTramite=62&idAgenda=62;04/07/2018;;;S;N;N;;Català
***047193;Cita prèvia per informació de VIA PÚBLICA;"T JORDI,  2021 
En què consisteix el tràmit?
Aquest tr mit consisteix en demanar cita pr via per a la presentaci  de sol·licitudsà è ó   corresponents a la instal·laci  de punts de venda ambulant de roses durant la Diadaó  de Sant Jordi, 2021.
El termini de presentaci  de sol·licituds  s fó é ins dimecres 14 d'abril de 2021.
Qui ho pot demanar?
Qualsevol ciutadà.
Com es pot fer?
En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan s’acaba la petició de la cita prèvia mitjançant el Web, el programa emetrà  un document  amb les dades de la cita i un ‘codi localitzador";;0029;urbanisme;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=22&idAmbito=22&idDepartamento=22&idTramite=102&idAgenda=102;22/03/2021;;;S;N;N;;Català
***054875;Cita prèvia Ocupació;"amb aquest tràmit, poseu-vos en contacte  amb el Badiu Jove: badiujove************* . Gràcies 
En que consisteix el tràmit?
Aquest  tràmit  consisteix en poder demanar  una  cita prèvia  (dia/hora) per a  realitzar  una  assessoria en temes d’ocupació amb un/a orientador/a del Badiu Jove (C. Ausiàs ********).  Aquesta assessoria elabora itineraris professionals dels joves i orienta sobre com i on buscar  feina, com fer un currículum, com preparar-se per a una entrevista, etc. A més, facilita l’accés  als diferents serveis municipals d’ocupació existents i a les seves diferents actuacions.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Important El dia de la cita cal anar al Badiu Jove (C. Ausiàs ********).
Qui ho pot demanar? Joves fins a 35 anys.
Com es pot fer? En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan  s’acaba  la  petició  de  la  cita  prèvia  mi";;;;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=102&idAmbito=62&idDepartamento=122&idTramite=162&idAgenda=162;28/05/2020;;;S;N;N;;Català
