web_date,name,download_date
04/2023,TRAMITS_20230406.csv,19/07/2023
01/2023,TRAMITS_20230116.csv,19/07/2023
10/2022,TRAMITS_20221013.csv,19/07/2023
07/2022,TRAMITS_20220701.csv,19/07/2023
04/2022,TRAMITS_20220401.csv,19/07/2023
01/2022,TRAMITS_20220105.csv,19/07/2023
10/2021,TRAMITS_20211004.csv,19/07/2023
07/2021,TRAMITS_20210705.csv,19/07/2023
04/2021,TRAMITS_20210401.csv,19/07/2023
01/2021,TRAMITS_20210129.csv,19/07/2023
10/2020,TRAMITS_20201002.csv,19/07/2023
07/2020,TRAMITS_20200824.csv,19/07/2023
04/2020,TRAMITS_20200505.csv,19/07/2023
12/2019,TRAMITS_20191223.csv,19/07/2023
11/2017,TRAMITS.csv,19/07/2023
