web_date,name,download_date
2021,2021_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2020,2020_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2019,2019_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2018,2018_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2017,2017_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2016,2016_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2015,2015_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2014,2014_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2013,2013_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2012,2012_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2011,2011_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2010,2010_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2009,2009_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2008,2008_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
2007,2007_ALTES_NAIXEMENT_PADRO.csv,19/07/2023
