CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-28;Sant Antoni de Llefià;82;62;144
B-19;Sant Crist de Can Cabanyes;44;39;83
B-06;Raval;23;18;41
B-03;Dalt de la Vila;4;4;8
B-21;Sistrells;22;15;37
B-11;Manresà;1;0;1
B-16;Morera;4;4;8
B-02;Coll i Pujol;3;3;6
B-12;Canyadó;5;4;9
B-29;Sant Mori de Llefià;46;32;78
B-09;Bufalà;25;15;40
B-23;Lloreda;10;5;15
B-30;Artigas;75;44;119
B-15;Pomar;4;5;9
B-26;Montigalà;3;6;9
B-24;La Pau;42;57;99
B-32;Congrés;15;11;26
B-08;Canyet;2;1;3
B-10;Bonavista;2;1;3
B-22;La Salut;196;135;331
B-25;Puigfred;36;16;52
B-27;Sant Joan de Llefià;62;36;98
B-04;Gorg;21;13;34
B-05;Progrés;26;31;57
B-07;Can Claris;10;9;19
B-31;Sant Roc;177;116;293
B-01;Centre;16;16;32
B-20;Nova Lloreda;13;12;25
B-13;Casagemes;11;9;20
B-33;El Remei;5;3;8
