CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-06;Raval;29;32;61
B-28;Sant Antoni de Llefià;47;61;108
B-19;Sant Crist de Can Cabanyes;59;32;91
B-03;Dalt de la Vila;16;19;35
B-16;Morera;29;36;65
B-02;Coll i Pujol;21;14;35
B-12;Canyadó;14;8;22
B-21;Sistrells;16;10;26
B-11;Manresà;0;1;1
B-29;Sant Mori de Llefià;64;52;116
B-09;Bufalà;51;42;93
B-23;Lloreda;8;9;17
B-15;Pomar;29;20;49
B-30;Artigas;10;13;23
B-26;Montigalà;11;15;26
B-18;Pomar de Dalt;3;0;3
B-17;Mas Ram;1;0;1
B-24;La Pau;8;9;17
B-32;Congrés;22;23;45
B-10;Bonavista;7;7;14
B-08;Canyet;1;6;7
B-25;Puigfred;28;17;45
B-27;Sant Joan de Llefià;55;32;87
B-04;Gorg;27;21;48
B-22;La Salut;50;46;96
B-07;Can Claris;10;4;14
B-05;Progrés;29;26;55
B-13;Casagemes;43;37;80
B-01;Centre;33;49;82
B-20;Nova Lloreda;40;21;61
B-31;Sant Roc;53;39;92
B-33;El Remei;3;2;5
