web_date,name,download_date
2021,2021_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2020,2020_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2019,2019_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2018,2018_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2017,2017_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2016,2016_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2015,2015_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2014,2014_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2013,2013_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2012,2012_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2011,2011_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2010,2010_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2009,2009_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2008,2008_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
2007,2007_BAIXES_DEFUNCIO_PADRO.csv,19/07/2023
