CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-01;Artigas;147;179;326
B-02;Bonavista;24;19;43
B-03;Bufalà;137;163;300
B-04;Can Claris;33;34;67
B-05;Canyadó;38;33;71
B-06;Canyet;5;5;10
B-07;Casagemes;71;101;172
B-08;Centre;90;105;195
B-09;Coll i Pujol;37;39;76
B-10;Congrés;49;53;102
B-11;Dalt de la Vila;31;39;70
B-12;El Remei;31;31;62
B-13;Gorg;79;93;172
B-14;La Mora;13;13;26
B-15;La Pau;137;117;254
B-16;La Salut;474;390;864
B-18;Lloreda;47;51;98
B-19;Manresà;4;1;5
B-20;Mas Ram;13;11;24
B-21;Montigalà;72;83;155
B-22;Morera;56;75;131
B-23;Nova Lloreda;103;84;187
B-24;Pomar;43;54;97
B-26;Progrés;133;146;279
B-27;Puigfred;147;177;324
B-28;Raval;121;124;245
B-29;Sant Antoni de Llefià;281;294;575
B-30;Sant Crist de Can Cabanyes;169;182;351
B-31;Sant Joan de Llefià;252;237;489
B-32;Sant Mori de Llefià;263;250;513
B-33;Sant Roc;335;224;559
B-34;Sistrells;63;67;130
