CODI_DIVISIO_TERRITORIAL;BARRI;HOMES;DONES;TOTAL
B-28;Sant Antoni de Llefià;194;102;296
B-03;Dalt de la Vila;28;19;47
B-19;Sant Crist de Can Cabanyes;153;62;215
B-06;Raval;73;57;130
B-16;Morera;31;17;48
B-21;Sistrells;39;27;66
B-12;Canyadó;11;6;17
B-02;Coll i Pujol;20;10;30
B-11;Manresà;4;1;5
B-23;Lloreda;34;24;58
B-29;Sant Mori de Llefià;173;129;302
B-09;Bufalà;76;43;119
B-34;La Mora;8;8;16
B-15;Pomar;18;7;25
B-26;Montigalà;19;20;39
B-30;Artigas;125;69;194
B-17;Mas Ram;5;0;5
B-24;La Pau;136;69;205
B-32;Congrés;52;15;67
B-08;Canyet;4;2;6
B-10;Bonavista;2;2;4
B-22;La Salut;633;317;950
B-25;Puigfred;70;46;116
B-27;Sant Joan de Llefià;193;86;279
B-04;Gorg;39;24;63
B-05;Progrés;66;48;114
B-07;Can Claris;7;6;13
B-33;El Remei;21;12;33
B-13;Casagemes;39;15;54
B-31;Sant Roc;753;251;1004
B-20;Nova Lloreda;45;31;76
B-01;Centre;31;26;57
