web_date,name,download_date
2021,2021_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2020,2020_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2019,2019_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2018,2018_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2017,2017_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2016,2016_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2015,2015_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2014,2014_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2013,2013_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2012,2012_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2011,2011_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2010,2010_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2009,2009_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2008,2008_CANVIS_DOMICILI_PADRO.csv,19/07/2023
2007,2007_CANVIS_DOMICILI_PADRO.csv,19/07/2023
