CODI_CARRER;CODI_CARRER_INE;SIGLA;NOM_OFICIAL;NOM_CURT;NRE_MIN;NRE_MAX
00005;0801500005;CARRE;Abat Escarré;ABAT ESCARRE;1;39
00010;0801500010;CARRE;Acàcia;ACACIA;1;12
00020;0801500020;CARRE;Sèquia;SEQUIA;1;31
00030;0801500030;CARRE;Aqüeducte;AQUEDUCTE;1;26
00040;0801500040;AVGDA;Àfrica;AFRICA;1;1
00045;0801500045;CARRE;Afrodita;AFRODITA;2;38
00050;0801500050;CARRE;Àgueda Mompel;AGUEDA MOMPEL;22;72
00060;0801500060;CARRE;Agustí Montal;AGUSTI MONTAL;1;9999
00070;0801500070;CARRE;Alcalde de Móstoles;ALCALDE DE MOSTOLES;1;6
00080;0801500080;PL;Alcalde Manent;ALCALDE MANENT;1;1
00090;0801500090;CARRE;Aribau;ARIBAU;1;28
00100;0801500100;CARRE;Alella;ALELLA;2;6
00105;0801500105;CARRE;Alemanya;ALEMANYA;1;77
00110;0801500110;CARRE;Alfons XII;ALFONS XII;1;799
00120;0801500120;AVGDA;Alfons XIII;ALFONS XIII;1;628
00130;0801500130;CARRE;Alacant;ALACANT;1;14
00140;0801500140;AVGDA;Almeria;ALMERIA;1;61
00150;0801500150;CARRE;Almogàvers;ALMOGAVERS;1;15
00160;0801500160;CARRE;Alps;ALPS;2;2
00170;0801500170;CARRE;Alzina;ALZINA;1;8
00180;0801500180;CARRE;Amadeu Vives;AMADEU VIVES;1;41
00190;0801500190;AVGDA;Amèrica;AMERICA;1;102
00200;0801500200;AVGDA;Ametllers;AMETLLERS;1;28
00210;0801500210;CARRE;Empordà;EMPORDA;1;52
00220;0801500220;CARRE;Ample;AMPLE;1;21
00240;0801500240;PL;Andes;ANDES;1;1
00250;0801500250;CARRE;Andrés Segovia;ANDREU SEGOVIA;1;43
00260;0801500260;CARRE;Aneto;ANETO;1;15
00270;0801500270;CARRE;Àngel Guimerà;ANGEL GUIMERA;1;148
00275;0801500275;CARRE;Anna Tugas;ANNA TUGAS;1;86
00280;0801500280;CARRE;Anselm Clavé;ANSELM CLAVE;1;83
00285;0801500285;CARRE;Anselm Turmeda;ANSELM TURMEDA;1;18
00289;0801500289;PL;Antònia Boada i Ros;ANTONIA BOADA I ROS;1;1
00290;0801500290;CARRE;Antoni Bori;ANTONI BORI;1;120
00295;0801500295;PSAJE;Antoni Bori;ANTONI BORI;35;37
00300;0801500300;CARRE;Antoni Botey;ANTONI BOTEY;1;103
00310;0801500310;CARRE;Antoni Maura;ANTONI MAURA;1;30
00320;0801500320;CARRE;Apenins;APENINS;1;64
00330;0801500330;PL;Aragó;ARAGO;32;48
00340;0801500340;CARRE;Arboç;ARBOÇ;2;4
00350;0801500350;CARRE;Arenys de Mar;ARENYS DE MAR;1;11
00360;0801500360;CARRE;Argentona;ARGENTONA;1;10
00370;0801500370;CARRE;Arnús;ARNUS;1;93
00380;0801500380;CARRE;Arquimedes;ARQUIMEDES;2;30
00385;0801500385;CARRE;Arquitecte Fradera;ARQUITECTE FRADERA;1;1
00390;0801500390;CARRE;Arquitecte Gaudí;ARQUITECTE GAUDI;1;12
00395;0801500395;CARRE;Àrtemis;ARTEMIS;1;47
00400;0801500400;CARRE;Doctor Modrego;DOCTOR MODREGO;1;37
00410;0801500410;CARRE;Àsia;ASIA;1;82
00415;0801500415;CARRE;Astronomia;ASTRONOMIA;1;32
00420;0801500420;CARRE;Astúries;ASTURIES;1;20
00425;0801500425;CARRE;Atena;ATENA;1;24
00430;0801500430;CARRE;Atlàntida;ATLANTIDA;1;80
00440;0801500440;PASEO;Atzavares;ATZAVARES;1;17
00450;0801500450;CARRE;Ausiàs Marc;AUSIAS MARC;61;123
00460;0801500460;CARRE;Austràlia;AUSTRALIA;1;18
00470;0801500470;CARRE;Azorín;AZORIN;1;10
00480;0801500480;PL;Azorín;AZORIN;1;1
00485;0801500485;CARRE;Julián Gayarre;JULIAN GAYARRE;1;17
00490;0801500490;CARRE;Catalònia;CATALONIA;1;13
00500;0801500500;CARRE;Badajoz;BADAJOZ;1;20
00505;0801500505;BARRI;Llefia;LLEFIA;1;4
00510;0801500510;PL;Badalona;BADALONA;1;7
00520;0801500520;CARRE;Bailèn;BAILEN;1;40
00521;0801500521;PSAJE;Bailen A;BAILEN A;15;17
00522;0801500522;PSAJE;Bailen B;BAILEN B;11;13
00523;0801500523;PSAJE;Bailen C;BAILEN C;7;9
00524;0801500524;PSAJE;Bailen D;BAILEN D;3;5
00530;0801500530;CARRE;Baldomer Galofre;BALDOMER GALOFRE;1;28
00540;0801500540;CARRE;Baldomer Solà;BALDOMER SOLA;1;215
00550;0801500550;PL;Balears;BALEARS;19;31
00560;0801500560;CARRE;Balmes;BALMES;1;91
00570;0801500570;CRO;Barberà;BARBERA;6;11
00580;0801500580;PSAJE;Barberà;BARBERA;1;11
00590;0801500590;PL;Barberà;BARBERA;1;14
00600;0801500600;CARRE;Barcelona;BARCELONA;1;50
00610;0801500610;CARRE;Batllòria;BATLLORIA;1;60
00620;0801500620;CARRE;Beethoven;BEETHOVEN;1;11
00625;0801500625;CARRE;Bèlgica;BELGICA;1;84
00630;0801500630;CARRE;Bellavista;BELLAVISTA;1;66
00650;0801500650;CARRE;Berga;BERGA;1;5
00655;0801500655;CARRE;Bernat Metge;BERNAT METGE;1;45
00660;0801500660;CARRE;Berlín;BERLIN;1;6
00670;0801500670;CARRE;Bogatell;BOGATELL;1;21
00675;0801500675;CARRE;Boix;BOIX;1;14
00680;0801500680;CARRE;Bolívia;BOLIVIA;1;1
00690;0801500690;CAMI;Bosc;BOSC;1;31
00700;0801500700;CARRE;Brasil;BRASIL;1;1
00710;0801500710;AVGDA;Bac de Roda;BAC DE RODA;1;69
00720;0801500720;CARRE;Bruc;BRUC;1;40
00730;0801500730;PL;Bac de Roda;BAC DE RODA;1;14
00740;0801500740;CARRE;Bonavista;BONAVISTA;1;54
00750;0801500750;PSAJE;Bonavista;BONAVISTA;1;21
00760;0801500760;CARRE;Buenos Aires;BUENOS AIRES;1;20
00770;0801500770;AVGDA;Bufalà;BUFALA;1;78
00780;0801500780;CARRE;Burdeus;BURDEUS;1;16
00800;0801500800;CARRE;Càceres;CACERES;1;40
00810;0801500810;CARRE;Cadaqués;CADAQUES;1;29
00820;0801500820;CARRE;Cadis;CADIS;1;30
00830;0801500830;CAMI;Cal Viudet;CAL VIUDET;1;1
00840;0801500840;PL;Plana;PLANA;1;1
00845;0801500845;PSAJE;Plana;PLANA;1;34
00850;0801500850;CARRE;Calderón de la Barca;CALDERON DE LA BARCA;1;142
00860;0801500860;CARRE;Calella;CALELLA;1;19
00870;0801500870;AVGDA;President Lluís Companys;PRESIDENT COMPANYS;1;272
00875;0801500875;CARRE;Camí dels Xiprers;CAMI DELS XIPRERS;1;1
00880;0801500880;PSAJE;Camí Estret;CAMI ESTRET;1;1
00895;0801500895;CARRE;Campoamor;CAMPOAMOR;1;45
00900;0801500900;CARRE;Camprodon;CAMPRODON;1;55
00910;0801500910;CARRE;Can Llagosta;CAN LLAGOSTA;1;9999
00915;0801500915;CAMI;Can Campmany;CAN CAMPMANY;1;10
00920;0801500920;CARRE;Pau Claris;PAU CLARIS;1;15
00925;0801500925;;Can Ruti;CAN RUTI;1;1
00930;0801500930;CARRE;Can Tiano;CAN TIANO;1;67
00940;0801500940;PL;Canàries;CANARIES;15;22
00950;0801500950;CARRE;Canelones;CANELONES;1;30
00960;0801500960;CARRE;Canigó;CANIGO;1;30
00967;0801500967;CAMI;Mas Oliver;MAS OLIVER;80;83
00970;0801500970;CARRE;Canonge Baranera;CANONGE BARANERA;1;139
00972;0801500972;CARRE;Cantàbria;CANTABRIA;1;20
00980;0801500980;RIERA;Canyadó;CANYADO;1;25
01000;0801501000;CTRA;Canyet;CANYET;1;181
01010;0801501010;RIERA;Canyet;CANYET;1;45
01015;0801501015;ZONA;Caravana-Conreria;CARAVANA-CONRERIA;1;1
01030;0801501030;CARRE;Cardenal Cisneros;CARDENAL CISNEROS;1;21
01040;0801501040;CARRE;Feliu i Vegués;FELIU I VEGUES;1;17
01050;0801501050;CARRE;Caritat;CARITAT;1;67
01060;0801501060;AVGDA;Caritg;CARITG;1;145
01070;0801501070;AVGDA;Carlemany;CARLEMANY;1;34
01080;0801501080;CARRE;Carles I;CARLES I;1;75
01090;0801501090;CARRE;Carme;CARME;1;84
01095;0801501095;CARRE;Carme Amaya;CARMEN AMAYA;1;18
