CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUITAT;POTENCIA_FISCAL;CILINDRADA;PLACES;MARCA;NR_VEHICLES
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;9,67;1422;5;Volkswagen;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;10,68;1386;5;Nissan;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;12,3;1753;5;Ford;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;13,3;1998;5;Renault;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,9;2149;5;Mercedes;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2015;1,44;124;2;Piaggio;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2010;13,26;1987;5;Toyota;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2011;13,3;1995;5;Nissan;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,78;1870;7;Renault;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;10,57;1360;5;Peugeot;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,3;1997;5;Peugeot;5
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,63;1598;5;A.U.D.I.;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2012;13,3;1997;5;Ford;3
B-01;MOTOCICLETA;Motocicletes de més de 125 fins a 250 cc;2006;2,17;244;2;Piaggio;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;12,78;1870;5;Renault;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;10,03;1248;5;Hyundai;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;10,7;1390;5;Volkswagen;7
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2015;1,45;125;2;Yamaha;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;13,11;1951;5;Land;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2013;13,19;1968;5;Volkswagen;7
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;11,64;1599;5;Hyundai;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,28;1991;5;Kia;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;11,45;1560;5;Peugeot;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;10,56;1360;5;Peugeot;3
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;2008;3,84;399;2;Honda;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;12,78;1870;5;Renault;4
