DIVISIO_TERRITORIAL;TIPUS_VEHICLE;DESCRIP_TARIFA;POTENCIA;CILINDRADA;PLACES;DECODE(TIPUS_VEHICLE,'CAMION',CARREGA,'REMOLQUE',CARREGA,NULL);MARCA;NR_VEHICLES
B-01;CAMION FURGON;Camions de menys de 1.000 kg de càrrega ;12;1.753;2;;Ford;2
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;0;49;2;;Derbi;2
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;0;49;2;;Peugeot;2
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;0;49;2;;Yamaha;5
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;0;49;1;;Derbi;2
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;0;49;2;;Yamaha;2
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;0;49;1;;Yamaha;2
B-01;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;0;49;1;;Derbi;2
B-01;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;0;49;1;;Vespino;2
B-01;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;0;49;2;;Honda;5
B-01;CICLOMOTOR DOS RUEDAS;Ciclomotors                             ;0;50;2;;Yamaha;2
B-01;FURGONETA;Camions de 1.000 a 2.999 kg de càrrega  ;13;2.198;3;;Ford;2
B-01;FURGONETA;Camions de menys de 1.000 kg de càrrega ;11;1.461;2;;Renault;2
B-01;FURGONETA;Camions de menys de 1.000 kg de càrrega ;14;2.198;3;;Ford;2
B-01;FURGONETA MIXTA;Camions de menys de 1.000 kg de càrrega ;8;970;0;;Suzuki;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Honda;3
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Honda;4
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Honda;8
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Honda;38
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Kymco;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Kymco;3
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Kymco;4
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Macbor;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Suzuki;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Suzuki;3
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Suzuki;6
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Yamaha;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;1;125;2;;Yamaha;8
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;3;321;2;;Kymco;3
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;3;394;2;;Yamaha;2
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;3;399;2;;Kymco;2
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;3;400;2;;Suzuki;3
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;4;399;2;;Honda;7
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;4;471;2;;Honda;2
