CODI_DIVISIO_TERRITORIAL;NOM_DIVISIO_TERRITORIAL;CATEGORIA_DIVISIO;CODI_DIVISIO_TERRITORIAL_PARE;URL_FITXA_DISTRICTE
B-01;Centre;Barri;;
B-02;Coll i Pujol;Barri;;
B-03;Dalt de la Vila;Barri;;
B-04;Gorg;Barri;;
B-05;Progrés;Barri;;
B-06;Raval;Barri;;
B-07;Can Claris;Barri;;
B-08;Canyet;Barri;;
B-09;Bufalà;Barri;;
B-10;Bonavista;Barri;;
B-11;Manresà;Barri;;
B-12;Canyadó;Barri;;
B-13;Casagemes;Barri;;
B-14;Les Guixeres;Barri;;
B-15;Pomar;Barri;;
B-16;Morera;Barri;;
B-17;Mas Ram;Barri;;
B-18;Pomar de Dalt;Barri;;
B-19;Sant Crist de Can Cabanyes;Barri;;
B-20;Nova Lloreda;Barri;;
B-21;Sistrells;Barri;;
B-22;La Salut;Barri;;
B-23;Lloreda;Barri;;
B-24;La Pau;Barri;;
B-25;Puigfred;Barri;;
B-26;Montigalà;Barri;;
B-27;Sant Joan de Llefià;Barri;;
B-28;Sant Antoni de Llefià;Barri;;
B-29;Sant Mori de Llefià;Barri;;
B-30;Artigas;Barri;;
B-31;Sant Roc;Barri;;
B-32;Congrés;Barri;;
B-33;El Remei;Barri;;
B-34;La Mora;Barri;;
D-01;Districte 01;Districte;;
D-02;Districte 02;Districte;;
D-03;Districte 03;Districte;;
D-04;Districte 04;Districte;;
D-05;Districte 05;Districte;;
D-06;Districte 06;Districte;;
D-07;Districte 07;Districte;;
D-08;Districte 08;Districte;;
D-09;Districte 09;Districte;;
S-01001;Districte: 01   Secció: 001;Secció censal;D-01;
S-01002;Districte: 01   Secció: 002;Secció censal;D-01;
S-01003;Districte: 01   Secció: 003;Secció censal;D-01;
S-01004;Districte: 01   Secció: 004;Secció censal;D-01;
S-01005;Districte: 01   Secció: 005;Secció censal;D-01;
S-01007;Districte: 01   Secció: 007;Secció censal;D-01;
S-01008;Districte: 01   Secció: 008;Secció censal;D-01;
S-02001;Districte: 02   Secció: 001;Secció censal;D-02;
S-02002;Districte: 02   Secció: 002;Secció censal;D-02;
S-02003;Districte: 02   Secció: 003;Secció censal;D-02;
S-02004;Districte: 02   Secció: 004;Secció censal;D-02;
S-02005;Districte: 02   Secció: 005;Secció censal;D-02;
S-02007;Districte: 02   Secció: 007;Secció censal;D-02;
S-02008;Districte: 02   Secció: 008;Secció censal;D-02;
S-02009;Districte: 02   Secció: 009;Secció censal;D-02;
S-02010;Districte: 02   Secció: 010;Secció censal;D-02;
S-02011;Districte: 02   Secció: 011;Secció censal;D-02;
S-02012;Districte: 02   Secció: 012;Secció censal;D-02;
S-02013;Districte: 02   Secció: 013;Secció censal;D-02;
S-02015;Districte: 02   Secció: 015;Secció censal;D-02;
S-03001;Districte: 03   Secció: 001;Secció censal;D-03;
S-03003;Districte: 03   Secció: 003;Secció censal;D-03;
S-03004;Districte: 03   Secció: 004;Secció censal;D-03;
S-03005;Districte: 03   Secció: 005;Secció censal;D-03;
S-03006;Districte: 03   Secció: 006;Secció censal;D-03;
S-03007;Districte: 03   Secció: 007;Secció censal;D-03;
S-03008;Districte: 03   Secció: 008;Secció censal;D-03;
S-03009;Districte: 03   Secció: 009;Secció censal;D-03;
S-03010;Districte: 03   Secció: 010;Secció censal;D-03;
S-03011;Districte: 03   Secció: 011;Secció censal;D-03;
S-03013;Districte: 03   Secció: 013;Secció censal;D-03;
S-04001;Districte: 04   Secció: 001;Secció censal;D-04;
S-04002;Districte: 04   Secció: 002;Secció censal;D-04;
S-04003;Districte: 04   Secció: 003;Secció censal;D-04;
S-04004;Districte: 04   Secció: 004;Secció censal;D-04;
S-04005;Districte: 04   Secció: 005;Secció censal;D-04;
S-04006;Districte: 04   Secció: 006;Secció censal;D-04;
S-04007;Districte: 04   Secció: 007;Secció censal;D-04;
S-04008;Districte: 04   Secció: 008;Secció censal;D-04;
S-04009;Districte: 04   Secció: 009;Secció censal;D-04;
S-04010;Districte: 04   Secció: 010;Secció censal;D-04;
S-04011;Districte: 04   Secció: 011;Secció censal;D-04;
S-04012;Districte: 04   Secció: 012;Secció censal;D-04;
S-04013;Districte: 04   Secció: 013;Secció censal;D-04;
S-04014;Districte: 04   Secció: 014;Secció censal;D-04;
S-04015;Districte: 04   Secció: 015;Secció censal;D-04;
S-04016;Districte: 04   Secció: 016;Secció censal;D-04;
S-05001;Districte: 05   Secció: 001;Secció censal;D-05;
S-05002;Districte: 05   Secció: 002;Secció censal;D-05;
S-05003;Districte: 05   Secció: 003;Secció censal;D-05;
S-05004;Districte: 05   Secció: 004;Secció censal;D-05;
S-05005;Districte: 05   Secció: 005;Secció censal;D-05;
S-05006;Districte: 05   Secció: 006;Secció censal;D-05;
S-06001;Districte: 06   Secció: 001;Secció censal;D-06;
S-06002;Districte: 06   Secció: 002;Secció censal;D-06;
S-06003;Districte: 06   Secció: 003;Secció censal;D-06;
S-06004;Districte: 06   Secció: 004;Secció censal;D-06;
S-06005;Districte: 06   Secció: 005;Secció censal;D-06;
S-06006;Districte: 06   Secció: 006;Secció censal;D-06;
S-07001;Districte: 07   Secció: 001;Secció censal;D-07;
S-07002;Districte: 07   Secció: 002;Secció censal;D-07;
S-07003;Districte: 07   Secció: 003;Secció censal;D-07;
S-07004;Districte: 07   Secció: 004;Secció censal;D-07;
S-07005;Districte: 07   Secció: 005;Secció censal;D-07;
