web_date,name,download_date
11/2019,2019_ELEC_GENERALS_BARRIS_10N.xls,20/07/2023
11/2019,2019_ELEC_GENERALS_MESES_10N.xls,20/07/2023
04/2019,2019_ELEC_GENERALS_BARRIS.xls,20/07/2023
04/2019,2019_ELEC_GENERALS_MESES.xls,20/07/2023
2016,2016_ELEC_GENERALS_MESES.xls,20/07/2023
2016,2016_ELEC_GENERALS_BARRIS.xls,20/07/2023
2015,2015_ELEC_GENERALS_MESES.xls,20/07/2023
2015,2015_ELEC_GENERALS_BARRIS.xls,20/07/2023
07/2023,2023_ELEC_GENERALS_BARRIS.xls,15/08/2023
07/2023,2023_ELEC_GENERALS_MESES.xls,15/08/2023
