NOM_PLATJA;BANDERA;QUALITAT_AIGUA;ESTAT_MAR;MEDUSES;TEMP_AIGUA;TEMP_AMBIENT;FORÇA_VENT;TIPUS_VENT;UVI;DATA_ACTUALITZACIO
DE LA MORA;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DEL COCO;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DE L ESTACIÓ;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DELS PESCADORS;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DEL CRISTALL;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar arrissada;NO;23,00;21,00;vent fluixet;Mestral(NW);Baix;09/06/2015
DE LA MORA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DEL COCO;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DE L ESTACIÓ;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DELS PESCADORS;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DEL CRISTALL;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;30,00;vent fluixet;Migjorn(S);Alt;09/06/2015
DE LA MORA;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DEL COCO;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DE L ESTACIÓ;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DELS PESCADORS;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DEL CRISTALL;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar plana;NO;24,00;24,00;vent fluixet;Llebeig o Grab¿(SW);Alt;09/06/2015
DE LA MORA;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DEL COCO;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DE L ESTACIÓ;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DELS PESCADORS;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DEL CRISTALL;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar arrissada;NO;24,00;28,00;vent fluixet;Ponent(W);Alt;10/06/2015
DE LA MORA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DEL COCO;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DE L ESTACIÓ;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DEL PATí DE VELA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DELS PESCADORS;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DEL PONT D EN BOTIFARRETA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DEL CRISTALL;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Xaloc(SE);Alt;11/06/2015
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL CRISTALL;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL PONT D EN BOTIFARRETA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DELS PESCADORS;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL PATí DE VELA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DE L ESTACIÓ;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL COCO;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DE LA MORA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DE LA MORA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL COCO;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DE L ESTACIÓ;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL PATí DE VELA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DELS PESCADORS;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL PONT D EN BOTIFARRETA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DEL CRISTALL;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Marejol;NO;24,00;25,00;vent fluix;Migjorn(S);Alt;11/06/2015
DE LA MORA;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DEL COCO;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DE L ESTACIÓ;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DEL PATí DE VELA;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DELS PESCADORS;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DEL PONT D EN BOTIFARRETA;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DEL CRISTALL;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Maror;NO;24,00;22,00;ventolina;Llebeig o Grab¿(SW);Baix;12/06/2015
DE LA MORA;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DE L ESTACIÓ;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DEL PATí DE VELA;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DELS PESCADORS;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DEL CRISTALL;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DEL PONT D EN BOTIFARRETA;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DEL COCO;GROGA;EXCEL-LENT;Mar plana;NO;24,00;26,00;vent fluixet;Xaloc(SE);8;13/06/2015
DE LA MORA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DE L ESTACIÓ;VERDA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL PATí DE VELA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL PONT D EN BOTIFARRETA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL COCO;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DE L ESTACIÓ;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DELS PESCADORS;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DE LA BARCA MARIA;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL CRISTALL;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL PONT D EN BOTIFARRETA;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL PATí DE VELA;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL PONT DEL PETROLI;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DE LA MORA;GROGA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
DEL CRISTALL;VERDA;EXCEL-LENT;Mar plana;NO;22,00;26,00;vent fluixet;Xaloc(SE);8;14/06/2015
