NOM_PLATJA,BANDERA,QUALITAT_AIGUA,ESTAT_MAR,MEDUSES,TEMP_AIGUA,TEMP_AMBIENT,FORCA_VENT,TIPUS_VENT,UVI,DATA_ACTUALITZACIO
DEL COCO,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL PONT DEL PETROLI,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL L'ESTACIÓ,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL PATí DE VELA,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DELS PESCADORS,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL PONT D'EN BOTIFARRETA,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL CRISTALL,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DE LA BARCA MARIA,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL COCO,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL PONT DEL PETROLI,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL L'ESTACIÓ,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL PATí DE VELA,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DELS PESCADORS,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL PONT D'EN BOTIFARRETA,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DEL CRISTALL,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DE LA BARCA MARIA,VERDA,BONA,Mar arrissada,NO,20,23,vent fluixet,Migjorn(S),Alt,09/06/2018
DE LA BARCA MARIA,VERDA,BONA,Mar arrissada,NO,21,26,vent fluixet,Migjorn(S),Alt,14/06/2018
DEL CRISTALL,VERDA,BONA,Mar arrissada,NO,21,26,vent fluixet,Migjorn(S),Alt,14/06/2018
DEL PONT D'EN BOTIFARRETA,VERDA,BONA,Mar arrissada,NO,21,26,vent fluixet,Migjorn(S),Alt,14/06/2018
DELS PESCADORS,VERDA,BONA,Mar arrissada,NO,21,26,vent fluixet,Migjorn(S),Alt,14/06/2018
DEL PATí DE VELA,VERDA,BONA,Mar arrissada,NO,21,26,vent fluixet,Migjorn(S),Alt,14/06/2018
DEL L'ESTACIÓ,VERDA,BONA,Mar arrissada,NO,21,26,vent fluixet,Migjorn(S),Alt,14/06/2018
DEL PONT DEL PETROLI,VERDA,BONA,Mar arrissada,NO,21,26,vent fluixet,Migjorn(S),Alt,14/06/2018
