NOM_PLATJA;BANDERA;QUALITAT_AIGUA;ESTAT_MAR;MEDUSES;TEMP_AIGUA;TEMP_AMBIENT;FORCA_VENT;TIPUS_VENT;UVI;DATA_ACTUALITZACIO
DEL COCO;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL COCO;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL COCO;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DE L'ESTACIÓ;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PATí DE VELA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DELS PESCADORS;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PONT D'EN BOTIFARRETA;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL CRISTALL;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL PONT DEL PETROLI;VERDA;EXCEL-LENT;Maror;NO;19;22;vent fluixet;Gregal(NE);Alt;04/06/2019
DEL COCO;VERDA;EXCEL-LENT;Maror;NO;19;19;vent fluixet;Gregal(NE);Moderat;05/06/2019
DE LA BARCA MARIA;VERDA;EXCEL-LENT;Maror;NO;19;19;vent fluixet;Gregal(NE);Moderat;05/06/2019
