web_date,name,download_date
2021,2021_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2020,2020_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2019,2019_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2018,2018_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2017,2017_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2016,2016_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2015,2015_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2014,2014_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2013,2013_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2012,2012_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2011,2011_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
2010,2010_ESTAT_PLATGES_HISTORIC.csv,19/07/2023
