CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;1995;731;2;ABOGADOS;70
EN EL MUNICIPI;1995;436;1;ACABADO DE TEXTILES;7
EN EL MUNICIPI;1995;4685;1;ACTIV. ANEXAS IND. MUEBLE;11
EN EL MUNICIPI;1995;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;12
EN EL MUNICIPI;1995;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;17
EN EL MUNICIPI;1995;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;1995;013;3;ACTORES DE CINE Y TEATRO;1
EN EL MUNICIPI;1995;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;5
EN EL MUNICIPI;1995;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;1995;723;2;ADMINISTRADORES DE FINCAS;4
EN EL MUNICIPI;1995;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;15
EN EL MUNICIPI;1995;755;1;AGENCIAS DE VIAJES;7
EN EL MUNICIPI;1995;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;1995;771;2;AGENTES COBRADORES;4
EN EL MUNICIPI;1995;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;5
EN EL MUNICIPI;1995;511;2;AGENTES COMERCIALES;126
EN EL MUNICIPI;1995;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;1995;713;2;AGENTES DE SEGUROS AFECTOS;39
EN EL MUNICIPI;1995;712;2;AGENTES REPRESENTANTES DE SEGUROS;6
EN EL MUNICIPI;1995;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;3
EN EL MUNICIPI;1995;5013;1;ALBAÑILERIA Y PEQ. TRABAJOS CONSTRUCCION;159
EN EL MUNICIPI;1995;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;6
EN EL MUNICIPI;1995;8561;1;ALQUILER DE BIENES DE CONSUMO;4
EN EL MUNICIPI;1995;8562;1;ALQUILER DE PELICULAS DE VIDEO;17
EN EL MUNICIPI;1995;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;11
EN EL MUNICIPI;1995;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;5
EN EL MUNICIPI;1995;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;2
EN EL MUNICIPI;1995;411;2;ARQUITECTOS;19
EN EL MUNICIPI;1995;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;31
EN EL MUNICIPI;1995;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);32
EN EL MUNICIPI;1995;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;4
EN EL MUNICIPI;1995;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;5
EN EL MUNICIPI;1995;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;1
EN EL MUNICIPI;1995;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;1995;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;15
EN EL MUNICIPI;1995;811;1;BANCA;16
EN EL MUNICIPI;1995;6731;1;BARES CATEGORIA ESPECIAL;12
EN EL MUNICIPI;1995;4912;1;BISUTERIA;4
EN EL MUNICIPI;1995;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;9
EN EL MUNICIPI;1995;6746;1;CAFE-BAR TEATROS Y CINES;4
EN EL MUNICIPI;1995;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;1
EN EL MUNICIPI;1995;6723;1;CAFETERIAS DE UNA TAZA;1
EN EL MUNICIPI;1995;6722;1;CAFETERIAS DOS TAZAS;1
EN EL MUNICIPI;1995;6721;1;CAFETERIAS TRES TAZAS;1
EN EL MUNICIPI;1995;812;1;CAJAS DE AHORRO;20
EN EL MUNICIPI;1995;5055;1;CARPINTERIA Y CERRAJERIA;83
EN EL MUNICIPI;1995;4621;1;CHAPAS DE MADERA;1
EN EL MUNICIPI;1995;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;3
EN EL MUNICIPI;1995;5024;1;CIMENTACIONES Y PAVIMENTACIONES;1
EN EL MUNICIPI;1995;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;2
EN EL MUNICIPI;1995;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;25
EN EL MUNICIPI;1995;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;13
EN EL MUNICIPI;1995;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;1995;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;1995;656;1;COM. MEN. DE BIENES USADOS;1
EN EL MUNICIPI;1995;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;8
EN EL MUNICIPI;1995;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;1995;6152;1;COM.MAY. DE MUEBLES;2
EN EL MUNICIPI;1995;6162;1;COM.MAY. HIERRO Y ACERO;5
EN EL MUNICIPI;1995;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;5
EN EL MUNICIPI;1995;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;4
EN EL MUNICIPI;1995;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;2
EN EL MUNICIPI;1995;6173;1;COM.MAY. MADERA Y CORCHO;4
EN EL MUNICIPI;1995;6176;1;COM.MAY. MAQUINARIA AGRICOLA;1
EN EL MUNICIPI;1995;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;12
EN EL MUNICIPI;1995;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;5
EN EL MUNICIPI;1995;6174;1;COM.MAY. MATERIALES CONSTRUCCION;8
EN EL MUNICIPI;1995;6164;1;COM.MAY. METALES NO FERREOS;2
EN EL MUNICIPI;1995;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;3
EN EL MUNICIPI;1995;6128;1;COM.MAY. PESCADOS;5
EN EL MUNICIPI;1995;6165;1;COM.MAY. PETROLEO Y LUBRICANTES;4
EN EL MUNICIPI;1995;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;25
EN EL MUNICIPI;1995;6127;1;COM.MAY. VINOS Y VINAGRES DEL PAIS;2
EN EL MUNICIPI;1995;6139;1;COM.MAY.ACCESORIOS VESTIDO NCOP;4
EN EL MUNICIPI;1995;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;8
EN EL MUNICIPI;1995;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;8
EN EL MUNICIPI;1995;6126;1;COM.MAY.BEBIDAS Y TABACO;7
EN EL MUNICIPI;1995;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;1
EN EL MUNICIPI;1995;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;20
EN EL MUNICIPI;1995;6122;1;COM.MAY.CEREALES,PLANTAS,ABONOS,ANIMALES;5
EN EL MUNICIPI;1995;621;1;COM.MAY.CHATARRA Y METALES DESECHO;3
EN EL MUNICIPI;1995;6123;1;COM.MAY.FRUTAS Y VERDURAS;7
EN EL MUNICIPI;1995;6197;1;COM.MAY.INSTRUM.PRECISION Y MEDIDA;2
EN EL MUNICIPI;1995;6179;1;COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA;43
EN EL MUNICIPI;1995;6125;1;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;4
EN EL MUNICIPI;1995;6159;1;COM.MAY.OTROS ART. CONSUMO DURADERO NCOP;8
EN EL MUNICIPI;1995;6129;1;COM.MAY.OTROS PTOS. ALIMENT.,HELADOS ETC;40
EN EL MUNICIPI;1995;622;1;COM.MAY.OTROS PTOS. RECUPERACION;8
EN EL MUNICIPI;1995;6194;1;COM.MAY.PTOS. DE PAPEL Y CARTON;4
EN EL MUNICIPI;1995;6166;1;COM.MAY.PTOS. QUIMICOS INDUSTRIALES;1
EN EL MUNICIPI;1995;6121;1;COM.MAY.PTOS.ALIMENTIC.BEBIDAS Y TABACOS;4
EN EL MUNICIPI;1995;6169;1;COM.MAY.PTOS.INTERINDUSTRIALES Y QUIMIC.;1
EN EL MUNICIPI;1995;6143;1;COM.MAY.PTOS.MANTENIMIENTO HOGAR;1
EN EL MUNICIPI;1995;6142;1;COM.MAY.PTOS.PERFUMERIA,DROGUERIA;19
EN EL MUNICIPI;1995;6131;1;COM.MAY.PTOS.TEXTILES,CONFECC, Y CALZADO;1
EN EL MUNICIPI;1995;6132;1;COM.MAY.TEJIDOS POR METROS, ALFOMBRAS;4
EN EL MUNICIPI;1995;6151;1;COM.MAY.VEHICULOS Y SUS ACCESORIOS;12
EN EL MUNICIPI;1995;6542;1;COM.MEN.ACCESORIOS Y RECAMBIOS VEHICULOS;15
EN EL MUNICIPI;1995;6613;1;COM.MEN.ALMACENES POPULARES;4
EN EL MUNICIPI;1995;6532;1;COM.MEN.APARATOS DE USO DOMESTICO;55
