DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2019;731;2;ABOGADOS;36
EN EL MUNICIPI;2019;436;1;ACABADO DE TEXTILES;1
EN EL MUNICIPI;2019;4685;1;ACTIV. ANEXAS IND. MUEBLE;2
EN EL MUNICIPI;2019;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;5
EN EL MUNICIPI;2019;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;2
EN EL MUNICIPI;2019;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;2
EN EL MUNICIPI;2019;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;3
EN EL MUNICIPI;2019;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;5
EN EL MUNICIPI;2019;755;1;AGENCIAS DE VIAJES;2
EN EL MUNICIPI;2019;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2019;511;2;AGENTES COMERCIALES;32
EN EL MUNICIPI;2019;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;2019;712;2;AGENTES Y CORREDORES DE SEGUROS;16
EN EL MUNICIPI;2019;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;15
EN EL MUNICIPI;2019;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;64
EN EL MUNICIPI;2019;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;2
EN EL MUNICIPI;2019;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2019;8562;1;ALQUILER DE PELICULAS DE VIDEO;2
EN EL MUNICIPI;2019;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;1
EN EL MUNICIPI;2019;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;5
EN EL MUNICIPI;2019;411;2;ARQUITECTOS;17
EN EL MUNICIPI;2019;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;23
EN EL MUNICIPI;2019;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);4
EN EL MUNICIPI;2019;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;1
EN EL MUNICIPI;2019;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;2
EN EL MUNICIPI;2019;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;3
EN EL MUNICIPI;2019;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2019;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;2019;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2019;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;21
EN EL MUNICIPI;2019;811;1;BANCA;16
EN EL MUNICIPI;2019;6731;1;BARES CATEGORIA ESPECIAL;1
EN EL MUNICIPI;2019;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;3
EN EL MUNICIPI;2019;6746;1;CAFE-BAR TEATROS Y CINES;1
EN EL MUNICIPI;2019;6723;1;CAFETERIAS DE UNA TAZA;1
EN EL MUNICIPI;2019;5055;1;CARPINTERIA Y CERRAJERIA;16
EN EL MUNICIPI;2019;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;9
EN EL MUNICIPI;2019;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;7
EN EL MUNICIPI;2019;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;2019;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;3
EN EL MUNICIPI;2019;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2019;6152;1;COM.MAY. DE MUEBLES;3
EN EL MUNICIPI;2019;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;4
EN EL MUNICIPI;2019;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;4
EN EL MUNICIPI;2019;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;1
EN EL MUNICIPI;2019;6173;1;COM.MAY. MADERA Y CORCHO;1
EN EL MUNICIPI;2019;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;5
EN EL MUNICIPI;2019;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;3
EN EL MUNICIPI;2019;6174;1;COM.MAY. MATERIALES CONSTRUCCION;7
EN EL MUNICIPI;2019;6128;1;COM.MAY. PESCADOS;1
EN EL MUNICIPI;2019;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;3
EN EL MUNICIPI;2019;6127;1;COM.MAY. VINOS Y VINAGRES DEL PAIS;1
EN EL MUNICIPI;2019;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;11
EN EL MUNICIPI;2019;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;4
EN EL MUNICIPI;2019;6126;1;COM.MAY.BEBIDAS Y TABACO;2
EN EL MUNICIPI;2019;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;3
EN EL MUNICIPI;2019;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;4
EN EL MUNICIPI;2019;621;1;COM.MAY.CHATARRA Y METALES DESECHO;2
EN EL MUNICIPI;2019;6123;1;COM.MAY.FRUTAS Y VERDURAS;1
EN EL MUNICIPI;2019;6197;1;COM.MAY.INSTRUM.PRECISION Y MEDIDA;4
EN EL MUNICIPI;2019;6179;1;COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA;21
EN EL MUNICIPI;2019;6125;1;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;3
EN EL MUNICIPI;2019;6159;1;COM.MAY.OTROS ART. CONSUMO DURADERO NCOP;5
EN EL MUNICIPI;2019;6199;1;COM.MAY.OTROS PRODUCTOS NCOP;3
EN EL MUNICIPI;2019;6129;1;COM.MAY.OTROS PTOS. ALIMENT.,HELADOS ETC;6
