web_date,name,download_date
2022,2022_IAE.csv,19/07/2023
2021,2021_IAE.csv,19/07/2023
2020,2020_IAE.csv,19/07/2023
2019,2019_IAE.csv,19/07/2023
2018,2018_IAE.csv,19/07/2023
2017,2017_IAE.csv,19/07/2023
2016,2016_IAE.csv,19/07/2023
2015,2015_IAE.csv,19/07/2023
2014,2014_IAE.csv,19/07/2023
2013,2013_IAE.csv,19/07/2023
2012,2012_IAE.csv,19/07/2023
2011,2011_IAE.csv,19/07/2023
2010,2010_IAE.csv,19/07/2023
2009,2009_IAE.csv,19/07/2023
2008,2008_IAE.csv,19/07/2023
2007,2007_IAE.csv,19/07/2023
2006,2006_IAE.csv,19/07/2023
2005,2005_IAE.csv,19/07/2023
2004,2004_IAE.csv,19/07/2023
2003,2003_IAE.csv,19/07/2023
2002,2002_IAE.csv,19/07/2023
2001,2001_IAE.csv,19/07/2023
2000,2000_IAE.csv,19/07/2023
1999,1999_IAE.csv,19/07/2023
1998,1998_IAE.csv,19/07/2023
1997,1997_IAE.csv,19/07/2023
1996,1996_IAE.csv,19/07/2023
1995,1995_IAE.csv,19/07/2023
1994,1994_IAE.csv,19/07/2023
1993,1993_IAE.csv,19/07/2023
1992,1992_IAE.csv,19/07/2023
