CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
B-1;ALTRES USOS;       132,721.84;5
B-1;COMERÇ;        66,844.92;502
B-1;EMMAGATZEMATGE;         9,649.16;1901
B-1;ENSENYAMENT;       279,960.91;33
B-1;ESPECTACLES;       564,186.98;5
B-1;ESPORTIU;       328,981.97;7
B-1;HOTEL;       152,941.99;25
B-1;INDUSTRIA;        85,832.60;103
B-1;OFICINA;       119,321.97;160
B-1;RELIGIOS;       264,463.75;7
B-1;SOL SENSE EDIFICAR;       162,303.19;19
B-1;VIVENDA;        54,729.10;4045
B-10;COMERÇ;        29,119.24;34
B-10;EMMAGATZEMATGE;         8,564.29;107
B-10;INDUSTRIA;       176,404.95;4
B-10;OFICINA;        38,976.21;3
B-10;SOL SENSE EDIFICAR;        20,013.40;9
B-10;VIVENDA;        44,542.72;365
B-11;COMERÇ;       166,105.22;2
B-11;EMMAGATZEMATGE;        24,802.25;58
B-11;ESPECTACLES;       638,462.74;2
B-11;HOTEL;       810,811.35;2
B-11;INDUSTRIA;       267,322.52;67
B-11;OFICINA;       119,873.06;7
B-11;SOL SENSE EDIFICAR;        65,753.52;5
B-11;VIVENDA;        37,174.58;96
B-12;COMERÇ;        74,823.61;39
B-12;EMMAGATZEMATGE;         5,338.29;477
B-12;INDUSTRIA;       238,282.59;55
B-12;OFICINA;       136,423.54;23
B-12;SOL SENSE EDIFICAR;       150,968.52;4
B-12;VIVENDA;        38,222.35;548
B-13;ALTRES USOS;     1,080,300.80;10
B-13;COMERÇ;        66,297.92;93
B-13;EMMAGATZEMATGE;        12,124.49;855
B-13;ENSENYAMENT;       219,395.33;4
B-13;ESPORTIU;        63,277.25;1
B-13;HOTEL;     8,590,746.79;1
B-13;INDUSTRIA;        67,272.56;28
B-13;OFICINA;        66,217.99;8
B-13;SOL SENSE EDIFICAR;       200,865.66;19
B-13;VIVENDA;        50,756.03;2223
B-14;ALTRES USOS;       204,213.75;1
B-14;COMERÇ;       203,643.43;41
B-14;EMMAGATZEMATGE;        90,999.30;6
B-14;INDUSTRIA;       133,133.33;193
B-14;OFICINA;        99,355.33;36
B-15;COMERÇ;        10,970.90;22
B-15;INDUSTRIA;         9,087.36;1
B-15;VIVENDA;        19,466.62;1382
B-16;ALTRES USOS;       115,346.50;3
B-16;COMERÇ;        51,196.86;164
B-16;EMMAGATZEMATGE;         7,398.80;1269
B-16;ENSENYAMENT;       608,052.04;6
B-16;ESPORTIU;         3,482.09;16
B-16;INDUSTRIA;       219,031.53;16
B-16;OFICINA;        60,984.42;10
B-16;PUBLIC;     1,465,425.73;1
B-16;RELIGIOS;        55,457.18;1
B-16;SOL SENSE EDIFICAR;       103,442.25;25
B-16;VIVENDA;        40,088.40;2302
B-17;EMMAGATZEMATGE;        88,996.38;1
B-17;ENSENYAMENT;     3,597,255.39;1
B-17;ESPORTIU;     1,421,451.84;1
B-17;SOL SENSE EDIFICAR;        85,241.14;21
B-17;VIVENDA;       233,609.09;141
B-18;COMERÇ;        14,595.74;11
B-18;INDUSTRIA;       336,145.56;7
B-18;VIVENDA;       156,559.09;1
B-19;ALTRES USOS;        51,345.53;2
B-19;COMERÇ;        29,045.17;253
B-19;EMMAGATZEMATGE;         8,635.10;566
B-19;ENSENYAMENT;        59,168.10;8
B-19;ESPORTIU;       216,486.07;2
B-19;INDUSTRIA;        44,367.17;15
B-19;OFICINA;        28,048.29;10
B-19;RELIGIOS;       272,803.69;2
B-19;SOL SENSE EDIFICAR;        18,834.84;17
B-19;VIVENDA;        26,413.42;3698
B-2;ALTRES USOS;       124,259.47;1
B-2;COMERÇ;        60,297.59;40
B-2;EMMAGATZEMATGE;         8,199.01;438
B-2;ENSENYAMENT;       102,196.81;2
B-2;INDUSTRIA;       167,966.85;30
B-2;OFICINA;        75,567.42;25
B-2;SOL SENSE EDIFICAR;       497,744.22;13
B-2;VIVENDA;        54,588.86;718
B-20;ALTRES USOS;       345,691.48;4
B-20;COMERÇ;        28,051.92;177
B-20;EMMAGATZEMATGE;         6,188.24;2203
B-20;ENSENYAMENT;        38,984.67;1
B-20;INDUSTRIA;        35,529.08;4
B-20;OFICINA;        30,884.90;23
B-20;RELIGIOS;       762,986.25;1
B-20;SOL SENSE EDIFICAR;       186,099.80;3
B-20;VIVENDA;        35,570.97;3210
B-21;ALTRES USOS;       545,010.19;1
B-21;COMERÇ;        32,876.87;111
B-21;EMMAGATZEMATGE;         8,535.61;303
B-21;ENSENYAMENT;        72,943.22;3
B-21;HOTEL;        20,888.57;1
B-21;INDUSTRIA;        27,724.05;16
B-21;OFICINA;        31,661.60;6
B-21;SOL SENSE EDIFICAR;         8,393.32;26
B-21;VIVENDA;        29,834.87;1730
B-22;ALTRES USOS;       352,500.06;6
B-22;COMERÇ;        40,745.74;521
B-22;EMMAGATZEMATGE;         7,248.79;1424
B-22;ENSENYAMENT;        44,397.74;8
B-22;ESPORTIU;        53,377.52;3
B-22;HOTEL;        30,471.46;2
B-22;INDUSTRIA;        45,431.14;29
B-22;OFICINA;        48,070.52;28
B-22;RELIGIOS;       139,461.07;2
B-22;SOL SENSE EDIFICAR;        37,277.98;28
B-22;VIVENDA;        26,001.65;5682
B-23;ALTRES USOS;       119,940.79;1
B-23;COMERÇ;        28,989.11;68
B-23;EMMAGATZEMATGE;        14,741.24;50
