DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NR_LOCALS
B-1;ALTRES USOS;       205,157.86;11
B-1;COMERÇ;        87,294.40;527
B-1;EMMAGATZEMATGE;        12,577.08;2.016
B-1;ENSENYAMENT;       361,357.50;34
B-1;ESPECTACLES;       608,471.54;1
B-1;ESPORTIU;       813,993.38;10
B-1;HOTEL;       287,647.99;28
B-1;INDUSTRIA;        92,539.31;89
B-1;OFICINA;       154,840.61;154
B-1;RELIGIOS;       336,156.73;6
B-1;SOL SENSE EDIFICAR;       183,471.96;22
B-1;VIVENDA;        72,893.42;4.187
B-10;COMERÇ;        34,157.24;33
B-10;EMMAGATZEMATGE;        11,883.27;110
B-10;INDUSTRIA;       230,867.49;4
B-10;OFICINA;        58,118.55;2
B-10;SOL SENSE EDIFICAR;        36,232.06;10
B-10;VIVENDA;        58,444.35;373
B-11;COMERÇ;       217,387.86;2
B-11;EMMAGATZEMATGE;        31,675.77;59
B-11;ESPECTACLES;       378,906.24;1
B-11;ESPORTIU;       578,474.70;2
B-11;HOTEL;       825,474.95;3
B-11;INDUSTRIA;       358,758.59;62
B-11;OFICINA;       156,882.17;7
B-11;SOL SENSE EDIFICAR;        86,053.98;5
B-11;VIVENDA;        61,487.63;102
B-12;COMERÇ;       127,574.91;50
B-12;EMMAGATZEMATGE;        10,085.11;485
B-12;INDUSTRIA;       337,265.04;42
B-12;OFICINA;       168,406.15;19
B-12;SOL SENSE EDIFICAR;       169,265.88;3
B-12;VIVENDA;        47,873.21;610
B-13;ALTRES USOS;     1,294,178.59;11
B-13;COMERÇ;        94,986.01;99
B-13;EMMAGATZEMATGE;        15,414.68;929
B-13;ENSENYAMENT;       343,438.74;6
B-13;ESPORTIU;        82,813.19;1
B-13;HOTEL;    11,243,019.56;1
B-13;INDUSTRIA;        93,914.64;24
B-13;OFICINA;        83,278.14;11
B-13;SOL SENSE EDIFICAR;       225,462.84;15
B-13;VIVENDA;        67,013.41;2.451
B-14;ALTRES USOS;       267,261.87;1
B-14;COMERÇ;       271,868.54;41
B-14;EMMAGATZEMATGE;       119,094.04;6
B-14;INDUSTRIA;       173,107.06;192
B-14;OFICINA;       131,932.83;37
B-15;COMERÇ;        14,357.98;22
B-15;INDUSTRIA;        11,892.93;1
B-15;VIVENDA;        25,488.72;1.601
B-16;ALTRES USOS;       150,958.10;3
B-16;COMERÇ;        67,290.02;169
B-16;EMMAGATZEMATGE;         8,745.60;1.437
B-16;ENSENYAMENT;       733,035.73;7
B-16;ESPORTIU;         4,557.12;16
B-16;INDUSTRIA;       291,714.08;15
B-16;OFICINA;        73,922.27;14
B-16;PUBLIC;     1,917,855.39;1
B-16;RELIGIOS;        72,578.78;1
B-16;SOL SENSE EDIFICAR;        80,918.55;24
B-16;VIVENDA;        52,929.52;2.430
B-17;EMMAGATZEMATGE;       243,854.20;3
B-17;ENSENYAMENT;     5,091,820.89;1
B-17;ESPORTIU;     2,493,644.45;1
B-17;SOL SENSE EDIFICAR;       107,488.55;19
B-17;VIVENDA;       304,822.60;142
B-18;COMERÇ;        19,101.94;11
B-18;INDUSTRIA;       439,925.78;7
B-18;VIVENDA;       204,894.48;1
B-19;ALTRES USOS;        67,197.72;2
B-19;COMERÇ;        37,716.70;255
B-19;EMMAGATZEMATGE;        10,860.76;570
B-19;ENSENYAMENT;        77,435.40;8
B-19;ESPORTIU;       283,391.25;2
B-19;INDUSTRIA;        58,311.08;15
B-19;OFICINA;        37,852.76;9
B-19;RELIGIOS;       357,027.99;2
B-19;SOL SENSE EDIFICAR;        22,680.72;20
B-19;VIVENDA;        34,431.50;3.711
B-2;ALTRES USOS;       162,622.82;1
B-2;COMERÇ;        79,891.62;38
B-2;EMMAGATZEMATGE;        10,465.36;449
B-2;ENSENYAMENT;       133,748.63;2
B-2;INDUSTRIA;       210,556.34;27
B-2;OFICINA;       101,367.33;24
B-2;PUBLIC;     1,553,709.26;1
B-2;SOL SENSE EDIFICAR;       152,704.30;14
B-2;VIVENDA;        71,456.93;687
B-20;ALTRES USOS;       371,606.41;5
B-20;COMERÇ;        39,084.13;183
B-20;EMMAGATZEMATGE;         7,946.25;2.194
B-20;ENSENYAMENT;        51,020.62;1
B-20;INDUSTRIA;        46,498.16;4
B-20;OFICINA;        40,198.83;24
B-20;RELIGIOS;       998,547.55;1
B-20;SOL SENSE EDIFICAR;       223,166.61;5
B-20;VIVENDA;        46,426.81;3.248
B-21;ALTRES USOS;       713,274.44;1
B-21;COMERÇ;        42,733.19;114
B-21;EMMAGATZEMATGE;        11,171.25;310
B-21;ENSENYAMENT;        95,463.41;3
B-21;HOTEL;        34,457.36;1
B-21;INDUSTRIA;        30,359.32;15
B-21;OFICINA;        41,436.66;6
B-21;SOL SENSE EDIFICAR;        13,461.61;21
B-21;VIVENDA;        38,955.18;1.751
B-22;ALTRES USOS;       401,456.59;7
B-22;COMERÇ;        53,032.81;521
B-22;EMMAGATZEMATGE;         9,496.54;1.423
B-22;ENSENYAMENT;        87,584.79;6
B-22;ESPORTIU;        69,857.07;3
B-22;HOTEL;        50,816.99;3
B-22;INDUSTRIA;        59,457.35;29
B-22;OFICINA;        59,669.03;27
B-22;RELIGIOS;       182,517.70;2
B-22;SOL SENSE EDIFICAR;        48,125.72;29
B-22;VIVENDA;        33,971.40;5.676
B-23;ALTRES USOS;       134,088.62;2
B-23;COMERÇ;        37,593.37;66
B-23;EMMAGATZEMATGE;        19,104.45;51
B-23;ENSENYAMENT;       179,348.30;2
B-23;INDUSTRIA;        23,743.85;4
B-23;OFICINA;        54,687.23;6
B-23;SOL SENSE EDIFICAR;        25,283.12;5
B-23;VIVENDA;        36,023.46;902
B-24;ALTRES USOS;       134,451.68;1
B-24;COMERÇ;        45,821.57;76
B-24;EMMAGATZEMATGE;         8,452.30;523
B-24;ENSENYAMENT;       205,630.05;1
B-24;INDUSTRIA;        28,264.63;5
B-24;OFICINA;       112,008.08;2
B-24;SOL SENSE EDIFICAR;        41,345.76;15
B-24;VIVENDA;        35,016.94;1.153
B-25;ALTRES USOS;       476,435.08;3
B-25;COMERÇ;        98,221.41;160
B-25;EMMAGATZEMATGE;         8,901.39;1.544
B-25;ENSENYAMENT;       153,181.80;2
B-25;HOTEL;        60,773.36;1
B-25;INDUSTRIA;        73,158.14;3
B-25;SOL SENSE EDIFICAR;        44,148.58;7
B-25;VIVENDA;        45,400.03;2.027
B-26;ALTRES USOS;       469,661.99;5
B-26;COMERÇ;       407,346.62;185
B-26;EMMAGATZEMATGE;         8,644.99;1.550
B-26;INDUSTRIA;       295,276.31;78
B-26;OFICINA;       267,566.75;53
B-26;RELIGIOS;       894,579.62;1
B-26;SOL SENSE EDIFICAR;        57,888.44;101
B-26;VIVENDA;        89,969.55;1.339
B-27;ALTRES USOS;        31,491.54;1
B-27;COMERÇ;        27,906.99;189
B-27;EMMAGATZEMATGE;         7,539.09;1.055
B-27;ENSENYAMENT;        33,480.78;7
B-27;INDUSTRIA;        74,498.17;2
B-27;OFICINA;        31,047.63;12
B-27;SOL SENSE EDIFICAR;        23,905.47;2
B-27;VIVENDA;        32,630.31;2.472
B-28;ALTRES USOS;       177,305.67;2
B-28;COMERÇ;        36,707.49;342
B-28;EMMAGATZEMATGE;        10,753.30;680
B-28;ENSENYAMENT;       137,358.55;13
B-28;HOTEL;       100,354.22;1
B-28;INDUSTRIA;        51,931.22;11
B-28;OFICINA;        52,947.28;24
B-28;SOL SENSE EDIFICAR;       153,049.71;12
B-28;VIVENDA;        35,230.44;3.916
B-29;ALTRES USOS;       355,290.99;8
B-29;COMERÇ;        64,168.46;307
B-29;EMMAGATZEMATGE;         9,011.04;1.395
B-29;ENSENYAMENT;       188,652.51;9
B-29;ESPORTIU;        26,169.89;2
B-29;HOTEL;        72,034.88;1
B-29;INDUSTRIA;        87,939.51;30
B-29;OFICINA;        69,416.72;24
B-29;RELIGIOS;       864,037.39;1
B-29;SOL SENSE EDIFICAR;       205,533.57;8
B-29;VIVENDA;        42,592.31;4.770
B-3;ALTRES USOS;       529,286.76;8
B-3;COMERÇ;        72,196.51;111
B-3;EMMAGATZEMATGE;         7,972.98;1.483
B-3;ENSENYAMENT;       493,592.66;7
B-3;ESPECTACLES;        19,765.60;1
B-3;ESPORTIU;        51,328.44;4
B-3;HOTEL;       129,388.28;2
B-3;INDUSTRIA;       110,484.60;11
B-3;OFICINA;        73,065.04;37
B-3;PUBLIC;     2,577,604.51;1
B-3;SOL SENSE EDIFICAR;        61,030.14;12
B-3;VIVENDA;        72,771.72;1.485
B-30;ALTRES USOS;        76,603.19;5
B-30;COMERÇ;        56,243.77;127
B-30;EMMAGATZEMATGE;         9,433.24;507
B-30;ENSENYAMENT;       362,339.43;2
B-30;INDUSTRIA;        54,037.35;10
B-30;OFICINA;        44,258.10;13
B-30;RELIGIOS;       176,641.86;3
B-30;SOL SENSE EDIFICAR;        23,615.30;4
B-30;VIVENDA;        41,281.39;1.332
B-31;ALTRES USOS;        40,850.57;2
B-31;COMERÇ;        25,080.11;187
B-31;EMMAGATZEMATGE;         8,144.54;193
B-31;ENSENYAMENT;     1,220,247.27;2
B-31;INDUSTRIA;       697,589.01;3
B-31;RELIGIOS;       928,975.97;1
B-31;SOL SENSE EDIFICAR;        36,884.68;2
B-31;VIVENDA;        28,955.36;2.908
B-32;COMERÇ;        26,810.45;84
B-32;EMMAGATZEMATGE;        29,439.65;84
B-32;ENSENYAMENT;     1,404,278.93;2
B-32;HOTEL;        18,845.81;1
B-32;INDUSTRIA;        16,449.66;3
B-32;OFICINA;        53,474.18;4
B-32;VIVENDA;        32,120.30;1.244
B-33;COMERÇ;       368,594.39;21
B-33;EMMAGATZEMATGE;        14,600.84;120
B-33;ENSENYAMENT;       256,563.42;2
B-33;INDUSTRIA;       413,432.19;136
B-33;OFICINA;       662,009.66;5
B-33;SOL SENSE EDIFICAR;       255,533.25;5
B-33;VIVENDA;        47,626.23;272
B-34;COMERÇ;       298,802.88;13
B-34;EMMAGATZEMATGE;         7,252.31;94
B-34;HOTEL;       119,381.51;1
B-34;INDUSTRIA;       341,365.92;58
B-34;OFICINA;       298,232.60;40
B-34;SOL SENSE EDIFICAR;       750,805.72;3
B-34;VIVENDA;        74,929.22;84
B-4;COMERÇ;        78,311.17;107
B-4;EMMAGATZEMATGE;        15,616.91;1.186
B-4;ENSENYAMENT;       100,050.52;1
B-4;HOTEL;       132,195.22;5
B-4;INDUSTRIA;       223,099.83;250
B-4;OFICINA;       384,852.16;19
B-4;RELIGIOS;       427,463.33;1
B-4;SOL SENSE EDIFICAR;       590,458.49;43
B-4;VIVENDA;        51,686.92;1.495
B-5;ALTRES USOS;       449,423.79;4
B-5;COMERÇ;        75,587.93;291
B-5;EMMAGATZEMATGE;         8,950.44;3.219
B-5;ENSENYAMENT;       304,336.42;15
B-5;ESPORTIU;       329,547.38;5
B-5;HOTEL;       133,642.04;1
B-5;INDUSTRIA;       132,696.70;65
B-5;OFICINA;        61,718.90;44
B-5;RELIGIOS;       663,243.83;1
B-5;SOL SENSE EDIFICAR;       239,663.61;10
B-5;VIVENDA;        61,180.47;4.113
B-6;ALTRES USOS;       212,655.95;4
