CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
SENSE IDENTIFICAR;ALTRES USOS;     2,178,501.76;31
SENSE IDENTIFICAR;COMERÇ;        99,634.69;1792
SENSE IDENTIFICAR;EMMAGATZEMATGE;        11,529.41;13278
SENSE IDENTIFICAR;ENSENYAMENT;       552,755.15;58
SENSE IDENTIFICAR;ESPECTACLES;       854,077.97;3
SENSE IDENTIFICAR;ESPORTIU;     2,756,914.60;20
SENSE IDENTIFICAR;HOTEL;       184,786.66;20
SENSE IDENTIFICAR;INDUSTRIA;       212,682.01;555
SENSE IDENTIFICAR;OFICINA;        99,915.90;186
SENSE IDENTIFICAR;PUBLIC;       551,830.90;2
SENSE IDENTIFICAR;RELIGIOS;       352,398.23;19
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       274,696.98;203
SENSE IDENTIFICAR;VIVENDA;        40,897.95;21393
S-01001;ALTRES USOS;        83,817.78;1
S-01001;COMERÇ;       109,737.50;27
S-01001;EMMAGATZEMATGE;         9,763.57;337
S-01001;ENSENYAMENT;       432,148.40;6
S-01001;ESPORTIU;       114,319.56;1
S-01001;INDUSTRIA;       134,185.80;9
S-01001;OFICINA;        86,213.06;8
S-01001;SOL SENSE EDIFICAR;        34,804.40;3
S-01001;VIVENDA;        66,528.41;441
S-01002;COMERÇ;        97,369.13;128
S-01002;EMMAGATZEMATGE;        10,669.05;244
S-01002;ENSENYAMENT;       589,908.66;7
S-01002;ESPECTACLES;       511,423.78;1
S-01002;ESPORTIU;       771,418.08;1
S-01002;HOTEL;       119,420.64;5
S-01002;INDUSTRIA;        60,917.06;23
S-01002;OFICINA;       176,774.28;27
S-01002;RELIGIOS;       525,669.50;2
S-01002;SOL SENSE EDIFICAR;        11,892.13;2
S-01002;VIVENDA;        69,152.22;676
S-01003;ALTRES USOS;        56,335.35;1
S-01003;COMERÇ;        90,999.18;33
S-01003;EMMAGATZEMATGE;        17,220.92;83
S-01003;ENSENYAMENT;       344,682.55;3
S-01003;ESPECTACLES;        57,267.04;2
S-01003;HOTEL;       268,473.45;2
S-01003;INDUSTRIA;       127,187.98;11
S-01003;OFICINA;        95,255.68;21
S-01003;VIVENDA;        74,452.96;305
S-01004;COMERÇ;        64,610.93;19
S-01004;EMMAGATZEMATGE;        18,084.86;32
S-01004;HOTEL;        75,900.13;8
S-01004;INDUSTRIA;        40,007.12;7
S-01004;OFICINA;        78,346.56;6
S-01004;RELIGIOS;       125,551.48;1
S-01004;SOL SENSE EDIFICAR;        37,451.49;3
S-01004;VIVENDA;        60,497.33;305
S-01005;ALTRES USOS;       196,605.65;3
S-01005;COMERÇ;        41,105.63;45
S-01005;EMMAGATZEMATGE;         7,635.60;294
S-01005;ENSENYAMENT;       135,245.49;2
S-01005;ESPORTIU;     1,125,092.74;1
S-01005;INDUSTRIA;        66,911.72;3
S-01005;OFICINA;        80,712.83;16
S-01005;SOL SENSE EDIFICAR;        57,752.17;5
S-01005;VIVENDA;        67,099.67;359
S-01007;COMERÇ;       112,002.13;49
S-01007;EMMAGATZEMATGE;         8,936.91;375
S-01007;ENSENYAMENT;       162,011.38;12
S-01007;ESPORTIU;       174,894.06;1
S-01007;HOTEL;       237,572.76;7
S-01007;INDUSTRIA;       126,174.83;6
S-01007;OFICINA;       143,852.61;31
S-01007;RELIGIOS;        91,006.63;2
S-01007;VIVENDA;        59,916.36;559
S-01008;COMERÇ;        57,992.67;26
S-01008;EMMAGATZEMATGE;        32,671.56;15
S-01008;ENSENYAMENT;        48,858.07;1
S-01008;ESPECTACLES;       287,293.39;1
S-01008;ESPORTIU;        23,305.51;1
S-01008;HOTEL;       377,521.72;2
S-01008;INDUSTRIA;        29,284.98;3
S-01008;OFICINA;        78,577.50;9
S-01008;SOL SENSE EDIFICAR;        68,778.35;2
S-01008;VIVENDA;        59,865.60;304
S-02001;COMERÇ;        66,754.19;31
S-02001;EMMAGATZEMATGE;         9,827.35;214
S-02001;ENSENYAMENT;        25,929.86;1
S-02001;INDUSTRIA;       171,797.15;19
S-02001;OFICINA;        57,666.90;17
S-02001;SOL SENSE EDIFICAR;       629,593.69;10
S-02001;VIVENDA;        52,624.12;397
S-02002;ALTRES USOS;       136,685.41;1
S-02002;COMERÇ;        70,044.61;10
S-02002;EMMAGATZEMATGE;         8,581.14;225
S-02002;ENSENYAMENT;       198,903.12;1
S-02002;INDUSTRIA;       207,159.99;11
S-02002;OFICINA;       152,065.49;7
S-02002;SOL SENSE EDIFICAR;       180,551.40;5
S-02002;VIVENDA;        67,579.09;323
S-02003;COMERÇ;        39,956.82;167
S-02003;EMMAGATZEMATGE;        11,607.98;506
S-02003;ENSENYAMENT;        71,398.23;2
S-02003;ESPECTACLES;     2,189,777.12;1
S-02003;ESPORTIU;        87,288.31;7
S-02003;HOTEL;       137,877.60;3
S-02003;INDUSTRIA;        57,311.36;37
S-02003;OFICINA;       132,224.96;37
S-02003;SOL SENSE EDIFICAR;       333,243.01;11
S-02003;VIVENDA;        43,549.09;1121
S-02004;ALTRES USOS;       527,444.10;6
S-02004;COMERÇ;        73,467.70;76
S-02004;EMMAGATZEMATGE;         7,805.20;808
S-02004;ENSENYAMENT;       758,646.30;3
S-02004;ESPECTACLES;        16,613.11;1
S-02004;HOTEL;        14,100.16;1
S-02004;INDUSTRIA;       115,943.53;11
S-02004;OFICINA;       124,906.16;34
S-02004;PUBLIC;     2,166,491.16;1
S-02004;RELIGIOS;       338,733.56;2
S-02004;SOL SENSE EDIFICAR;        90,481.54;4
S-02004;VIVENDA;        63,711.33;910
S-02005;COMERÇ;        21,019.78;4
S-02005;EMMAGATZEMATGE;        23,343.20;14
S-02005;ENSENYAMENT;       170,296.45;1
S-02005;ESPORTIU;        29,147.89;1
S-02005;INDUSTRIA;        71,807.38;5
S-02005;RELIGIOS;       242,734.07;1
S-02005;SOL SENSE EDIFICAR;        37,385.44;2
S-02005;VIVENDA;        32,887.42;159
S-02006;COMERÇ;        29,991.47;9
S-02006;EMMAGATZEMATGE;         5,027.05;125
S-02006;INDUSTRIA;        21,964.72;2
S-02006;SOL SENSE EDIFICAR;           999.11;2
S-02006;VIVENDA;        28,368.59;250
S-02007;COMERÇ;        19,157.85;28
S-02007;EMMAGATZEMATGE;        15,202.35;17
S-02007;ENSENYAMENT;        30,653.38;3
S-02007;OFICINA;        20,143.96;4
S-02007;RELIGIOS;       357,434.03;1
S-02007;VIVENDA;        22,926.28;349
S-02008;ALTRES USOS;       197,141.77;2
S-02008;COMERÇ;        49,723.42;40
S-02008;EMMAGATZEMATGE;         5,943.50;693
S-02008;ENSENYAMENT;       133,767.67;4
S-02008;INDUSTRIA;        32,711.20;4
S-02008;OFICINA;        51,835.04;12
S-02008;SOL SENSE EDIFICAR;       125,495.82;1
S-02008;VIVENDA;        60,401.49;498
S-02009;COMERÇ;        19,371.78;20
S-02009;EMMAGATZEMATGE;        16,051.82;6
S-02009;OFICINA;        48,899.47;3
S-02009;VIVENDA;        22,757.79;409
S-02010;COMERÇ;        28,848.84;35
S-02010;EMMAGATZEMATGE;        11,618.53;19
S-02010;INDUSTRIA;        36,668.63;5
S-02010;OFICINA;        32,148.55;1
S-02010;SOL SENSE EDIFICAR;        20,736.15;4
S-02010;VIVENDA;        31,801.41;405
S-02011;COMERÇ;        48,407.36;35
S-02011;EMMAGATZEMATGE;         9,770.46;97
S-02011;ENSENYAMENT;        33,911.39;1
S-02011;VIVENDA;        33,756.76;548
S-02012;COMERÇ;        33,546.01;6
S-02012;EMMAGATZEMATGE;        19,900.54;18
S-02012;ENSENYAMENT;        67,605.16;1
S-02012;INDUSTRIA;        51,649.87;2
S-02012;OFICINA;        26,916.47;1
S-02012;SOL SENSE EDIFICAR;        15,040.33;3
S-02012;VIVENDA;        31,572.50;332
S-02013;ALTRES USOS;        29,825.09;1
S-02013;COMERÇ;        39,146.75;38
S-02013;EMMAGATZEMATGE;         6,812.28;178
S-02013;ENSENYAMENT;        29,820.67;1
S-02013;SOL SENSE EDIFICAR;         3,882.56;3
S-02013;VIVENDA;        27,290.44;500
S-02014;COMERÇ;        35,127.26;33
S-02014;EMMAGATZEMATGE;        11,767.07;72
S-02014;ENSENYAMENT;       127,085.43;1
S-02014;ESPORTIU;       447,121.44;1
S-02014;VIVENDA;        27,650.17;400
S-02015;ALTRES USOS;        83,135.06;1
S-02015;COMERÇ;        27,685.57;44
S-02015;EMMAGATZEMATGE;        23,481.02;19
S-02015;INDUSTRIA;        42,449.00;1
S-02015;SOL SENSE EDIFICAR;        45,243.05;3
S-02015;VIVENDA;        32,045.77;348
S-03001;COMERÇ;        56,343.91;16
S-03001;EMMAGATZEMATGE;        34,541.44;100
S-03001;HOTEL;       120,890.24;4
S-03001;INDUSTRIA;       290,389.91;69
S-03001;OFICINA;       156,788.92;3
S-03001;SOL SENSE EDIFICAR;       387,219.45;27
S-03001;VIVENDA;        42,337.75;267
S-03002;COMERÇ;        26,166.21;47
S-03002;EMMAGATZEMATGE;        16,808.56;192
S-03002;ENSENYAMENT;        84,093.04;1
S-03002;INDUSTRIA;        62,037.62;108
S-03002;OFICINA;     1,387,561.22;3
S-03002;RELIGIOS;       256,178.71;1
S-03002;SOL SENSE EDIFICAR;        77,471.21;3
S-03002;VIVENDA;        41,327.76;306
S-03003;COMERÇ;        55,258.83;50
S-03003;EMMAGATZEMATGE;         7,601.14;601
S-03003;ENSENYAMENT;        23,622.35;1
S-03003;INDUSTRIA;       135,024.04;9
S-03003;OFICINA;        45,241.71;6
S-03003;SOL SENSE EDIFICAR;       481,588.92;6
S-03003;VIVENDA;        47,336.90;632
S-03004;ALTRES USOS;     1,166,233.61;1
S-03004;COMERÇ;        57,967.78;62
S-03004;EMMAGATZEMATGE;         6,405.91;954
S-03004;ENSENYAMENT;        85,923.82;1
S-03004;ESPORTIU;       285,448.90;1
S-03004;INDUSTRIA;        45,763.27;13
S-03004;OFICINA;        39,654.00;9
S-03004;SOL SENSE EDIFICAR;       119,840.89;3
S-03004;VIVENDA;        55,167.38;909
S-03005;COMERÇ;        38,068.40;10
S-03005;EMMAGATZEMATGE;        11,685.04;100
S-03005;ESPORTIU;       175,153.47;1
S-03005;HOTEL;        92,160.07;2
S-03005;INDUSTRIA;       142,279.98;29
S-03005;OFICINA;        54,289.79;4
S-03005;SOL SENSE EDIFICAR;     1,077,273.11;5
S-03005;VIVENDA;        40,527.40;433
S-03006;COMERÇ;        46,159.26;14
S-03006;EMMAGATZEMATGE;         8,654.53;238
S-03006;ENSENYAMENT;     1,804,948.94;1
S-03006;INDUSTRIA;        59,719.39;15
S-03006;OFICINA;        34,873.66;2
S-03006;VIVENDA;        53,627.87;458
S-03007;COMERÇ;        67,099.82;21
S-03007;EMMAGATZEMATGE;         6,574.49;344
S-03007;ENSENYAMENT;       245,883.43;6
S-03007;ESPORTIU;       333,843.67;1
S-03007;INDUSTRIA;        62,441.71;5
S-03007;OFICINA;        50,073.52;6
S-03007;SOL SENSE EDIFICAR;         3,104.38;1
S-03007;VIVENDA;        54,257.67;416
S-03008;COMERÇ;        49,790.34;31
S-03008;EMMAGATZEMATGE;         9,065.61;85
S-03008;ENSENYAMENT;       336,253.47;1
S-03008;INDUSTRIA;        31,247.23;1
S-03008;OFICINA;        48,900.42;6
S-03008;SOL SENSE EDIFICAR;        56,804.25;3
S-03008;VIVENDA;        53,795.20;275
S-03009;ALTRES USOS;        97,992.86;1
S-03009;COMERÇ;        34,986.97;28
S-03009;EMMAGATZEMATGE;        11,284.08;74
