SECCIO_CENSAL;US;PROMIG_VALOR_CAD;NR_LOCALS
SENSE IDENTIFICAR;ALTRES USOS;     2,276,403.43;40
SENSE IDENTIFICAR;COMERÇ;       127,415.21;1.733
SENSE IDENTIFICAR;EMMAGATZEMATGE;        14,175.26;13.270
SENSE IDENTIFICAR;ENSENYAMENT;       733,117.02;58
SENSE IDENTIFICAR;ESPECTACLES;       886,442.69;2
SENSE IDENTIFICAR;ESPORTIU;     1,286,253.06;27
SENSE IDENTIFICAR;HOTEL;       253,290.52;20
SENSE IDENTIFICAR;INDUSTRIA;       255,342.95;519
SENSE IDENTIFICAR;OFICINA;       126,953.44;201
SENSE IDENTIFICAR;PUBLIC;       676,242.70;2
SENSE IDENTIFICAR;RELIGIOS;       424,922.14;21
SENSE IDENTIFICAR;SOL SENSE EDIFICAR;       317,236.28;216
SENSE IDENTIFICAR;VIVENDA;        51,395.90;20.790
S-01001;ALTRES USOS;       102,714.72;1
S-01001;COMERÇ;       133,148.04;26
S-01001;EMMAGATZEMATGE;        11,612.85;355
S-01001;ENSENYAMENT;       529,577.45;6
S-01001;ESPORTIU;       140,093.21;1
S-01001;INDUSTRIA;       164,983.94;9
S-01001;OFICINA;       102,139.24;7
S-01001;SOL SENSE EDIFICAR;        74,056.75;6
S-01001;VIVENDA;        80,546.27;449
S-01002;ALTRES USOS;       314,714.41;3
S-01002;COMERÇ;       124,636.73;137
S-01002;EMMAGATZEMATGE;        12,398.45;243
S-01002;ENSENYAMENT;       753,379.80;7
S-01002;ESPECTACLES;       626,725.68;1
S-01002;ESPORTIU;        26,790.69;1
S-01002;HOTEL;       195,004.00;7
S-01002;INDUSTRIA;        75,061.54;19
S-01002;OFICINA;       182,671.70;23
S-01002;RELIGIOS;       644,183.14;2
S-01002;SOL SENSE EDIFICAR;        11,025.51;2
S-01002;VIVENDA;        89,104.40;680
S-01003;ALTRES USOS;        69,036.29;1
S-01003;COMERÇ;        99,644.17;40
S-01003;EMMAGATZEMATGE;        16,971.34;127
S-01003;ENSENYAMENT;       540,362.67;2
S-01003;ESPORTIU;     4,188,174.50;1
S-01003;HOTEL;       356,945.61;3
S-01003;INDUSTRIA;       165,853.73;10
S-01003;OFICINA;       112,525.06;22
S-01003;VIVENDA;        93,214.50;375
S-01004;ALTRES USOS;        61,393.04;1
S-01004;COMERÇ;        84,712.42;18
S-01004;EMMAGATZEMATGE;        22,803.39;29
S-01004;ENSENYAMENT;       211,972.60;1
S-01004;HOTEL;        93,012.01;8
S-01004;INDUSTRIA;        38,986.29;3
S-01004;OFICINA;        87,184.89;7
S-01004;RELIGIOS;       167,883.57;1
S-01004;SOL SENSE EDIFICAR;        49,781.27;3
S-01004;VIVENDA;        76,599.63;308
S-01005;ALTRES USOS;       193,654.25;4
S-01005;COMERÇ;        53,493.53;48
S-01005;EMMAGATZEMATGE;         8,473.95;365
S-01005;ENSENYAMENT;       165,736.94;2
S-01005;ESPORTIU;     1,378,748.03;1
S-01005;OFICINA;       103,370.14;11
S-01005;SOL SENSE EDIFICAR;        40,174.89;2
S-01005;VIVENDA;        81,857.73;377
S-01007;ALTRES USOS;       180,556.42;1
S-01007;COMERÇ;       129,267.41;49
S-01007;EMMAGATZEMATGE;        11,541.12;377
S-01007;ENSENYAMENT;       189,705.83;13
S-01007;ESPORTIU;       214,324.39;1
S-01007;HOTEL;       297,196.84;7
S-01007;INDUSTRIA;       212,878.98;4
S-01007;OFICINA;       175,578.56;33
S-01007;RELIGIOS;       111,524.31;2
S-01007;SOL SENSE EDIFICAR;       190,355.26;2
S-01007;VIVENDA;        73,086.25;575
S-01008;COMERÇ;        72,175.76;28
S-01008;EMMAGATZEMATGE;        36,371.95;16
S-01008;ENSENYAMENT;        59,873.24;1
S-01008;ESPORTIU;        28,559.79;1
S-01008;HOTEL;       462,635.04;2
S-01008;INDUSTRIA;        35,887.35;3
S-01008;OFICINA;       101,445.20;8
S-01008;SOL SENSE EDIFICAR;        32,860.75;2
S-01008;VIVENDA;        76,234.05;315
S-02001;COMERÇ;        46,498.62;83
S-02001;EMMAGATZEMATGE;         8,790.37;473
S-02001;ENSENYAMENT;        68,922.03;3
S-02001;INDUSTRIA;       509,171.40;16
S-02001;OFICINA;        67,808.40;18
S-02001;SOL SENSE EDIFICAR;       469,744.73;12
S-02001;VIVENDA;        52,673.05;967
S-02002;ALTRES USOS;       167,501.50;1
S-02002;COMERÇ;       148,824.16;14
