CODI_DIVISIO_TERRITORIAL;DISTRICTE_AMBIT_TERRITORIAL;BARRI_AMBIT_TERRITORIAL;MES;ANY;CODI_INFRACCIO;DESCRIPCIO_INFRACCIO;NRE_TOTAL
B-1;;CENTRE;09;2019;94-;Estacionar i sobrepassar el temps del tiquet de control d'horari;20
B-1;;CENTRE;09;2019;91-;Estacionar en una sortida d'emergència;1
B-1;;CENTRE;09;2019;94-;Estacionar sense tiquet de control d'horari;56
B-1;;CENTRE;09;2019;91-M;Sense descripció de la infracció;2
B-1;;CENTRE;09;2019;154-;Sense descripció de la infracció;10
B-1;;CENTRE;09;2019;94-A;Sense descripció de la infracció;2
B-1;;CENTRE;09;2019;94-F;Sense descripció de la infracció;1
B-1;;CENTRE;09;2019;94-;Estacionar amb el tiquet de control d'horari sense que es vegi;1
B-1;;CENTRE;09;2019;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;1
B-1;;CENTRE;09;2019;94-G;Sense descripció de la infracció;1
B-1;;CENTRE;09;2019;94-E;Estacionar sobre la vorera;11
B-11;;MANRESÀ;09;2019;94-;Estacionar sense tiquet de control d'horari;8
B-11;;MANRESÀ;09;2019;94-;Estacionar i sobrepassar el temps del tiquet de control d'horari;1
B-11;;MANRESÀ;09;2019;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;1
B-13;;CASAGEMES;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
B-13;;CASAGEMES;09;2019;92-;Absentar-se del vehicle sense prendre mesures per evitar que es posi en moviment;1
B-13;;CASAGEMES;09;2019;94-E;Estacionar sobre la vorera;1
B-13;;CASAGEMES;09;2019;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;1
B-16;;MORERA;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-19;;SANT CRIST DE CAN CABANYES;09;2019;94-E;Estacionar sobre la vorera;1
B-19;;SANT CRIST DE CAN CABANYES;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
B-2;;COLL I PUJOL;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
B-20;;NOVA LLOREDA;09;2019;94-A;Sense descripció de la infracció;1
B-21;;SISTRELLS;09;2019;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;1
B-22;;LA SALUT;09;2019;91-;Estacionar en una sortida d'emergència;2
B-22;;LA SALUT;09;2019;58-;No mostrar amb temps suficient, amb reducció gradual de velocitat, que cedirà el pas en la intersecció;1
B-22;;LA SALUT;09;2019;94-E;Estacionar sobre la vorera;11
B-22;;LA SALUT;09;2019;154-;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2019;91-G;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-22;;LA SALUT;09;2019;94-F;Sense descripció de la infracció;2
B-22;;LA SALUT;09;2019;94-A;Sense descripció de la infracció;6
B-22;;LA SALUT;09;2019;143-;No obeir les ordres de l'agent de circulació;1
B-22;;LA SALUT;09;2019;171-;Sense descripció de la infracció;3
B-22;;LA SALUT;09;2019;18-;Conduir sense mantenir el camp necessari de visió;1
B-22;;LA SALUT;09;2019;117-;No utilitzar , el conductor/a, el cinturó de seguretat;2
B-22;;LA SALUT;09;2019;146-;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2019;20-;Conduir un vehicle amb una concentració d'alcohol en l'aire espirat entre 0,25 i 0,50 mgs;1
B-22;;LA SALUT;09;2019;167-;Sense descripció de la infracció;1
B-22;;LA SALUT;09;2019;91-E;Sense descripció de la infracció;1
B-23;;LLOREDA;09;2019;94-E;Estacionar sobre la vorera;1
B-23;;LLOREDA;09;2019;94-F;Sense descripció de la infracció;1
B-23;;LLOREDA;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-24;;LA PAU;09;2019;94-E;Estacionar sobre la vorera;3
B-24;;LA PAU;09;2019;94-F;Sense descripció de la infracció;1
B-24;;LA PAU;09;2019;94-A;Sense descripció de la infracció;4
B-24;;LA PAU;09;2019;91-M;Sense descripció de la infracció;5
B-24;;LA PAU;09;2019;91-H;Sense descripció de la infracció;1
B-24;;LA PAU;09;2019;154-;Sense descripció de la infracció;1
B-25;;PUIGFRED;09;2019;121-;Circular per carrer residencial amb monopatí o aparell similar a una velocitat inadequada;1
B-25;;PUIGFRED;09;2019;91-;Estacionar en una sortida d'emergència;1
B-25;;PUIGFRED;09;2019;94-E;Estacionar sobre la vorera;1
B-25;;PUIGFRED;09;2019;91-;Estacionar en el centre de la calçada;1
B-25;;PUIGFRED;09;2019;94-A;Sense descripció de la infracció;1
B-25;;PUIGFRED;09;2019;117-;No utilitzar, el passatger del seient del darrera, el cinturó de seguretat;1
B-25;;PUIGFRED;09;2019;91-L;Sense descripció de la infracció;1
B-26;;MONTIGALÀ;09;2019;94-;Estacionar bloquejant un contenidor impedint o dificultant la seva utilització o desplaçament;1
B-26;;MONTIGALÀ;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-26;;MONTIGALÀ;09;2019;94-G;Sense descripció de la infracció;1
B-27;;SANT JOAN DE LLEFIÀ;09;2019;94-A;Sense descripció de la infracció;2
B-27;;SANT JOAN DE LLEFIÀ;09;2019;154-;Sense descripció de la infracció;2
B-27;;SANT JOAN DE LLEFIÀ;09;2019;91-M;Sense descripció de la infracció;7
B-27;;SANT JOAN DE LLEFIÀ;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;1
B-27;;SANT JOAN DE LLEFIÀ;09;2019;94-E;Estacionar sobre la vorera;5
B-28;;SANT ANTONI DE LLEFIÀ;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;2
B-28;;SANT ANTONI DE LLEFIÀ;09;2019;94-E;Estacionar sobre la vorera;1
B-28;;SANT ANTONI DE LLEFIÀ;09;2019;91-;Estacionar en una sortida d'emergència;1
B-29;;SANT MORI DE LLEFIÀ;09;2019;91-;Estacionar en una sortida d'emergència;6
B-29;;SANT MORI DE LLEFIÀ;09;2019;91-M;Sense descripció de la infracció;1
B-29;;SANT MORI DE LLEFIÀ;09;2019;18-;Conduir sense mantenir el camp necessari de visió;1
B-29;;SANT MORI DE LLEFIÀ;09;2019;94-E;Estacionar sobre la vorera;3
B-29;;SANT MORI DE LLEFIÀ;09;2019;154-;Sense descripció de la infracció;2
B-29;;SANT MORI DE LLEFIÀ;09;2019;94-;Estacionar un vehicle temps indefinit amb símptomes d'abandonament  impedint altres estacionaments;5
B-29;;SANT MORI DE LLEFIÀ;09;2019;94-A;Sense descripció de la infracció;9
B-3;;DALT DE LA VILA;09;2019;94-A;Sense descripció de la infracció;2
B-3;;DALT DE LA VILA;09;2019;18-;Conduir sense mantenir el camp necessari de visió;1
B-3;;DALT DE LA VILA;09;2019;94-;Estacionar amb el tiquet de control d'horari sense que es vegi;1
B-3;;DALT DE LA VILA;09;2019;94-;Estacionar sense tiquet de control d'horari;74
