web_date,name,download_date
12/2019,2019_12_MULTES_BARRI.csv,19/07/2023
11/2019,2019_11_MULTES_BARRI.csv,19/07/2023
10/2019,2019_10_MULTES_BARRI.csv,19/07/2023
09/2019,2019_09_MULTES_BARRI.csv,19/07/2023
08/2019,2019_08_MULTES_BARRI.csv,19/07/2023
07/2019,2019_07_MULTES_BARRI.csv,19/07/2023
06/2019,2019_06_MULTES_BARRI.csv,19/07/2023
05/2019,2019_05_MULTES_BARRI.csv,19/07/2023
04/2019,2019_04_MULTES_BARRI.csv,19/07/2023
03/2019,2019_03_MULTES_BARRI.csv,19/07/2023
02/2019,2019_02_MULTES_BARRI.csv,19/07/2023
01/2019,2019_01_MULTES_BARRI.csv,19/07/2023
12/2018,2018_12_MULTES_BARRI.csv,19/07/2023
11/2018,2018_11_MULTES_BARRI.csv,19/07/2023
10/2018,2018_10_MULTES_BARRI.csv,19/07/2023
09/2018,2018_09_MULTES_BARRI.csv,19/07/2023
08/2018,2018_08_MULTES_BARRI.csv,19/07/2023
07/2018,2018_07_MULTES_BARRI.csv,19/07/2023
06/2018,2018_06_MULTES_BARRI.csv,19/07/2023
05/2018,2018_05_MULTES_BARRI.csv,19/07/2023
04/2018,2018_04_MULTES_BARRI.csv,19/07/2023
03/2018,2018_03_MULTES_BARRI.csv,19/07/2023
02/2018,2018_02_MULTES_BARRI.csv,19/07/2023
01/2018,2018_01_MULTES_BARRI.csv,19/07/2023
12/2017,2017_12_MULTES_BARRI.csv,19/07/2023
11/2017,2017_11_MULTES_BARRI.csv,19/07/2023
10/2017,2017_10_MULTES_BARRI.csv,19/07/2023
09/2017,2017_09_MULTES_BARRI.csv,19/07/2023
08/2017,2017_08_MULTES_BARRI.csv,19/07/2023
07/2017,2017_07_MULTES_BARRI.csv,19/07/2023
06/2017,2017_06_MULTES_BARRI.csv,19/07/2023
05/2017,2017_05_MULTES_BARRI.csv,19/07/2023
04/2017,2017_04_MULTES_BARRI.csv,19/07/2023
03/2017,2017_03_MULTES_BARRI.csv,19/07/2023
02/2017,2017_02_MULTES_BARRI.csv,19/07/2023
01/2017,2017_01_MULTES_BARRI.csv,19/07/2023
12/2016,2016_12_MULTES_BARRI.csv,19/07/2023
11/2016,2016_11_MULTES_BARRI.csv,19/07/2023
10/2016,2016_10_MULTES_BARRI.csv,19/07/2023
09/2016,2016_09_MULTES_BARRI.csv,19/07/2023
08/2016,2016_08_MULTES_BARRI.csv,19/07/2023
07/2016,2016_07_MULTES_BARRI.csv,19/07/2023
06/2016,2016_06_MULTES_BARRI.csv,19/07/2023
05/2016,2016_05_MULTES_BARRI.csv,19/07/2023
04/2016,2016_04_MULTES_BARRI.csv,19/07/2023
03/2016,2016_03_MULTES_BARRI.csv,19/07/2023
02/2016,2016_02_MULTES_BARRI.csv,19/07/2023
01/2016,2016_01_MULTES_BARRI.csv,19/07/2023
12/2015,2015_12_MULTES_BARRI.csv,19/07/2023
11/2015,2015_11_MULTES_BARRI.csv,19/07/2023
10/2015,2015_10_MULTES_BARRI.csv,19/07/2023
09/2015,2015_09_MULTES_BARRI.csv,20/07/2023
08/2015,2015_08_MULTES_BARRI.csv,20/07/2023
07/2015,2015_07_MULTES_BARRI.csv,20/07/2023
06/2015,2015_06_MULTES_BARRI.csv,20/07/2023
05/2015,2015_05_MULTES_BARRI.csv,20/07/2023
04/2015,2015_04_MULTES_BARRI.csv,20/07/2023
03/2015,2015_03_MULTES_BARRI.csv,20/07/2023
02/2015,2015_02_MULTES_BARRI.csv,20/07/2023
01/2015,2015_01_MULTES_BARRI.csv,20/07/2023
12/2014,2014_12_MULTES_BARRI.csv,20/07/2023
11/2014,2014_11_MULTES_BARRI.csv,20/07/2023
10/2014,2014_10_MULTES_BARRI.csv,20/07/2023
09/2014,2014_09_MULTES_BARRI.csv,20/07/2023
08/2014,2014_08_MULTES_BARRI.csv,20/07/2023
07/2014,2014_07_MULTES_BARRI.csv,20/07/2023
06/2014,2014_06_MULTES_BARRI.csv,20/07/2023
05/2014,2014_05_MULTES_BARRI.csv,20/07/2023
04/2014,2014_04_MULTES_BARRI.csv,20/07/2023
03/2014,2014_03_MULTES_BARRI.csv,20/07/2023
02/2014,2014_02_MULTES_BARRI.csv,20/07/2023
01/2014,2014_01_MULTES_BARRI.csv,20/07/2023
12/2013,2013_12_MULTES_BARRI.csv,20/07/2023
11/2013,2013_11_MULTES_BARRI.csv,20/07/2023
10/2013,2013_10_MULTES_BARRI.csv,20/07/2023
09/2013,2013_09_MULTES_BARRI.csv,20/07/2023
08/2013,2013_08_MULTES_BARRI.csv,20/07/2023
07/2013,2013_07_MULTES_BARRI.csv,20/07/2023
06/2013,2013_06_MULTES_BARRI.csv,20/07/2023
05/2013,2013_05_MULTES_BARRI.csv,20/07/2023
04/2013,2013_04_MULTES_BARRI.csv,20/07/2023
03/2013,2013_03_MULTES_BARRI.csv,20/07/2023
02/2013,2013_02_MULTES_BARRI.csv,20/07/2023
02/2013,2013_01_MULTES_BARRI.csv,20/07/2023
