CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-01;Centre;Andalusia;1;0;30;147;152;330
B-01;Centre;Aragó;1;0;6;24;43;74
B-01;Centre;Astúries (Principat d );0;2;4;6;1;13
B-01;Centre;Balears (Illes);1;1;5;1;3;11
B-01;Centre;Canàries;0;0;2;1;1;4
B-01;Centre;Cantàbria;0;0;1;0;3;4
B-01;Centre;Castella-la Manxa;0;0;3;25;32;60
B-01;Centre;Castella-Lleó;1;0;13;37;35;86
B-01;Centre;Catalunya;902;674;1785;1868;1537;6766
B-01;Centre;Ceuta-Melilla;0;0;2;3;1;6
B-01;Centre;Comunitat Valenciana;0;1;5;20;41;67
B-01;Centre;estranger;68;68;319;152;37;644
B-01;Centre;Extremadura;0;0;3;18;24;45
B-01;Centre;Galícia;0;0;8;6;20;34
B-01;Centre;Madrid (Comunitat de);0;0;15;9;16;40
B-01;Centre;Múrcia (Regió de);0;0;3;7;44;54
B-01;Centre;Navarra (Comunitat Foral de);0;0;5;1;4;10
B-01;Centre;País Basc;1;1;10;4;2;18
B-01;Centre;Rioja (La);0;0;0;2;5;7
B-02;Coll I Pujol;Andalusia;1;1;9;105;90;206
B-02;Coll I Pujol;Aragó;0;0;1;10;11;22
B-02;Coll I Pujol;Astúries (Principat d );0;0;1;0;2;3
B-02;Coll I Pujol;Balears (Illes);0;0;0;0;0;0
B-02;Coll I Pujol;Canàries;0;0;1;1;0;2
B-02;Coll I Pujol;Cantàbria;0;0;0;2;2;4
B-02;Coll I Pujol;Castella-la Manxa;0;0;4;12;15;31
B-02;Coll I Pujol;Castella-Lleó;0;1;3;24;11;39
B-02;Coll I Pujol;Catalunya;371;271;637;603;333;2215
B-02;Coll I Pujol;Ceuta-Melilla;0;0;0;6;1;7
B-02;Coll I Pujol;Comunitat Valenciana;0;0;9;8;10;27
B-02;Coll I Pujol;estranger;25;27;139;50;17;258
B-02;Coll I Pujol;Extremadura;0;0;1;19;8;28
B-02;Coll I Pujol;Galícia;2;0;3;6;15;26
B-02;Coll I Pujol;Madrid (Comunitat de);0;0;6;4;2;12
B-02;Coll I Pujol;Múrcia (Regió de);0;0;2;9;24;35
B-02;Coll I Pujol;Navarra (Comunitat Foral de);0;0;0;2;1;3
B-02;Coll I Pujol;País Basc;0;0;5;2;0;7
B-02;Coll I Pujol;Rioja (La);0;1;0;1;1;3
B-03;Dalt De La Vila;Andalusia;0;0;16;88;127;231
