CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-01;Centre;Andalusia;5;0;22;126;178;331
B-01;Centre;Aragó;0;1;10;15;46;72
B-01;Centre;Astúries (Principat d');0;0;5;5;1;11
B-01;Centre;Balears (Illes);1;0;8;2;3;14
B-01;Centre;Canàries;0;0;1;2;1;4
B-01;Centre;Cantàbria;0;0;2;1;3;6
B-01;Centre;Castella-la Manxa;1;0;4;19;34;58
B-01;Centre;Castella-Lleó;1;0;7;28;38;74
B-01;Centre;Catalunya;1.006;631;1.801;1.898;1.550;6.886
B-01;Centre;Ceuta-Melilla;0;0;1;2;0;3
B-01;Centre;Comunitat Valenciana;0;1;10;20;42;73
B-01;Centre;estranger;56;60;297;162;38;613
B-01;Centre;Extremadura;0;0;3;17;19;39
B-01;Centre;Galícia;1;0;8;7;22;38
B-01;Centre;Madrid (Comunitat de);1;0;12;16;13;42
B-01;Centre;Múrcia (Regió de);0;1;2;6;38;47
B-01;Centre;Navarra (Comunitat Foral de);0;0;4;2;3;9
B-01;Centre;País Basc;0;1;11;5;3;20
B-01;Centre;Rioja (La);0;1;0;2;5;8
B-02;Coll I Pujol;Andalusia;2;0;6;87;106;201
B-02;Coll I Pujol;Aragó;0;0;1;8;12;21
B-02;Coll I Pujol;Astúries (Principat d');0;0;0;0;1;1
B-02;Coll I Pujol;Balears (Illes);0;0;1;0;0;1
B-02;Coll I Pujol;Canàries;0;0;1;2;0;3
B-02;Coll I Pujol;Cantàbria;0;0;0;2;2;4
B-02;Coll I Pujol;Castella-la Manxa;0;0;5;12;19;36
B-02;Coll I Pujol;Castella-Lleó;0;1;3;24;12;40
B-02;Coll I Pujol;Catalunya;369;237;627;646;325;2.204
B-02;Coll I Pujol;Ceuta-Melilla;0;0;0;5;2;7
B-02;Coll I Pujol;Comunitat Valenciana;0;0;7;7;11;25
B-02;Coll I Pujol;estranger;10;38;121;65;20;254
B-02;Coll I Pujol;Extremadura;0;0;1;14;9;24
B-02;Coll I Pujol;Galícia;2;0;2;5;17;26
B-02;Coll I Pujol;Madrid (Comunitat de);0;1;5;3;2;11
B-02;Coll I Pujol;Múrcia (Regió de);0;0;2;8;21;31
B-02;Coll I Pujol;Navarra (Comunitat Foral de);0;0;0;2;2;4
B-02;Coll I Pujol;País Basc;0;0;5;2;0;7
B-02;Coll I Pujol;Rioja (La);0;0;1;1;1;3
B-03;Dalt De La Vila;Andalusia;1;0;10;92;126;229
B-03;Dalt De La Vila;Aragó;1;0;5;13;25;44
B-03;Dalt De La Vila;Astúries (Principat d');0;0;0;1;3;4
B-03;Dalt De La Vila;Balears (Illes);1;0;2;2;4;9
B-03;Dalt De La Vila;Canàries;0;0;0;0;2;2
