CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;62;71
S-01001;011-020;60;56
S-01001;021-030;70;65
S-01001;031-040;87;91
S-01001;041-050;112;107
S-01001;051-060;96;121
S-01001;061-070;98;108
S-01001;071-080;62;75
S-01001;80+;29;53
S-01002;000-010;54;54
S-01002;011-020;55;53
S-01002;021-030;43;54
S-01002;031-040;71;83
S-01002;041-050;96;117
S-01002;051-060;82;92
S-01002;061-070;59;58
S-01002;071-080;43;75
S-01002;80+;46;97
S-01003;000-010;36;36
S-01003;011-020;32;41
S-01003;021-030;49;47
S-01003;031-040;61;71
S-01003;041-050;82;76
S-01003;051-060;63;81
S-01003;061-070;53;62
S-01003;071-080;38;58
S-01003;80+;43;57
S-01004;000-010;40;32
S-01004;011-020;37;32
S-01004;021-030;32;36
S-01004;031-040;46;46
S-01004;041-050;73;68
S-01004;051-060;50;63
S-01004;061-070;47;58
S-01004;071-080;47;43
S-01004;80+;24;42
S-01005;000-010;64;65
S-01005;011-020;71;58
S-01005;021-030;63;57
S-01005;031-040;79;89
S-01005;041-050;104;125
S-01005;051-060;86;101
S-01005;061-070;65;97
S-01005;071-080;61;92
S-01005;80+;63;116
S-01007;000-010;52;45
S-01007;011-020;26;61
S-01007;021-030;68;46
S-01007;031-040;74;70
S-01007;041-050;84;89
S-01007;051-060;68;96
S-01007;061-070;86;100
S-01007;071-080;55;68
S-01007;80+;46;72
S-01008;000-010;28;25
S-01008;011-020;33;31
S-01008;021-030;27;25
S-01008;031-040;29;31
S-01008;041-050;64;64
S-01008;051-060;43;48
S-01008;061-070;32;31
S-01008;071-080;28;34
S-01008;80+;23;33
S-02001;000-010;60;72
S-02001;011-020;74;61
S-02001;021-030;49;52
S-02001;031-040;101;89
S-02001;041-050;111;124
S-02001;051-060;75;78
S-02001;061-070;77;84
S-02001;071-080;56;72
S-02001;80+;44;68
S-02002;000-010;50;58
S-02002;011-020;78;80
S-02002;021-030;111;98
S-02002;031-040;102;101
S-02002;041-050;124;111
S-02002;051-060;135;166
S-02002;061-070;136;154
S-02002;071-080;53;60
S-02002;80+;35;61
S-02003;000-010;43;39
S-02003;011-020;30;32
S-02003;021-030;40;44
S-02003;031-040;47;71
S-02003;041-050;79;75
S-02003;051-060;63;68
S-02003;061-070;49;54
S-02003;071-080;43;46
S-02003;80+;20;50
S-02004;000-010;75;73
S-02004;011-020;109;98
S-02004;021-030;117;97
S-02004;031-040;110;121
S-02004;041-050;123;135
S-02004;051-060;135;176
S-02004;061-070;109;134
S-02004;071-080;95;121
S-02004;80+;60;115
S-02005;000-010;62;59
S-02005;011-020;65;65
S-02005;021-030;62;51
S-02005;031-040;106;99
S-02005;041-050;116;99
S-02005;051-060;74;71
S-02005;061-070;69;88
S-02005;071-080;61;65
S-02005;80+;27;62
S-02007;000-010;52;39
S-02007;011-020;57;62
S-02007;021-030;62;62
S-02007;031-040;94;93
S-02007;041-050;123;102
S-02007;051-060;71;84
S-02007;061-070;57;67
S-02007;071-080;62;68
S-02007;80+;27;64
S-02008;000-010;91;83
S-02008;011-020;101;89
S-02008;021-030;92;87
S-02008;031-040;108;119
S-02008;041-050;177;178
S-02008;051-060;132;156
S-02008;061-070;132;160
S-02008;071-080;99;122
S-02008;80+;73;105
S-02009;000-010;65;60
S-02009;011-020;53;61
S-02009;021-030;74;70
S-02009;031-040;98;88
S-02009;041-050;118;102
S-02009;051-060;68;59
S-02009;061-070;35;43
S-02009;071-080;36;77
S-02009;80+;38;57
S-02010;000-010;77;56
S-02010;011-020;86;81
S-02010;021-030;69;78
S-02010;031-040;106;101
S-02010;041-050;134;133
S-02010;051-060;93;85
S-02010;061-070;55;75
S-02010;071-080;66;74
S-02010;80+;42;55
S-02011;000-010;54;42
S-02011;011-020;75;73
S-02011;021-030;73;73
S-02011;031-040;111;81
S-02011;041-050;119;117
S-02011;051-060;77;103
S-02011;061-070;105;121
S-02011;071-080;90;108
S-02011;80+;33;59
S-02012;000-010;50;52
S-02012;011-020;50;54
S-02012;021-030;52;52
S-02012;031-040;94;101
S-02012;041-050;102;87
S-02012;051-060;69;68
S-02012;061-070;51;53
S-02012;071-080;36;49
S-02012;80+;25;42
S-02013;000-010;55;51
S-02013;011-020;45;59
S-02013;021-030;58;59
S-02013;031-040;86;74
S-02013;041-050;112;82
S-02013;051-060;86;74
S-02013;061-070;64;78
S-02013;071-080;69;80
S-02013;80+;23;43
S-02015;000-010;32;30
S-02015;011-020;47;42
S-02015;021-030;47;51
S-02015;031-040;76;49
S-02015;041-050;91;89
S-02015;051-060;56;52
S-02015;061-070;46;61
S-02015;071-080;61;78
S-02015;80+;35;50
S-03001;000-010;109;109
S-03001;011-020;96;80
S-03001;021-030;125;125
S-03001;031-040;203;203
S-03001;041-050;197;181
S-03001;051-060;151;168
S-03001;061-070;169;187
S-03001;071-080;87;96
S-03001;80+;43;82
S-03003;000-010;100;94
S-03003;011-020;96;93
S-03003;021-030;86;81
S-03003;031-040;148;135
S-03003;041-050;154;173
S-03003;051-060;128;123
S-03003;061-070;88;109
S-03003;071-080;60;74
S-03003;80+;50;80
S-03004;000-010;102;85
S-03004;011-020;105;93
S-03004;021-030;77;89
S-03004;031-040;109;108
S-03004;041-050;178;189
S-03004;051-060;122;123
S-03004;061-070;90;101
S-03004;071-080;55;66
S-03004;80+;24;51
S-03005;000-010;82;57
S-03005;011-020;85;67
S-03005;021-030;43;58
S-03005;031-040;111;102
S-03005;041-050;149;142
S-03005;051-060;101;91
S-03005;061-070;70;84
S-03005;071-080;53;69
S-03005;80+;36;61
S-03006;000-010;62;49
S-03006;011-020;73;60
S-03006;021-030;56;58
S-03006;031-040;97;95
S-03006;041-050;84;100
S-03006;051-060;76;100
S-03006;061-070;79;71
S-03006;071-080;40;41
S-03006;80+;24;55
S-03007;000-010;37;51
S-03007;011-020;49;66
S-03007;021-030;57;52
S-03007;031-040;68;79
S-03007;041-050;89;103
S-03007;051-060;76;92
S-03007;061-070;79;88
S-03007;071-080;56;69
S-03007;80+;29;61
S-03008;000-010;36;26
S-03008;011-020;42;42
S-03008;021-030;22;27
S-03008;031-040;51;51
S-03008;041-050;58;67
S-03008;051-060;52;51
S-03008;061-070;40;46
S-03008;071-080;25;34
S-03008;80+;21;36
S-03009;000-010;62;69
S-03009;011-020;84;72
S-03009;021-030;91;94
S-03009;031-040;87;106
S-03009;041-050;144;146
S-03009;051-060;129;143
S-03009;061-070;83;127
S-03009;071-080;74;109
S-03009;80+;71;105
S-03010;000-010;31;29
S-03010;011-020;35;35
S-03010;021-030;50;44
S-03010;031-040;49;40
S-03010;041-050;82;78
S-03010;051-060;69;66
S-03010;061-070;30;44
S-03010;071-080;71;94
S-03010;80+;39;57
S-03011;000-010;46;40
S-03011;011-020;64;59
S-03011;021-030;54;61
S-03011;031-040;85;87
S-03011;041-050;100;101
S-03011;051-060;86;90
S-03011;061-070;73;86
S-03011;071-080;55;55
S-03011;80+;23;39
S-03013;000-010;279;256
S-03013;011-020;176;159
S-03013;021-030;100;79
S-03013;031-040;217;253
S-03013;041-050;417;400
S-03013;051-060;171;158
S-03013;061-070;97;106
S-03013;071-080;60;68
S-03013;80+;23;38
S-04001;000-010;134;106
S-04001;011-020;196;192
S-04001;021-030;96;77
S-04001;031-040;108;112
S-04001;041-050;299;305
S-04001;051-060;135;137
S-04001;061-070;84;94
S-04001;071-080;35;48
S-04001;80+;19;29
S-04002;000-010;76;73
S-04002;011-020;85;81
S-04002;021-030;65;60
S-04002;031-040;92;111
S-04002;041-050;164;185
S-04002;051-060;101;111
S-04002;061-070;75;89
S-04002;071-080;55;71
S-04002;80+;40;59
S-04003;000-010;87;81
S-04003;011-020;74;62
S-04003;021-030;56;62
S-04003;031-040;109;117
S-04003;041-050;166;143
S-04003;051-060;79;85
S-04003;061-070;67;93
S-04003;071-080;55;73
S-04003;80+;32;53
S-04004;000-010;97;78
S-04004;011-020;132;104
S-04004;021-030;131;118
S-04004;031-040;125;134
S-04004;041-050;170;178
S-04004;051-060;176;199
S-04004;061-070;141;172
S-04004;071-080;91;92
S-04004;80+;57;105
S-04005;000-010;77;68
S-04005;011-020;88;78
S-04005;021-030;72;67
S-04005;031-040;99;98
S-04005;041-050;147;152
S-04005;051-060;123;120
S-04005;061-070;69;55
S-04005;071-080;52;64
S-04005;80+;30;53
S-04006;000-010;156;149
S-04006;011-020;164;165
S-04006;021-030;118;109
S-04006;031-040;175;187
S-04006;041-050;290;259
S-04006;051-060;176;163
S-04006;061-070;123;110
