CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-01001;000-010;64;69
S-01001;011-020;61;59
S-01001;021-030;76;67
S-01001;031-040;92;85
S-01001;041-050;106;107
S-01001;051-060;89;123
S-01001;061-070;107;110
S-01001;071-080;69;83
S-01001;80+;28;50
S-01002;000-010;43;46
S-01002;011-020;61;59
S-01002;021-030;48;60
S-01002;031-040;71;73
S-01002;041-050;91;114
S-01002;051-060;80;102
S-01002;061-070;65;63
S-01002;071-080;46;75
S-01002;80+;49;97
S-01003;000-010;38;34
S-01003;011-020;30;41
S-01003;021-030;51;41
S-01003;031-040;65;72
S-01003;041-050;79;81
S-01003;051-060;64;77
S-01003;061-070;52;55
S-01003;071-080;38;66
S-01003;80+;46;53
S-01004;000-010;70;58
S-01004;011-020;68;66
S-01004;021-030;53;66
S-01004;031-040;65;76
S-01004;041-050;137;126
S-01004;051-060;102;109
S-01004;061-070;73;88
S-01004;071-080;73;80
S-01004;80+;46;75
S-01005;000-010;72;61
S-01005;011-020;75;71
S-01005;021-030;59;58
S-01005;031-040;94;88
S-01005;041-050;113;133
S-01005;051-060;84;99
S-01005;061-070;67;100
S-01005;071-080;64;98
S-01005;80+;61;106
S-01007;000-010;55;42
S-01007;011-020;30;65
S-01007;021-030;70;49
S-01007;031-040;68;77
S-01007;041-050;95;93
S-01007;051-060;71;87
S-01007;061-070;84;110
S-01007;071-080;62;67
S-01007;80+;41;71
S-02001;000-010;63;70
S-02001;011-020;78;64
S-02001;021-030;47;58
S-02001;031-040;97;96
S-02001;041-050;116;122
S-02001;051-060;74;82
S-02001;061-070;73;81
S-02001;071-080;52;78
S-02001;80+;51;67
S-02002;000-010;54;65
S-02002;011-020;75;75
S-02002;021-030;102;89
S-02002;031-040;108;98
S-02002;041-050;115;113
S-02002;051-060;131;164
S-02002;061-070;145;150
S-02002;071-080;62;69
S-02002;80+;31;66
S-02003;000-010;34;42
S-02003;011-020;33;36
S-02003;021-030;35;42
S-02003;031-040;52;67
S-02003;041-050;80;87
S-02003;051-060;66;62
S-02003;061-070;50;53
S-02003;071-080;45;52
S-02003;80+;16;47
S-02004;000-010;90;60
S-02004;011-020;108;103
S-02004;021-030;120;94
S-02004;031-040;109;109
S-02004;041-050;134;144
S-02004;051-060;142;168
S-02004;061-070;116;136
S-02004;071-080;97;132
S-02004;80+;61;108
S-02005;000-010;59;51
S-02005;011-020;67;68
S-02005;021-030;69;57
S-02005;031-040;95;92
S-02005;041-050;119;101
S-02005;051-060;78;74
S-02005;061-070;63;90
S-02005;071-080;63;69
S-02005;80+;28;56
S-02007;000-010;48;43
S-02007;011-020;53;59
S-02007;021-030;68;60
S-02007;031-040;94;83
S-02007;041-050;120;107
S-02007;051-060;85;84
S-02007;061-070;54;68
S-02007;071-080;67;70
S-02007;80+;28;59
S-02008;000-010;93;102
S-02008;011-020;102;88
S-02008;021-030;105;99
S-02008;031-040;129;143
S-02008;041-050;179;189
S-02008;051-060;134;161
S-02008;061-070;141;168
S-02008;071-080;102;129
S-02008;80+;72;109
S-02009;000-010;68;64
S-02009;011-020;56;57
S-02009;021-030;87;84
S-02009;031-040;108;85
S-02009;041-050;118;97
S-02009;051-060;73;67
S-02009;061-070;35;46
S-02009;071-080;32;73
S-02009;80+;41;59
S-02010;000-010;72;63
S-02010;011-020;88;80
S-02010;021-030;67;81
S-02010;031-040;97;101
S-02010;041-050;143;137
S-02010;051-060;100;91
S-02010;061-070;56;68
S-02010;071-080;64;83
S-02010;80+;45;51
S-02011;000-010;54;36
S-02011;011-020;83;72
S-02011;021-030;74;70
S-02011;031-040;116;77
S-02011;041-050;120;129
S-02011;051-060;86;96
S-02011;061-070;93;124
S-02011;071-080;95;115
S-02011;80+;34;63
S-02012;000-010;54;50
S-02012;011-020;51;60
S-02012;021-030;50;49
S-02012;031-040;80;97
S-02012;041-050;102;93
S-02012;051-060;70;65
S-02012;061-070;46;61
S-02012;071-080;42;48
S-02012;80+;24;39
S-02013;000-010;56;47
S-02013;011-020;55;57
S-02013;021-030;66;65
S-02013;031-040;89;81
S-02013;041-050;111;83
S-02013;051-060;91;75
S-02013;061-070;67;72
S-02013;071-080;72;87
S-02013;80+;24;44
S-02015;000-010;40;38
S-02015;011-020;49;46
S-02015;021-030;50;51
S-02015;031-040;85;63
S-02015;041-050;90;77
S-02015;051-060;58;62
S-02015;061-070;48;57
S-02015;071-080;67;80
S-02015;80+;34;46
S-03001;000-010;115;113
S-03001;011-020;105;83
S-03001;021-030;121;141
S-03001;031-040;224;202
S-03001;041-050;194;194
S-03001;051-060;156;176
S-03001;061-070;166;197
S-03001;071-080;94;102
S-03001;80+;42;80
S-03003;000-010;112;92
S-03003;011-020;96;96
S-03003;021-030;88;81
S-03003;031-040;142;117
S-03003;041-050;173;181
S-03003;051-060;127;125
S-03003;061-070;93;102
S-03003;071-080;64;81
S-03003;80+;50;76
S-03004;000-010;101;82
S-03004;011-020;111;101
S-03004;021-030;77;79
S-03004;031-040;106;108
S-03004;041-050;172;183
S-03004;051-060;125;135
S-03004;061-070;92;102
S-03004;071-080;57;74
S-03004;80+;26;47
S-03005;000-010;88;62
S-03005;011-020;91;65
S-03005;021-030;53;53
S-03005;031-040;113;112
S-03005;041-050;149;143
S-03005;051-060;97;104
S-03005;061-070;75;85
S-03005;071-080;57;67
S-03005;80+;42;58
S-03006;000-010;64;55
S-03006;011-020;66;64
S-03006;021-030;64;60
S-03006;031-040;95;101
S-03006;041-050;94;105
S-03006;051-060;82;99
S-03006;061-070;72;76
S-03006;071-080;45;46
S-03006;80+;23;49
S-03007;000-010;48;53
S-03007;011-020;57;69
S-03007;021-030;50;52
S-03007;031-040;72;79
S-03007;041-050;102;115
S-03007;051-060;78;91
S-03007;061-070;82;91
S-03007;071-080;56;74
S-03007;80+;31;61
S-03008;000-010;29;24
S-03008;011-020;46;42
S-03008;021-030;27;28
S-03008;031-040;42;50
S-03008;041-050;64;70
S-03008;051-060;46;52
S-03008;061-070;45;50
S-03008;071-080;25;34
S-03008;80+;21;32
S-03009;000-010;60;66
S-03009;011-020;85;77
S-03009;021-030;90;91
S-03009;031-040;88;106
S-03009;041-050;139;150
S-03009;051-060;127;148
S-03009;061-070;87;130
S-03009;071-080;87;111
S-03009;80+;62;105
S-03010;000-010;31;29
S-03010;011-020;34;33
S-03010;021-030;45;48
S-03010;031-040;52;34
S-03010;041-050;84;73
S-03010;051-060;69;68
S-03010;061-070;33;39
S-03010;071-080;65;95
S-03010;80+;38;59
S-03011;000-010;51;36
S-03011;011-020;62;59
S-03011;021-030;51;71
S-03011;031-040;87;87
S-03011;041-050;114;112
S-03011;051-060;88;96
S-03011;061-070;70;73
S-03011;071-080;58;63
S-03011;80+;27;36
S-03013;000-010;159;145
S-03013;011-020;129;111
S-03013;021-030;47;37
S-03013;031-040;119;127
S-03013;041-050;241;245
S-03013;051-060;120;102
S-03013;061-070;51;56
S-03013;071-080;37;32
S-03013;80+;5;14
S-03014;000-010;132;108
S-03014;011-020;89;80
S-03014;021-030;52;41
S-03014;031-040;83;127
S-03014;041-050;200;181
S-03014;051-060;93;83
S-03014;061-070;52;52
S-03014;071-080;27;44
S-03014;80+;19;27
S-04001;000-010;116;101
S-04001;011-020;209;191
S-04001;021-030;94;85
S-04001;031-040;102;111
S-04001;041-050;283;291
S-04001;051-060;145;147
S-04001;061-070;83;95
S-04001;071-080;42;44
S-04001;80+;18;34
S-04002;000-010;68;64
S-04002;011-020;91;86
S-04002;021-030;65;59
S-04002;031-040;88;106
S-04002;041-050;160;176
S-04002;051-060;112;123
S-04002;061-070;83;85
S-04002;071-080;54;76
S-04002;80+;39;60
S-04003;000-010;90;75
S-04003;011-020;83;66
S-04003;021-030;60;56
S-04003;031-040;110;125
S-04003;041-050;164;147
S-04003;051-060;84;89
S-04003;061-070;67;90
S-04003;071-080;59;77
S-04003;80+;31;52
S-04004;000-010;86;76
S-04004;011-020;134;101
S-04004;021-030;131;111
S-04004;031-040;122;133
S-04004;041-050;170;171
S-04004;051-060;166;193
S-04004;061-070;149;185
S-04004;071-080;99;99
S-04004;80+;52;112
S-04005;000-010;93;107
S-04005;011-020;112;116
S-04005;021-030;90;82
S-04005;031-040;110;113
S-04005;041-050;211;207
S-04005;051-060;148;151
S-04005;061-070;84;80
S-04005;071-080;63;65
S-04005;80+;34;69
S-04006;000-010;155;142
S-04006;011-020;165;179
S-04006;021-030;113;102
S-04006;031-040;171;186
S-04006;041-050;291;264
S-04006;051-060;185;177
S-04006;061-070;114;118
S-04006;071-080;60;69
S-04006;80+;32;77
S-04007;000-010;45;34
S-04007;011-020;76;72
S-04007;021-030;59;66
S-04007;031-040;63;66
S-04007;041-050;112;106
S-04007;051-060;115;107
S-04007;061-070;104;122
S-04007;071-080;69;70
S-04007;80+;29;53
S-04008;000-010;46;35
S-04008;011-020;74;45
S-04008;021-030;85;63
S-04008;031-040;80;79
S-04008;041-050;103;112
S-04008;051-060;107;117
S-04008;061-070;89;104
S-04008;071-080;61;65
S-04008;80+;30;70
S-04009;000-010;36;42
S-04009;011-020;55;55
S-04009;021-030;55;46
S-04009;031-040;51;56
S-04009;041-050;69;80
S-04009;051-060;69;69
S-04009;061-070;49;54
S-04009;071-080;35;41
S-04009;80+;32;36
S-04010;000-010;70;55
S-04010;011-020;68;53
S-04010;021-030;76;66
S-04010;031-040;94;97
S-04010;041-050;123;111
S-04010;051-060;86;85
S-04010;061-070;58;72
S-04010;071-080;42;44
S-04010;80+;22;43
S-04011;000-010;75;82
S-04011;011-020;67;75
S-04011;021-030;73;54
S-04011;031-040;114;121
S-04011;041-050;133;141
S-04011;051-060;97;101
S-04011;061-070;80;87
S-04011;071-080;42;75
S-04011;80+;27;46
S-04012;000-010;58;62
S-04012;011-020;94;86
S-04012;021-030;49;58
S-04012;031-040;79;70
S-04012;041-050;139;140
S-04012;051-060;96;95
S-04012;061-070;69;82
S-04012;071-080;56;64
S-04012;80+;32;79
S-04013;000-010;34;34
S-04013;011-020;73;65
S-04013;021-030;64;64
S-04013;031-040;53;57
S-04013;041-050;74;93
S-04013;051-060;110;116
S-04013;061-070;66;82
S-04013;071-080;51;44
S-04013;80+;18;33
S-04014;000-010;75;59
S-04014;011-020;197;180
S-04014;021-030;146;148
S-04014;031-040;89;86
S-04014;041-050;175;221
S-04014;051-060;268;271
S-04014;061-070;154;147
S-04014;071-080;62;64
S-04014;80+;21;28
S-04015;000-010;53;43
S-04015;011-020;118;124
S-04015;021-030;66;72
S-04015;031-040;69;69
S-04015;041-050;130;163
S-04015;051-060;116;127
S-04015;061-070;73;83
S-04015;071-080;33;26
S-04015;80+;5;13
S-04016;000-010;94;85
S-04016;011-020;184;163
S-04016;021-030;92;80
S-04016;031-040;83;88
S-04016;041-050;221;272
S-04016;051-060;187;171
S-04016;061-070;102;102
S-04016;071-080;45;51
S-04016;80+;24;33
S-05001;000-010;106;83
S-05001;011-020;129;119
S-05001;021-030;106;89
S-05001;031-040;108;118
S-05001;041-050;203;211
S-05001;051-060;171;157
S-05001;061-070;128;127
S-05001;071-080;80;121
S-05001;80+;69;156
S-05002;000-010;35;26
S-05002;011-020;45;46
S-05002;021-030;25;30
S-05002;031-040;23;32
S-05002;041-050;67;68
S-05002;051-060;43;51
S-05002;061-070;29;60
S-05002;071-080;68;80
S-05002;80+;22;35
S-05003;000-010;141;135
S-05003;011-020;175;159
S-05003;021-030;131;147
S-05003;031-040;219;214
S-05003;041-050;246;240
S-05003;051-060;194;206
S-05003;061-070;180;196
S-05003;071-080;98;112
S-05003;80+;53;99
S-05004;000-010;118;86
S-05004;011-020;72;61
S-05004;021-030;63;50
S-05004;031-040;153;144
S-05004;041-050;169;178
S-05004;051-060;99;96
S-05004;061-070;88;89
S-05004;071-080;53;73
S-05004;80+;30;49
S-05005;000-010;75;71
S-05005;011-020;117;95
S-05005;021-030;92;67
S-05005;031-040;102;116
S-05005;041-050;152;183
S-05005;051-060;158;145
S-05005;061-070;83;98
S-05005;071-080;105;131
S-05005;80+;67;89
S-05006;000-010;51;49
S-05006;011-020;62;57
S-05006;021-030;65;61
S-05006;031-040;65;74
S-05006;041-050;97;109
S-05006;051-060;100;101
S-05006;061-070;74;84
S-05006;071-080;42;68
S-05006;80+;31;68
S-05007;000-010;39;47
S-05007;011-020;65;66
S-05007;021-030;41;43
S-05007;031-040;55;55
S-05007;041-050;93;96
S-05007;051-060;76;93
S-05007;061-070;55;70
S-05007;071-080;45;41
S-05007;80+;24;38
S-06001;000-010;54;63
S-06001;011-020;85;92
S-06001;021-030;60;52
S-06001;031-040;90;84
S-06001;041-050;125;117
S-06001;051-060;117;100
S-06001;061-070;83;92
S-06001;071-080;39;40
S-06001;80+;27;44
S-06002;000-010;58;60
S-06002;011-020;84;71
S-06002;021-030;101;85
S-06002;031-040;94;84
S-06002;041-050;103;104
S-06002;051-060;150;156
S-06002;061-070;134;126
S-06002;071-080;78;78
S-06002;80+;45;44
S-06003;000-010;41;41
S-06003;011-020;52;58
S-06003;021-030;58;47
S-06003;031-040;71;65
