CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;;ALTRES;23;26
S-01001;135;UCRAINA;4;4
S-01001;108;ESPANYA;622;664
S-01002;407;XINA;12;4
S-01002;345;ECUADOR;5;3
S-01002;115;ITALIA;5;8
S-01002;108;ESPANYA;494;615
S-01002;;ALTRES;26;26
S-01003;108;ESPANYA;412;468
S-01003;;ALTRES;26;33
S-01003;343;COLOMBIA;3;5
S-01004;;ALTRES;16;25
S-01004;108;ESPANYA;370;418
S-01005;108;ESPANYA;595;702
S-01005;115;ITALIA;11;6
S-01005;341;BOLIVIA;3;6
S-01005;148;ARMENIA;6;4
S-01005;;ALTRES;32;26
S-01005;228;MARROC;3;3
S-01005;340;ARGENTINA;13;7
S-01007;115;ITALIA;4;3
S-01007;108;ESPANYA;483;607
S-01007;;ALTRES;16;30
S-01008;;ALTRES;13;18
S-01008;108;ESPANYA;283;314
S-02001;341;BOLIVIA;10;9
S-02001;407;XINA;11;9
S-02001;108;ESPANYA;596;653
S-02001;;ALTRES;24;28
S-02001;228;MARROC;3;3
S-02002;341;BOLIVIA;4;4
S-02002;108;ESPANYA;767;833
S-02002;;ALTRES;26;25
S-02002;345;ECUADOR;6;9
S-02003;104;BULGARIA;3;4
S-02003;;ALTRES;21;18
S-02003;345;ECUADOR;4;3
S-02003;108;ESPANYA;382;391
S-02004;108;ESPANYA;839;941
S-02004;;ALTRES;15;30
S-02004;115;ITALIA;10;7
S-02004;347;PARAGUAI;3;4
S-02004;340;ARGENTINA;6;5
S-02005;350;URUGUAI;6;7
S-02005;128;ROMANIA;14;12
S-02005;341;BOLIVIA;4;8
S-02005;340;ARGENTINA;5;5
S-02005;;ALTRES;49;32
S-02005;108;ESPANYA;540;562
S-02005;407;XINA;9;6
S-02005;228;MARROC;8;5
S-02005;326;REP. DOMINICANA;3;5
S-02007;410;INDIA;13;13
S-02007;343;COLOMBIA;4;4
S-02007;433;SIRIA;4;4
S-02007;;ALTRES;40;51
S-02007;228;MARROC;55;36
S-02007;326;REP. DOMINICANA;3;4
S-02007;407;XINA;5;4
S-02007;426;PAKISTAN;14;7
S-02007;351;VENEZUELA;7;3
S-02007;108;ESPANYA;517;530
S-02007;345;ECUADOR;18;19
S-02007;128;ROMANIA;7;8
S-02008;341;BOLIVIA;3;7
S-02008;342;BRASIL;3;3
S-02008;407;XINA;4;8
S-02008;;ALTRES;26;25
S-02008;108;ESPANYA;929;1059
S-02008;345;ECUADOR;6;5
S-02009;128;ROMANIA;6;13
S-02009;108;ESPANYA;428;427
S-02009;345;ECUADOR;22;24
S-02009;426;PAKISTAN;28;4
S-02009;216;GAMBIA;8;4
S-02009;228;MARROC;68;55
S-02009;343;COLOMBIA;5;3
S-02009;;ALTRES;43;53
S-02009;410;INDIA;40;15
S-02010;;ALTRES;35;22
S-02010;108;ESPANYA;659;665
S-02010;345;ECUADOR;9;7
S-02010;228;MARROC;30;27
S-02010;426;PAKISTAN;11;4
S-02010;115;ITALIA;4;5
S-02010;344;CHILE;3;5
S-02010;341;BOLIVIA;5;5
S-02011;410;INDIA;16;5
S-02011;154;RUSIA;5;4
S-02011;426;PAKISTAN;12;3
S-02011;;ALTRES;31;25
S-02011;228;MARROC;12;10
S-02011;340;ARGENTINA;4;5
S-02011;148;ARMENIA;22;11
S-02011;345;ECUADOR;8;10
S-02011;108;ESPANYA;726;745
S-02012;345;ECUADOR;7;4
S-02012;407;XINA;10;11
S-02012;108;ESPANYA;470;485
S-02012;228;MARROC;10;6
S-02012;;ALTRES;27;19
S-02012;340;ARGENTINA;7;4
S-02013;345;ECUADOR;13;11
S-02013;234;NIGERIA;3;3
S-02013;108;ESPANYA;489;494
S-02013;348;PERU;3;4
S-02013;351;VENEZUELA;6;4
S-02013;410;INDIA;7;3
S-02013;407;XINA;9;3
S-02013;344;CHILE;4;3
S-02013;;ALTRES;36;30
S-02013;426;PAKISTAN;19;12
S-02013;341;BOLIVIA;4;6
S-02013;340;ARGENTINA;3;3
S-02013;228;MARROC;90;77
S-02015;407;XINA;3;5
S-02015;326;REP. DOMINICANA;4;3
S-02015;228;MARROC;15;19
S-02015;341;BOLIVIA;4;5
S-02015;348;PERU;7;3
S-02015;;ALTRES;22;17
S-02015;108;ESPANYA;447;487
S-03001;350;URUGUAI;7;3
S-03001;407;XINA;43;36
S-03001;410;INDIA;10;7
S-03001;347;PARAGUAI;3;6
S-03001;110;FRANÇA;3;3
S-03001;340;ARGENTINA;4;6
S-03001;341;BOLIVIA;13;11
S-03001;345;ECUADOR;8;13
S-03001;108;ESPANYA;907;914
S-03001;426;PAKISTAN;21;11
S-03001;128;ROMANIA;3;4
S-03001;;ALTRES;29;40
S-03001;148;ARMENIA;4;3
S-03001;228;MARROC;23;18
S-03003;343;COLOMBIA;7;9
S-03003;228;MARROC;11;21
S-03003;347;PARAGUAI;3;3
S-03003;326;REP. DOMINICANA;3;4
S-03003;345;ECUADOR;10;10
S-03003;341;BOLIVIA;11;14
S-03003;;ALTRES;34;25
S-03003;128;ROMANIA;9;7
S-03003;407;XINA;30;16
S-03003;108;ESPANYA;767;817
S-03004;350;URUGUAI;6;3
