CODI_DIVISIO_TERRITORIAL,CDINE,NACIONALITAT,NRE_HOMES,NRE_DONES
S-01001,,ALTRES,17,25
S-01001,108,ESPANYA,649,731
S-01002,108,ESPANYA,517,636
S-01002,407,XINA,5,3
S-01002,,ALTRES,21,36
S-01002,110,FRANÇA,4,3
S-01003,407,XINA,3,3
S-01003,108,ESPANYA,436,493
S-01003,128,ROMANIA,4,5
S-01003,115,ITALIA,4,4
S-01003,,ALTRES,17,15
S-01004,108,ESPANYA,375,396
S-01004,341,BOLIVIA,3,3
S-01004,,ALTRES,11,14
S-01005,108,ESPANYA,626,733
S-01005,407,XINA,4,3
S-01005,,ALTRES,21,28
S-01005,115,ITALIA,3,6
S-01007,104,BULGARIA,3,3
S-01007,108,ESPANYA,513,612
S-01007,,ALTRES,22,26
S-01008,,ALTRES,10,14
S-01008,108,ESPANYA,297,306
S-02001,,ALTRES,37,30
S-02001,108,ESPANYA,559,634
S-02001,216,GAMBIA,7,5
S-02001,345,EQUADOR,3,3
S-02001,407,XINA,3,4
S-02001,228,MARROC,9,8
S-02002,,ALTRES,44,27
S-02002,407,XINA,4,3
S-02002,108,ESPANYA,747,819
S-02002,115,ITALIA,6,3
S-02003,407,XINA,5,3
S-02003,108,ESPANYA,376,434
S-02003,,ALTRES,18,20
S-02004,115,ITALIA,7,4
S-02004,407,XINA,3,3
S-02004,,ALTRES,13,30
S-02004,108,ESPANYA,896,1027
S-02005,,ALTRES,39,43
S-02005,108,ESPANYA,557,568
S-02005,326,REPUBLICA DOMINICANA,4,4
S-02005,228,MARROC,23,16
S-02005,154,RUSSIA,5,4
S-02007,,ALTRES,33,33
S-02007,108,ESPANYA,511,525
S-02007,345,EQUADOR,4,9
S-02007,407,XINA,9,8
S-02007,321,HONDURES,4,7
S-02007,426,PAKISTAN,6,5
S-02007,410,INDIA,16,9
S-02007,228,MARROC,30,30
S-02007,128,ROMANIA,7,8
S-02008,108,ESPANYA,970,1049
S-02008,341,BOLIVIA,5,3
S-02008,,ALTRES,28,33
S-02009,343,COLOMBIA,4,3
S-02009,,ALTRES,35,49
S-02009,407,XINA,4,3
S-02009,108,ESPANYA,440,473
S-02009,139,GEORGIA,5,3
S-02009,345,EQUADOR,7,4
S-02009,228,MARROC,61,55
S-02009,410,INDIA,14,10
S-02009,426,PAKISTAN,16,5
S-02010,135,UCRAINA,3,3
S-02010,,ALTRES,30,29
S-02010,108,ESPANYA,629,660
S-02010,407,XINA,10,13
S-02010,426,PAKISTAN,4,3
S-02010,154,RUSSIA,5,5
S-02010,228,MARROC,21,23
S-02010,128,ROMANIA,6,3
S-02011,148,ARMENIA,13,9
S-02011,108,ESPANYA,665,708
S-02011,,ALTRES,44,23
S-02011,426,PAKISTAN,9,3
S-02011,128,ROMANIA,3,5
S-02011,228,MARROC,9,8
S-02012,128,ROMANIA,4,3
S-02012,218,GUINEA,4,4
S-02012,228,MARROC,11,8
S-02012,,ALTRES,21,20
S-02012,410,INDIA,4,3
