CODI_DIVISIO_TERRITORIAL;CDINE;NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;;ALTRES;25;54
S-01001;115;ITALIA;6;4
S-01001;108;ESPANYA;704;743
S-01002;115;ITALIA;7;9
S-01002;110;FRANÇA;3;5
S-01002;108;ESPANYA;506;638
S-01002;;ALTRES;50;44
S-01002;125;REGNE UNIT;4;3
S-01003;108;ESPANYA;413;490
S-01003;407;XINA;3;5
S-01003;115;ITALIA;5;6
S-01003;;ALTRES;26;28
S-01004;154;RUSSIA;3;3
S-01004;;ALTRES;27;30
S-01004;115;ITALIA;6;6
S-01004;108;ESPANYA;662;705
S-01005;110;FRANÇA;9;8
S-01005;351;VENEÇUELA;4;3
S-01005;;ALTRES;29;41
S-01005;407;XINA;5;6
S-01005;115;ITALIA;9;7
S-01005;108;ESPANYA;674;804
S-01007;139;GEORGIA;3;6
S-01007;115;ITALIA;8;10
S-01007;108;ESPANYA;513;621
S-01007;;ALTRES;27;36
S-02001;348;PERU;4;5
S-02001;128;ROMANIA;3;4
S-02001;108;ESPANYA;623;668
S-02001;351;VENEÇUELA;11;10
S-02001;407;XINA;4;7
S-02001;;ALTRES;49;33
S-02001;115;ITALIA;11;7
S-02001;343;COLOMBIA;3;5
S-02001;228;MARROC;7;10
S-02002;426;PAKISTAN;11;3
S-02002;343;COLOMBIA;3;4
S-02002;;ALTRES;50;38
S-02002;108;ESPANYA;746;817
S-02002;115;ITALIA;9;7
S-02003;228;MARROC;3;4
S-02003;;ALTRES;26;29
S-02003;115;ITALIA;10;5
S-02003;108;ESPANYA;419;489
S-02004;321;HONDURES;3;5
S-02004;407;XINA;10;5
S-02004;;ALTRES;27;36
S-02004;340;ARGENTINA;6;6
S-02004;115;ITALIA;12;8
S-02004;108;ESPANYA;951;1008
S-02005;108;ESPANYA;532;566
S-02005;128;ROMANIA;3;4
S-02005;426;PAKISTAN;28;12
S-02005;343;COLOMBIA;5;5
S-02005;228;MARROC;22;16
S-02005;148;ARMENIA;3;3
S-02005;115;ITALIA;6;7
S-02005;154;RUSSIA;4;7
S-02005;;ALTRES;46;34
S-02005;321;HONDURES;5;9
S-02007;344;XILE;4;5
S-02007;228;MARROC;33;49
S-02007;108;ESPANYA;491;522
S-02007;321;HONDURES;7;15
S-02007;;ALTRES;39;37
S-02007;348;PERU;7;4
S-02007;342;BRASIL;3;7
S-02007;345;EQUADOR;8;10
S-02007;139;GEORGIA;4;4
S-02007;128;ROMANIA;6;6
S-02007;410;INDIA;9;10
S-02007;426;PAKISTAN;20;13
S-02007;347;PARAGUAI;6;11
S-02007;407;XINA;7;6
S-02008;;ALTRES;34;46
S-02008;342;BRASIL;4;3
S-02008;108;ESPANYA;985;1141
S-02008;115;ITALIA;11;5
S-02008;348;PERU;3;4
S-02008;321;HONDURES;4;9
S-02008;228;MARROC;4;3
S-02009;;ALTRES;29;35
S-02009;104;BULGARIA;3;3
S-02009;407;XINA;6;6
S-02009;347;PARAGUAI;8;13
S-02009;108;ESPANYA;424;436
S-02009;128;ROMANIA;9;5
S-02009;345;EQUADOR;4;3
S-02009;348;PERU;4;3
S-02009;343;COLOMBIA;8;10
S-02009;426;PAKISTAN;20;9
S-02009;410;INDIA;14;7
S-02009;228;MARROC;52;48
S-02009;154;RUSSIA;5;8
S-02009;216;GAMBIA;3;3
S-02009;351;VENEÇUELA;5;8
S-02009;115;ITALIA;5;5
S-02010;407;XINA;5;7
S-02010;351;VENEÇUELA;9;4
S-02010;345;EQUADOR;3;3
S-02010;426;PAKISTAN;15;11
S-02010;115;ITALIA;4;4
S-02010;;ALTRES;41;28
S-02010;343;COLOMBIA;5;3
S-02010;348;PERU;4;6
S-02010;108;ESPANYA;607;688
S-02010;228;MARROC;27;27
S-02010;344;XILE;3;4
S-02011;228;MARROC;13;8
S-02011;426;PAKISTAN;19;7
S-02011;108;ESPANYA;648;657
S-02011;148;ARMENIA;11;8
S-02011;;ALTRES;42;34
S-02011;135;UCRAINA;3;3
S-02011;410;INDIA;4;5
S-02011;128;ROMANIA;5;7
S-02011;407;XINA;7;9
S-02012;345;EQUADOR;4;3
S-02012;407;XINA;5;8
S-02012;108;ESPANYA;451;505
S-02012;218;GUINEA;5;3
S-02012;321;HONDURES;6;3
S-02012;228;MARROC;13;10
S-02012;347;PARAGUAI;3;5
S-02012;;ALTRES;23;23
S-02013;115;ITALIA;7;3
S-02013;426;PAKISTAN;8;4
S-02013;135;UCRAINA;4;10
S-02013;347;PARAGUAI;4;4
S-02013;;ALTRES;59;42
S-02013;108;ESPANYA;497;478
S-02013;348;PERU;5;3
S-02013;326;REPUBLICA DOMINICANA;6;4
S-02013;228;MARROC;41;48
S-02013;351;VENEÇUELA;7;9
S-02013;128;ROMANIA;5;5
S-02015;348;PERU;3;5
S-02015;128;ROMANIA;3;3
S-02015;108;ESPANYA;446;481
S-02015;351;VENEÇUELA;10;8
S-02015;;ALTRES;35;19
S-02015;228;MARROC;33;25
S-02015;407;XINA;8;9
S-02015;426;PAKISTAN;6;7
S-02015;340;ARGENTINA;4;3
S-03001;343;COLOMBIA;8;6
S-03001;341;BOLIVIA;10;3
S-03001;410;INDIA;15;4
S-03001;407;XINA;43;39
S-03001;345;EQUADOR;6;4
S-03001;154;RUSSIA;8;11
S-03001;135;UCRAINA;3;6
S-03001;228;MARROC;15;8
S-03001;148;ARMENIA;3;5
S-03001;115;ITALIA;11;11
S-03001;;ALTRES;42;27
S-03001;426;PAKISTAN;14;8
S-03001;321;HONDURES;6;15
S-03001;108;ESPANYA;780;861
S-03001;348;PERU;6;4
S-03003;125;REGNE UNIT;4;4
S-03003;115;ITALIA;7;5
S-03003;407;XINA;22;18
S-03003;347;PARAGUAI;6;11
S-03003;426;PAKISTAN;29;13
S-03003;342;BRASIL;3;7
S-03003;409;FILIPINES;7;8
S-03003;108;ESPANYA;862;894
S-03003;110;FRANÇA;7;9
S-03003;;ALTRES;42;34
S-03003;139;GEORGIA;6;3
S-03003;340;ARGENTINA;12;5
S-03003;343;COLOMBIA;7;9
S-03003;135;UCRAINA;5;4
S-03003;228;MARROC;4;5
S-03004;115;ITALIA;6;4
S-03004;407;XINA;7;7
S-03004;;ALTRES;39;38
S-03004;343;COLOMBIA;5;3
S-03004;108;ESPANYA;817;858
S-03005;303;MEXIC;6;9
S-03005;340;ARGENTINA;6;6
S-03005;108;ESPANYA;739;701
