TIPUS_TRAMIT;DESCRIPCIO_ACTIVITAT
BA;DECLARACIÓ RESPONSABLE ANTENES (BA)
BC;COMUNICACIÓ CENTRES DE CULTE (BC)
BL;DECLARACIÓ RESPONSABLE D'OBERTURA (BL)
BM;COMUNICACIÓ DE MODIFICACIÓ NO SUBSTANCIAL D'UNA ACTIVITAT JA LEGALITZADA (BM)
BR;COMUNICACIÓ D'ACTIVITAT RECREATIVA (BR)
BX;COMUNICACIÓ D'ACTIVITAT RECREATIVA EXTRAORDINÀRIA (BX)
B1;COMUNICACIÓ AMBIENTAL (B1)
B2;COMUNICACIÓ MUNICIPAL PRÈVIA (B2)
CS;SUBROGACIÓ D'UN EXPEDIENT EN TRÀMIT (CS)
CT;CANVI DE TITULAR D'UNA ACTIVITAT JA LEGALITZADA (CT)
GF;LLICÈNCIA D'ACTIVITATS NO PERMANENTS DESMUNTABLES (GF)
GR;LLICÈNCIA D'ACTIVITAT RECREATIVA (GR)
GX;LLICÈNCIA D'ACTIVITAT RECREATIVA EXTRAORDINÀRIA (GX)
G2;LLICÈNCIA AMBIENTAL (G2)
IB;INFORME PREVI EN MATÈRIA D'INCENDIS (IB)
M1;TIPUS PROVES 5
M1;COMUNICACIÓ D'OBRA MENOR O2.11
M10;LLICÈNCIA D'OBRA MAJOR M9
M2;LLICÈNCIA D'OBRA MAJOR M1
M3;LLICÈNCIA D'OBRA MAJOR M2
M4;LLICÈNCIA D'OBRA MAJOR M3
M5;LLICÈNCIA D'OBRA MAJOR M4
M6;LLICÈNCIA D'OBRA MAJOR M5
M7;LLICÈNCIA D'OBRA MAJOR M6
M8;LLICÈNCIA D'OBRA MAJOR M7
M9;LLICÈNCIA D'OBRA MAJOR M8
O1.1;TIPUS PROVES 1
O1.1;LLICÈNCIA D'OBRA MENOR O1.1
O1.1;TIPUS PROVES 9
O1.1;LLICÈNCIA D'OBRA MENOR O1.1
O110a;LLICÈNCIA D'OBRA MENOR EN LOCALS
O110b;LLICÈNCIA D'OBRA MENOR O1.10b
O1.11;LLICÈNCIA D'OBRA MENOR O1.10a
O1.2;LLICÈNCIA D'OBRA MENOR O1.10b
O1.3;LLICÈNCIA D'OBRA MENOR O1.2
O1.4;LLICÈNCIA D'OBRA MENOR O1.3
O1.5;LLICÈNCIA D'OBRA MENOR O1.4
O1.6;LLICÈNCIA D'OBRA MENOR O1.5
O1.7;LLICÈNCIA D'OBRA MENOR O1.6
O1.8;LLICÈNCIA D'OBRA MENOR O1.7
O1.9;LLICÈNCIA D'OBRA MENOR O1.9
O1.9;LLICÈNCIA D'OBRA MENOR O1.8
O2.10;COMUNICACIÓ D'OBRA MENOR O2.9
O2.11;COMUNICACIÓ D'OBRA MENOR O2.10
O2.2;LLICÈNCIA D'OBRA MENOR O1.11
O2.3;COMUNICACIÓ D'OBRA MENOR O2.2
O2.4;COMUNICACIÓ D'OBRA MENOR O2.3
O2.5;COMUNICACIÓ D'OBRA MENOR O2.4
O2.6;COMUNICACIÓ D'OBRA MENOR O2.5
O2.7;COMUNICACIÓ D'OBRA MENOR O2.6
O2.8;COMUNICACIÓ D'OBRA MENOR O2.7
O2.9;COMUNICACIÓ D'OBRA MENOR O2.8
O2.9;TIPUS PROVES 7
O3;TIPUS PROVES 4
O3.1;LLICÈNCIA D'OBRA MAJOR M10
O3.3;COMUNICACIÓ D'OBRA MENOR: ASSABENTAT O3.1
O3.4;COMUNICACIÓ D'OBRA MENOR: ASSABENTAT O3.3
O4;COMUNICACIÓ D'OBRA MENOR: ASSABENTAT O3.4
T;AUTORITZACIÓ PER A ACTUACIONS D¿URGÈNCIA O4
U;COMUNICACIÓ D'OBRA MENOR EN LOCALS
U;TIPUS PROVES 3
U;LLICÈNCIA DE PRIMERA UTILITZACIÓ I OCUPACIÓ
WL;OBRES MENORS EN LOCALS CONTEMPLATS PER LA LLEI 12/2012
WL;OBRES MENORS EN UN ESTABLIMENT D'UNS DELS EPÍGRAFS DEL RD 1175/1990
W1;TIPUS PROVES 6
W1;CERTIFICATS 
W2;OBRES MENORS. LOCALS/EDIFICIS NO DESTINATS A HABITATGES
W3;ASSABENTAT D'OBRA MENOR EN LOCALS
W3;OBRES MENORS EN RÈGIM D'ASSABENTAT I EN LOCALS AMB ACTIVITAT DIFERENT A L'HABITATGE
W3;TIPUS PROVES 10
02.2;TIPUS PROVES 2
03.1;TIPUS PROVES 8
