web_date,name,download_date
04/2023,TIPUS_TRAMIT_ACTIVITAT_20230406.csv,19/07/2023
01/2023,TIPUS_TRAMIT_ACTIVITAT_20230116.csv,19/07/2023
10/2022,TIPUS_TRAMIT_ACTIVITAT_20221013.csv,19/07/2023
07/2022,TIPUS_TRAMIT_ACTIVITAT_20220701.csv,19/07/2023
04/2022,TIPUS_TRAMIT_ACTIVITAT_20220401.csv,19/07/2023
01/2022,TIPUS_TRAMIT_ACTIVITAT_20220105.csv,19/07/2023
10/2021,TIPUS_TRAMIT_ACTIVITAT_20211004.csv,19/07/2023
07/2021,TIPUS_TRAMIT_ACTIVITAT_20210705.csv,19/07/2023
04/2021,TIPUS_TRAMIT_ACTIVITAT_20210401.csv,19/07/2023
01/2021,TIPUS_TRAMIT_ACTIVITAT_20210129.csv,19/07/2023
10/2020,TIPUS_TRAMIT_ACTIVITAT_20201002.csv,19/07/2023
07/2020,TIPUS_TRAMIT_ACTIVITAT_20200824.xls,19/07/2023
04/2020,TIPUS_TRAMIT_ACTIVITAT_20200505.csv,19/07/2023
12/2019,TIPUS_TRAMIT_ACTIVITAT_20191223.csv,19/07/2023
11/2017,TIPUS_TRAMIT_ACTIVITAT.csv,19/07/2023
