DIVISIO_TERRITORIAL,2013,2013_NR_LOCALS,2014,2014_NR_LOCALS,2015,2015_NR_LOCALS,2016,2016_NR_LOCALS,2017,2017_NR_LOCALS,2018,2018_NR_LOCALS,2019,2019_NR_LOCALS,NOM_DIVISIO_TERRITORIAL,% 2013,% 2014,% 2015,% 2016,% 2017,% 2018,% 2019
B-01,49862.14,4043,54729.1,4045,60244.36,4041,67226.73,4127,75809.93,3431,72893.42,4187,81698.6,3505,Centre,0.0,9.760832567555262,20.82185000483333,34.82520004155457,52.0390621020277,46.18991483317804,63.848964364545935
B-10,41258.24,369,44542.72,365,49540.32,371,54499.13,371,55176.6,367,58444.35,373,58968.78,367,Bonavista,0.0,7.960785530357095,20.073759811373442,32.09271650947787,33.734740017993985,41.654976072658464,42.92606761703844
B-11,33446.67,97,37174.58,96,40142.89,100,44407.56,100,58922.56,101,61487.63,102,63332.25,102,Manresà,0.0,11.145833053036382,20.02058799874547,32.771244491604094,76.16868884107147,83.83782301795665,89.3529310989704
B-12,34676.87,556,38222.35,548,41364.99,549,45223.42,553,47032.36,553,47873.21,610,48747.04,649,Canyadó,0.0,10.224336856238743,19.286977169508074,30.413788787742362,35.63034956730523,38.055164725074654,40.57508650578901
B-13,46210.33,2228,50756.03,2223,56006.47,2233,61961.12,2400,64690.58,2439,67013.41,2451,68979.79,2470,Casagemes,0.0,9.836978009029576,21.199026278323483,34.084997878180054,39.991599280939994,45.01824592033859,49.27352823492062
B-15,17717.07,1384,19466.62,1382,21414.36,1379,23565.42,1602,24508.03,1602,25488.72,1601,26254.81,1599,Pomar,0.0,9.874939817927,20.868518327240345,33.00969065426732,38.33003989937387,43.865323103650894,48.18934507793897
B-16,36456.57,2311,40088.4,2302,44348.29,2378,48849.44,2406,50831.21,2416,52929.52,2430,54459.0,2432,Morera,0.0,9.962072679903791,21.646907539573803,33.99351612068827,39.429491035497854,45.18513398270873,49.38048203657119
B-17,210698.51,145,233609.09,141,257021.16,141,282925.69,141,294797.09,142,304822.6,142,314836.88,141,Mas Ram,0.0,10.873631711966063,21.98527649768382,34.27987222121314,39.91417879509447,44.67240418548758,49.42529968531813
B-18,163469.42,1,156559.09,1,172214.99,1,189436.48,1,197013.93,1,204894.48,1,211041.31,1,Pomar de Dalt,0.0,-4.227292174891191,5.349973102002795,15.884964906586196,20.5203578748857,25.341167785387626,29.10140012731432
B-19,24041.41,3720,26413.42,3698,29012.98,3700,31875.69,3704,33299.4,3810,34431.5,3711,35694.91,3794,Sant Crist de Can Cabanyes,0.0,9.866351432798652,20.67919477268596,32.586607857026685,38.50851509957195,43.21747351756823,48.472614542990634
