DIVISIO_TERRITORIAL,2013,2013_NR_LOCALS,2014,2014_NR_LOCALS,2015,2015_NR_LOCALS,2016,2016_NR_LOCALS,2017,2017_NR_LOCALS,2018,2018_NR_LOCALS,2019,2019_NR_LOCALS,NOM_DIVISIO_TERRITORIAL,% 2013,% 2014,% 2015,% 2016,% 2017,% 2018,% 2019
SENSE IDENTIFICAR,33652.21,21314,36999.16,21420,40897.95,21393,45159.02,20463,46933.74,20498,49123.43,20637,51395.9,20790,,0.0,9.945706388971198,21.531245644788257,34.19332638183346,39.46703648883684,45.973860260589134,52.726670848660476
S-01001,55034.66,442,60536.14,440,66528.41,441,72809.69,445,75722.07,445,79123.7,445,80546.27,449,Districte: 01   Secció: 001,0.0,9.996391365005245,20.884566198828157,32.29788282511421,37.589784328639446,43.77067106438014,46.355533040451235
S-01002,57217.24,681,62754.33,680,69152.22,676,78349.79,674,81876.44,675,84498.2,680,89104.4,680,Districte: 01   Secció: 002,0.0,9.677310544863758,20.85906275800791,36.93388566103503,43.097499984270485,47.679615444575795,55.7299862768634
S-01003,61825.68,296,67853.28,304,74452.96,305,82347.65,373,86096.51,371,90473.52,374,93214.5,375,Districte: 01   Secció: 003,0.0,9.749346873338066,20.42400504127089,33.19327826236605,39.25687513667459,46.336473775945535,50.76987426583904
S-01004,51291.5,301,54995.01,305,60497.33,305,67417.7,305,70335.85,305,74043.17,308,76599.63,308,Districte: 01   Secció: 004,0.0,7.220514120273344,17.948061569655792,31.440297125254666,37.12964136357877,44.35758361521889,49.34176228029986
S-01005,55387.5,362,60871.71,362,67099.67,359,73671.17,361,75621.06,364,78591.6,366,81857.73,377,Districte: 01   Secció: 005,0.0,9.90153012863913,21.14587226359738,33.01046264951478,36.53091401489505,41.89410968178742,47.79098171970209
S-01007,48989.2,560,54048.34,557,59916.36,559,66727.45,561,69385.83,564,71413.16,570,73086.25,575,Districte: 01   Secció: 007,0.0,10.327051676696088,22.30524278820639,36.20849085104472,41.63495219354471,45.773272476382566,49.18849460697461
S-01008,49608.4,310,54553.0,305,59865.6,304,68012.6,315,71503.94,313,73304.13,316,76234.05,315,Districte: 01   Secció: 008,0.0,9.967263608582416,20.676337071947486,37.098959047258134,44.13675909724966,47.7655598648616,53.671656413026824
S-02001,43768.6,397,48171.79,397,52624.12,397,60168.32,360,49305.89,958,64360.18,365,52673.05,967,Districte: 02   Secció: 001,0.0,10.06015728170424,20.23258683165558,37.46914454654707,12.651284254008585,47.04646710198636,20.34437930388453
S-02002,57007.85,325,62525.24,321,67579.09,323,74449.18,323,76142.63,322,79501.39,322,82771.43,351,Districte: 02   Secció: 002,0.0,9.678298690443508,18.54348129248866,30.59461109303367,33.56516690245292,39.45691689828682,45.193039204249935
S-02003,36113.44,1118,39667.39,1120,43549.09,1121,47975.9,1122,63658.35,426,52825.34,1183,69461.76,481,Districte: 02   Secció: 003,0.0,9.841073018798532,20.58970289177656,32.84777080222764,76.27329326699422,46.27612323832898,92.34323841760849
S-02004,52671.23,911,57943.3,911,63711.33,910,70810.96,929,74568.57,930,78248.67,931,80968.5,939,Districte: 02   Secció: 004,0.0,10.009392224180068,20.96039906415703,34.43954128278379,41.573625677623255,48.56055193698722,53.724338694957375
S-02005,26996.34,159,29897.66,159,32887.42,159,36176.16,159,41006.53,170,39208.23,158,44160.37,170,Districte: 02   Secció: 005,0.0,10.747086456904897,21.821772877360406,34.00394275668481,51.89662746876057,45.235354125781505,63.57909998170123
S-02006,23886.02,247,26291.54,247,28368.59,250,30796.39,253,31823.53,327,33243.7,253,34178.43,322,,0.0,10.070828040837277,18.766500237377343,28.930604596328724,33.23077683096639,39.17638853186926,43.089681746896304
S-02007,18947.34,349,20842.07,349,22926.28,349,25168.23,349,26174.95,349,27221.94,349,28084.45,343,Districte: 02   Secció: 007,0.0,9.99997888885722,20.999992611100023,32.83252424878637,38.145776663109444,43.671565507348255,48.22370844667378
S-02008,50128.95,498,54910.45,498,60401.49,498,66543.29,498,69195.75,498,72111.29,499,74414.77,529,Districte: 02   Secció: 008,0.0,9.53840046520025,20.492230537443934,32.74423262406253,38.035506428919824,43.851586757751754,48.44669597109058
S-02009,18909.5,410,20688.91,409,22757.79,409,25033.57,409,26034.91,409,27076.3,409,27918.95,406,Districte: 02   Secció: 009,0.0,9.41013776144266,20.351093365768534,32.386207990692505,37.68164150294825,43.188873317644564,47.64509902429996
S-02010,26121.62,414,28979.02,405,31801.41,405,34947.46,405,36300.54,405,37752.55,405,39046.59,405,Districte: 02   Secció: 010,0.0,10.938831511981268,21.743636114452325,33.787490974908906,38.967414731551884,44.526066913154715,49.47997099720461
S-02011,27911.31,548,30687.96,548,33756.76,548,37132.43,548,38699.85,550,40101.23,553,41210.14,551,Districte: 02   Secció: 011,0.0,9.948117806007664,20.942943917716512,33.037216812826045,38.652933165802665,43.673765222771706,47.64674248539391
S-02012,26271.45,337,28658.19,332,31572.5,332,34729.74,332,36322.02,352,37640.99,333,38902.96,353,Districte: 02   Secció: 012,0.0,9.084919180326926,20.17798789179889,32.19574861684451,38.25662458676622,43.277169703232964,48.08074925441876
S-02013,22783.62,496,24815.72,501,27290.44,500,30019.48,500,31193.17,499,32440.88,499,33498.37,495,Districte: 02   Secció: 013,0.0,8.919126986844066,19.780965447984123,31.759044436309953,36.91050851445029,42.38685511784344,47.028303667283794
S-02014,22884.84,402,25136.52,400,27650.17,400,30415.18,400,31631.78,400,32963.15,400,33942.32,398,,0.0,9.839177376813648,20.82308637508498,32.90536442465842,38.22154753976868,44.03924169887139,48.31792575346823
S-02015,26292.37,358,29132.52,348,32045.77,348,35224.16,349,36446.71,349,37561.34,352,38750.94,351,Districte: 02   Secció: 015,0.0,10.802183295001559,21.882394017732146,33.97103418216009,38.6208622501509,42.86022903222493,47.38473557157458
S-03001,34437.82,272,38606.83,267,42337.75,267,46020.82,266,48433.0,268,50578.33,268,63525.19,399,Districte: 03   Secció: 001,0.0,12.10590565837211,22.93969246601556,33.63453319635215,40.638983536123945,46.8685590435167,84.46344745399101
S-03002,34238.65,308,37570.7,306,41327.76,306,44901.73,310,46626.02,310,48587.32,311,50103.93,310,,0.0,9.731838141982804,20.704992749422072,31.143400805814487,36.17949305828353,41.90781470647937,46.337340987451306
S-03003,39820.65,635,43153.66,632,47336.9,632,52078.66,635,54042.97,634,56989.73,637,58870.49,635,Districte: 03   Secció: 003,0.0,8.370054230656713,18.87525693327457,30.783048493683555,35.71594135203719,43.11602146122678,47.839098558160146
S-03004,45590.07,913,50158.49,909,55167.38,909,60892.08,909,63342.13,910,65486.95,924,67367.72,916,Districte: 03   Secció: 004,0.0,10.020647040024281,21.007447455114672,33.56434855221762,38.93843549702819,43.643012612176285,47.76840658503047
S-03005,33527.89,435,36014.65,433,40527.4,433,43541.09,433,45327.33,435,48805.43,458,51069.39,466,Districte: 03   Secció: 005,0.0,7.416989258793208,20.876679087171908,29.865285289351633,35.192909544859525,45.566661069336604,52.319128940115235
S-03006,44282.32,460,48752.62,458,53627.87,458,60007.23,457,62396.7,459,64526.09,475,67657.65,474,Districte: 03   Secció: 006,0.0,10.094999539319536,21.1044723944003,35.5105830046845,40.90657400063953,45.715242561816986,52.78704909769857
S-03007,44717.02,416,49259.19,417,54257.67,416,59777.96,417,62161.58,418,64456.19,414,68856.29,433,Districte: 03   Secció: 007,0.0,10.157586529692734,21.335612256809604,33.68055384728232,39.01100744190916,44.142409310817236,53.98228683396166
S-03008,44147.85,277,49173.73,275,53795.2,275,59308.34,276,62041.03,274,64696.02,275,66876.04,280,Districte: 03   Secció: 008,0.0,11.384201042632892,21.852366536535754,34.340267985870206,40.53012774121503,46.543987985824906,51.48198609898329
S-03009,45725.21,254,50703.15,253,55910.13,254,63281.32,254,66399.37,254,69247.79,254,71327.8,255,Districte: 03   Secció: 009,0.0,10.886642182725902,22.27418966473855,38.39481546394211,45.21392028598665,51.44335039685984,55.992285218591675
S-03010,25566.75,341,28123.42,341,30935.76,341,34029.33,341,35390.5,341,36688.96,342,37789.56,341,Districte: 03   Secció: 010,0.0,9.999980443349266,20.999970665023902,33.09994426354543,38.42392951783077,43.502635258685594,47.80744521693214
S-03011,37972.94,517,41871.05,518,46012.51,518,51421.7,579,53440.73,580,56837.48,626,58503.48,626,Districte: 03   Secció: 011,0.0,10.265494323062688,21.17183973640176,35.41669409848169,40.73371722073666,49.678902924029586,54.06623769452668
S-03012,34543.97,611,37830.61,609,41657.68,607,46424.95,608,48547.24,609,50552.98,609,52821.12,609,,0.0,9.514366762129539,20.59320338687186,34.39378855412391,40.53752362568632,46.34386261914887,52.90981320328845
S-03013,48357.31,214,53193.04,214,58867.76,287,63971.0,297,66529.83,297,69191.01,297,70983.68,292,Districte: 03   Secció: 013,0.0,9.999997932060332,21.734976573345385,32.288169048278334,37.5796751308127,43.08283483924147,46.7899682591939
S-04001,48351.71,499,53184.38,497,58502.82,497,64343.69,496,66932.79,496,69610.1,496,71706.55,493,Districte: 04   Secció: 001,0.0,9.994827483867681,20.99431436861282,33.07428010302015,38.42900282120321,43.966159624964675,48.30199386950328
S-04002,32932.83,655,36451.41,646,40118.65,645,44758.85,645,47029.95,653,49006.42,650,50388.61,647,Districte: 04   Secció: 002,0.0,10.684110657966539,21.819624976049734,35.909516430868514,42.805674459194655,48.807193308318766,53.00419065109193
S-04003,38985.1,292,42956.16,292,47220.86,322,51942.95,322,54108.47,333,56388.91,340,58303.71,340,Districte: 04   Secció: 003,0.0,10.186096739523574,21.125404321138085,33.23795501358211,38.79269259281111,44.64220945951147,49.55382954000375
S-04004,44978.8,579,49491.29,573,54245.31,575,59512.23,574,62028.29,576,64509.41,576,66388.23,573,Districte: 04   Secció: 004,0.0,10.032481969283303,20.601950252118765,32.31173352779532,37.90561331115992,43.42181205367862,47.5989354985015
S-04005,32363.41,753,35381.13,753,38919.25,753,42841.73,753,43983.65,754,45885.06,757,47606.88,755,Districte: 04   Secció: 005,0.0,9.324480949318993,20.256950673615666,32.37705791818601,35.905487091749606,41.78067144346037,47.10093899252272
S-04006,29755.82,766,32630.92,762,35924.88,763,39598.14,765,41021.01,761,42742.1,762,44099.37,760,Districte: 04   Secció: 006,0.0,9.662311440249331,20.732280273237293,33.0769577178515,37.858778551557315,43.642823487976464,48.20418324885687
S-04007,38622.82,731,42423.38,725,46701.42,725,51752.3,748,53956.67,727,56090.71,754,58021.48,733,Districte: 04   Secció: 007,0.0,9.84019292221541,20.916649794085462,33.99409986117017,39.70152878531397,45.22686328963032,50.22590271761618
S-04008,38066.09,257,41944.42,254,46113.34,255,50724.67,255,52753.65,255,54846.29,255,56269.57,253,Districte: 04   Secció: 008,0.0,10.188411785922858,21.14020641468562,33.25421654811409,38.5843673463705,44.081753602747234,47.82072442953822
S-04009,36460.11,249,40166.78,247,44052.12,249,47963.4,254,49881.93,254,51910.52,255,52672.45,258,Districte: 04   Secció: 009,0.0,10.166370863938694,20.82278413312522,31.55034364953918,36.81234093917983,42.376202375692216,44.4659656813981
S-04010,27672.04,435,30461.46,434,33532.24,433,36858.46,434,38332.79,434,39882.26,433,41078.72,433,Districte: 04   Secció: 010,0.0,10.080283202828552,21.177332787897086,33.197480200230984,38.525349052690004,44.12475552940803,48.44847000799363
S-04011,30597.36,532,33597.66,531,38406.33,575,42146.69,575,43824.82,574,45572.08,575,46919.47,574,Districte: 04   Secció: 011,0.0,9.805747946881702,25.521711677085868,37.74616502861685,43.23072317350255,48.941215843458394,53.34483105731997
S-04012,34139.26,795,37589.12,793,41348.03,793,45598.02,792,47406.4,791,49318.81,792,50749.09,788,Districte: 04   Secció: 012,0.0,10.105257114536169,21.115776967631977,33.56475799416857,38.86182653051062,44.463617547656256,48.65316354250208
S-04013,36352.33,436,40024.68,436,44027.14,436,48429.85,436,50312.2,457,52362.52,435,53741.86,457,Districte: 04   Secció: 013,0.0,10.102103496529654,21.112291839340138,33.22351001985292,38.401582512042545,44.041716170600324,47.83608093346423
S-04014,67394.29,503,75754.29,480,83329.71,480,91681.59,481,95348.85,481,98922.7,482,101821.71,481,Districte: 04   Secció: 014,0.0,12.404611726008243,23.645059544362013,36.03762277189952,41.47912234107669,46.782019663683684,51.08358586461853
S-04015,51579.73,192,56738.73,190,62412.6,190,68653.86,190,71400.01,190,74255.32,191,76482.98,191,Districte: 04   Secció: 015,0.0,10.001991092237201,21.002184385222634,33.1024028237449,38.426490406211876,43.96221151215798,48.28107863302114
S-04016,52621.12,402,56953.7,418,63119.35,420,69596.79,423,72380.66,423,74951.2,425,77306.14,424,Districte: 04   Secció: 016,0.0,8.233538168704873,19.950601583546675,32.26018374371353,37.55058805285786,42.43558479941132,46.910860126124255
