CODI_NACIONALITAT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ISO_3166-1_alpha-2,Country_Catalan,Flag_URL
104,38,39,36,43,36,23,26,25,31,37,39,26,33,BG,Bulgària,https://public.flourish.studio/country-flags/svg/bg.svg
108,186920,187625,187982,188007,188119,189537,189535,189802,189971,190004,189527,188682,188154,ES,Espanya,https://public.flourish.studio/country-flags/svg/es.svg
110,32,46,41,32,32,33,49,50,93,96,133,111,131,FR,França,https://public.flourish.studio/country-flags/svg/fr.svg
115,254,272,289,281,335,336,313,307,419,470,609,704,796,IT,Itàlia,https://public.flourish.studio/country-flags/svg/it.svg
122,52,57,40,16,6,6,12,0,8,9,14,16,11,PL,Polònia,https://public.flourish.studio/country-flags/svg/pl.svg
123,10,9,15,11,9,0,0,7,7,15,10,10,21,PT,Portugal,https://public.flourish.studio/country-flags/svg/pt.svg
125,7,7,7,7,0,0,0,0,22,19,41,54,46,GB,Regne Unit,https://public.flourish.studio/country-flags/svg/gb.svg
126,19,19,0,10,0,9,16,0,25,38,30,38,31,DE,Alemanya,https://public.flourish.studio/country-flags/svg/de.svg
128,813,1067,1342,1128,926,777,725,692,654,686,666,641,662,RO,Romania,https://public.flourish.studio/country-flags/svg/ro.svg
135,177,204,185,215,222,214,253,256,324,367,429,438,493,UA,Ucraïna,https://public.flourish.studio/country-flags/svg/ua.svg
137,17,7,0,0,0,0,7,11,10,6,13,6,0,MD,Moldàvia ,https://public.flourish.studio/country-flags/svg/md.svg
139,103,121,150,153,110,71,101,122,191,218,256,283,254,GE,Geòrgia ,https://public.flourish.studio/country-flags/svg/ge.svg
148,155,153,154,161,131,132,100,105,119,126,141,130,108,AM,Armènia ,https://public.flourish.studio/country-flags/svg/am.svg
154,136,114,88,111,81,100,185,185,269,349,394,416,455,RU,Rússia,https://public.flourish.studio/country-flags/svg/ru.svg
203,11,31,9,6,0,0,22,19,7,7,7,8,7,DZ,Algèria,https://public.flourish.studio/country-flags/svg/dz.svg
208,6,6,0,0,0,0,0,0,0,0,0,0,0,CM,Camerun ,https://public.flourish.studio/country-flags/svg/cm.svg
216,39,33,55,51,38,49,34,19,20,19,33,21,21,GM,Gàmbia ,https://public.flourish.studio/country-flags/svg/gm.svg
217,14,25,18,16,17,8,0,0,0,0,0,0,0,GH,Ghana ,https://public.flourish.studio/country-flags/svg/gh.svg
218,51,49,68,65,55,34,24,23,23,22,22,29,21,GN,Guinea ,https://public.flourish.studio/country-flags/svg/gn.svg
220,39,61,47,32,13,22,20,26,16,10,0,6,19,GQ,Guinea Equatorial ,https://public.flourish.studio/country-flags/svg/gq.svg
228,5381,5496,5727,5621,5381,4854,4667,4423,4402,4594,4933,4961,4803,MA,Marroc,https://public.flourish.studio/country-flags/svg/ma.svg
230,6,0,0,0,0,0,0,0,0,0,0,0,0,MR,Mauritània ,https://public.flourish.studio/country-flags/svg/mr.svg
234,185,217,255,206,214,174,149,133,99,95,120,104,70,NG,Nigèria,https://public.flourish.studio/country-flags/svg/ng.svg
315,34,22,40,15,14,7,0,8,16,17,16,24,22,CU,Cuba ,https://public.flourish.studio/country-flags/svg/cu.svg
317,9,20,28,0,13,13,17,35,69,96,127,144,114,SV,El Salvador ,https://public.flourish.studio/country-flags/svg/sv.svg
321,111,139,209,253,238,169,404,519,812,1122,1485,1596,1656,HN,Hondures ,https://public.flourish.studio/country-flags/svg/hn.svg
323,8,10,0,12,0,0,7,0,0,12,37,41,25,NI,Nicaràgua ,https://public.flourish.studio/country-flags/svg/ni.svg
326,294,206,203,187,104,59,131,126,107,200,210,171,213,DO,República Dominicana ,https://public.flourish.studio/country-flags/svg/do.svg
340,242,224,147,94,56,71,56,43,84,82,157,171,174,AR,Argentina,https://public.flourish.studio/country-flags/svg/ar.svg
341,1595,1464,1534,1366,1160,822,775,603,604,636,574,545,535,BO,Bolívia ,https://public.flourish.studio/country-flags/svg/bo.svg
342,258,127,150,159,58,21,15,53,85,101,141,138,98,BR,Brasil,https://public.flourish.studio/country-flags/svg/br.svg
343,554,474,377,275,172,94,61,107,190,392,606,731,859,CO,Colòmbia,https://public.flourish.studio/country-flags/svg/co.svg
344,143,94,64,55,8,8,6,23,15,24,17,32,56,CL,Xile,https://public.flourish.studio/country-flags/svg/cl.svg
345,2839,2128,1678,1376,1013,505,621,502,482,485,569,623,603,EC,Equador ,https://public.flourish.studio/country-flags/svg/ec.svg
347,293,279,279,291,150,101,67,85,162,215,273,264,240,PY,Paraguai ,https://public.flourish.studio/country-flags/svg/py.svg
348,464,341,291,207,249,121,117,110,112,177,334,415,478,PE,Perú,https://public.flourish.studio/country-flags/svg/pe.svg
350,152,74,82,63,61,35,28,11,41,34,16,7,7,UY,Uruguai ,https://public.flourish.studio/country-flags/svg/uy.svg
351,29,6,14,21,0,0,14,9,97,232,429,419,498,VE,Veneçuela ,https://public.flourish.studio/country-flags/svg/ve.svg
404,245,306,298,288,228,210,277,266,273,299,333,357,325,BD,Bangla Desh ,https://public.flourish.studio/country-flags/svg/bd.svg
407,3788,3599,3768,3458,3155,3264,3536,3681,3889,4109,4282,4439,4522,CN,Xina,https://public.flourish.studio/country-flags/svg/cn.svg
410,1135,1154,1160,1064,863,744,755,762,782,948,1078,1088,1066,IN,Índia,https://public.flourish.studio/country-flags/svg/in.svg
415,7,0,0,0,0,0,0,0,0,0,0,0,0,JP,Japó,https://public.flourish.studio/country-flags/svg/jp.svg
426,5343,6509,7185,6771,6154,5439,5348,5316,5480,5996,6546,6744,6962,PK,Pakistan,https://public.flourish.studio/country-flags/svg/pk.svg
433,8,8,8,8,0,0,0,0,0,0,0,0,0,SY,Síria,https://public.flourish.studio/country-flags/svg/sy.svg
9999,7313,7319,7802,7966,7992,7922,7344,7496,7779,8098,8524,8751,8950,OT,Altres,https://public.flourish.studio/country-flags/svg/ot.svg
213,0,8,0,6,0,0,0,0,0,0,7,7,7,EG,Egipte,https://public.flourish.studio/country-flags/svg/eg.svg
227,0,6,18,36,32,27,25,17,16,20,19,13,12,ML,Mali ,https://public.flourish.studio/country-flags/svg/ml.svg
239,0,0,23,49,21,13,26,20,15,10,6,29,7,SN,Senegal,https://public.flourish.studio/country-flags/svg/sn.svg
302,0,0,8,0,0,7,7,13,6,14,15,14,22,US,Estats Units,https://public.flourish.studio/country-flags/svg/us.svg
409,0,0,6,0,0,0,0,0,6,6,0,6,21,PH,Filipines ,https://public.flourish.studio/country-flags/svg/ph.svg
447,0,0,8,6,0,0,7,9,9,6,11,12,12,UZ,Uzbekistan,https://public.flourish.studio/country-flags/svg/uz.svg
303,0,0,0,6,12,0,0,0,0,0,0,0,24,MX,Mèxic,https://public.flourish.studio/country-flags/svg/mx.svg
424,0,0,0,0,0,0,9,6,6,7,18,0,0,NP,Nepal,https://public.flourish.studio/country-flags/svg/np.svg
437,0,0,0,0,0,0,6,0,0,0,0,0,7,VN,Vietnam,https://public.flourish.studio/country-flags/svg/vn.svg
101,0,0,0,0,0,0,0,9,0,0,0,0,25,AL,Albània,https://public.flourish.studio/country-flags/svg/al.svg
121,0,0,0,0,0,0,0,7,7,0,6,0,18,NL,Països Baixos,https://public.flourish.studio/country-flags/svg/nl.svg
138,0,0,0,0,0,0,0,6,14,7,0,0,0,BY,Bielorússia ,https://public.flourish.studio/country-flags/svg/by.svg
413,0,0,0,0,0,0,0,0,6,0,0,0,0,IR,Iran,https://public.flourish.studio/country-flags/svg/ir.svg
555,0,0,0,0,0,0,0,0,0,7,7,0,0,OT,Apatrides,https://public.flourish.studio/country-flags/svg/ot.svg
